,pos,last_pos,peak,num_weeks,album,artist,entry_date,entry_pos,peak_pos,week,in
612,13,513,2,8,Queen,NICKI MINAJ,2018-08-25,2,2,20181013,612
613,14,516,1,26,Invasion Of Privacy,CARDI B,2018-04-21,1,1,20181013,613
614,15,509,3,4,Look Up Child,LAUREN DAIGLE,2018-09-22,3,3,20181013,614
615,16,518,1,43,The Greatest Showman OST,VARIOUS ARTISTS,2017-12-30,71,1,20181013,615
616,17,520,4,70,This One's For You,LUKE COMBS,2017-06-24,5,4,20181013,616
617,18,507,1,3,Cry Pretty,CARRIE UNDERWOOD,2018-09-29,1,1,20181013,617
618,19,512,3,3,East Atlanta Love Letter,6LACK,2018-09-29,3,3,20181013,618
619,20,517,17,2,On The Rvn!! EP,YOUNG THUG,2018-10-06,17,17,20181013,619
620,21,523,1,83,Divide,ED SHEERAN,2017-03-25,1,1,20181013,620
621,22,528,3,20,Harder Than Ever,LIL BABY,2018-06-02,3,3,20181013,621
622,23,529,4,95,Stoney,POST MALONE,2016-12-31,6,4,20181013,622
623,24,525,1,6,Love Yourself: Answer,BTS,2018-09-08,1,1,20181013,623
624,25,500,25,1,Hallelujah Here Below,ELEVATION WORSHIP,2018-10-13,25,25,20181013,624
625,26,522,3,9,Swimming,MAC MILLER,2018-08-18,3,3,20181013,625
626,27,531,2,58,17,XXXTENTACION,2017-09-16,2,2,20181013,626
627,28,502,2,2,Bridges,JOSH GROBAN,2018-10-06,2,2,20181013,627
628,29,532,7,6,Aura,OZUNA,2018-09-08,7,7,20181013,628
629,30,538,1,47,Reputation,TAYLOR SWIFT,2017-12-02,1,1,20181013,629
630,31,534,3,158,Hamilton: An American Musical,ORIGINAL BROADWAY CAST RECORDING,2015-10-17,12,3,20181013,630
631,32,535,2,67,Evolve,IMAGINE DRAGONS,2017-07-15,2,2,20181013,631
632,33,537,1,36,Culture II,MIGOS,2018-02-10,1,1,20181013,632
633,34,533,4,8,Life's A Trip,TRIPPIE REDD,2018-08-25,4,4,20181013,633
634,35,539,4,83,American Teen,KHALID,2017-03-25,9,4,20181013,634
635,36,536,2,48,Red Pill Blues,MAROON 5,2017-11-25,2,2,20181013,635
636,37,540,1,15,Pray For The Wicked,PANIC! AT THE DISCO,2018-07-07,1,1,20181013,636
637,38,500,38,1,Reduxer,ALT-J,2018-10-13,38,38,20181013,637
638,39,515,15,2,Role Model,YOUNG DOLPH,2018-10-06,15,15,20181013,638
639,40,500,40,1,Disease,BEARTOOTH,2018-10-13,40,40,20181013,639
640,41,542,14,26,Cosmic,BAZZI,2018-04-21,35,14,20181013,640
641,42,530,1,16,Youngblood,5 SECONDS OF SUMMER,2018-06-30,1,1,20181013,641
642,43,546,31,19,The Essential Michael Jackson,MICHAEL JACKSON,2018-06-09,51,31,20181013,642
643,44,549,6,15,Dan + Shay,DAN + SHAY,2018-07-07,6,6,20181013,643
644,45,545,1,77,DAMN.,KENDRICK LAMAR,2017-05-06,1,1,20181013,644
645,46,547,5,96,Kane Brown,KANE BROWN,2016-12-24,10,5,20181013,645
646,47,548,1,153,Traveller,CHRIS STAPLETON,2015-11-21,1,1,20181013,646
647,48,541,41,2,Decided,YOUNGBOY NEVER BROKE AGAIN,2018-10-06,41,41,20181013,647
648,49,543,35,94,Curtain Call: The Hits,EMINEM,2017-01-07,177,35,20181013,648
649,50,584,1,19,Shawn Mendes,SHAWN MENDES,2018-06-09,1,1,20181013,649
650,51,544,1,58,Luv Is Rage 2,LIL UZI VERT,2017-09-16,1,1,20181013,650
651,52,550,13,15,Expectations,BEBE REXHA,2018-07-07,13,13,20181013,651
652,53,558,38,40,Don't Smile At Me,BILLIE EILISH,2018-01-13,167,38,20181013,652
653,54,559,38,28,Greatest Hits,QUEEN,2018-04-07,86,38,20181013,653
654,55,521,14,3,4Respect 4Freedom 4Loyalty 4Whatimportant,YOUNGBOY NEVER BROKE AGAIN,2018-09-29,14,14,20181013,654
655,56,561,1,52,Perception,NF,2017-10-28,1,1,20181013,655
656,57,553,1,24,KOD,J. COLE,2018-05-05,1,1,20181013,656
657,58,554,7,23,Until Death Call My Name,YOUNGBOY NEVER BROKE AGAIN,2018-05-12,7,7,20181013,657
658,59,552,5,9,Stay Dangerous,YG,2018-08-18,5,5,20181013,658
659,60,564,1,25,Rearview Town,JASON ALDEAN,2018-04-28,1,1,20181013,659
660,61,567,3,69,Ctrl,SZA,2017-07-01,3,3,20181013,660
661,62,500,62,1,Blood Red Roses,ROD STEWART,2018-10-13,62,62,20181013,661
662,63,571,47,50,H.E.R.,H.E.R.,2017-11-11,108,47,20181013,662
663,64,565,3,75,Views,DRAKE,2017-05-20,6,3,20181013,663
664,65,500,65,1,The Atlantic Singles Collection 1967-1970,ARETHA FRANKLIN,2018-10-13,65,65,20181013,664
665,66,569,1,38,Camila,CAMILA CABELLO,2018-01-27,1,1,20181013,665
666,67,557,57,2,Rolling Papers 2,WIZ KHALIFA,2018-10-06,57,57,20181013,666
667,68,570,42,198,Take Care,DRAKE,2015-01-10,194,42,20181013,667
668,69,566,10,39,Life Of A Dark Rose,LIL SKIES,2018-01-20,23,10,20181013,668
669,70,568,1,56,Life Changes,THOMAS RHETT,2017-09-30,1,1,20181013,669
670,71,562,21,4,YBN: The Mixtape,"YBN NAHMIR, YBN ALMIGHTY JAY & YBN CORDAE",2018-09-22,21,21,20181013,670
671,72,555,1,4,Egypt Station,PAUL McCARTNEY,2018-09-22,1,1,20181013,671
672,73,589,1,18,ye,KANYE WEST,2018-06-16,1,1,20181013,672
673,74,556,4,4,Zoo,RUSS,2018-09-22,4,4,20181013,673
674,75,574,64,6,More Life,DRAKE,2018-09-08,64,64,20181013,674
675,76,576,2,98,Moana OST,VARIOUS ARTISTS,2016-12-10,16,2,20181013,675
676,77,579,1,97,Starboy,THE WEEKND,2016-12-17,1,1,20181013,676
677,78,500,78,1,Wouldn't It Be Great,LORETTA LYNN,2018-10-13,78,78,20181013,677
678,79,582,23,47,Diamonds,ELTON JOHN,2017-12-02,23,23,20181013,678
679,80,577,1,224,X,ED SHEERAN,2014-07-12,1,1,20181013,679
680,81,575,1,34,"Black Panther: The Album, Music From And Inspired By OST",VARIOUS ARTISTS,2018-02-24,1,1,20181013,680
681,82,693,70,3,The Mountain,DIERKS BENTLEY,2018-09-29,70,70,20181013,681
682,83,583,3,49,Heartbreak On A Full Moon,CHRIS BROWN,2017-11-18,3,3,20181013,682
683,84,585,53,93,Night Visions,IMAGINE DRAGONS,2017-01-14,167,53,20181013,683
684,85,601,55,35,Drip Season 3,GUNNA,2018-02-17,55,55,20181013,684
685,86,587,68,44,Journey's Greatest Hits,JOURNEY,2017-12-23,199,68,20181013,685
686,87,580,2,98,24K Magic,BRUNO MARS,2016-12-10,2,2,20181013,686
687,88,501,1,2,Iridescence,BROCKHAMPTON,2018-10-06,1,1,20181013,687
688,89,500,89,1,Boom Boom Room: Side B,PALAYE ROYALE,2018-10-13,89,89,20181013,688
689,90,599,4,21,Voicenotes,CHARLIE PUTH,2018-05-26,4,4,20181013,689
690,91,611,2,53,Greatest Hits,TOM PETTY AND THE HEARTBREAKERS,2017-10-21,2,2,20181013,690
691,92,591,5,247,Legend: The Best Of Bob Marley And The Wailers,BOB MARLEY AND THE WAILERS,2014-02-01,117,5,20181013,691
692,93,590,22,58,Odisea,OZUNA,2017-09-16,22,22,20181013,692
693,94,649,94,2,Tha Carter III,LIL WAYNE,2018-10-06,149,94,20181013,693
694,95,581,2,16,EVERYTHING IS LOVE,THE CARTERS,2018-06-30,2,2,20181013,694
695,96,592,69,50,Rumours,FLEETWOOD MAC,2017-11-11,178,69,20181013,695
696,97,596,85,6,Greatest Hits,2PAC,2018-09-08,95,85,20181013,696
697,98,598,2,59,Project Baby Two,KODAK BLACK,2017-09-09,2,2,20181013,697
698,99,602,15,42,Chronicle The 20 Greatest Hits,CREEDENCE CLEARWATER REVIVAL,2018-01-03,15,15,20181013,698
699,100,586,18,86,Brett Young,BRETT YOUNG,2017-03-04,18,18,20181013,699
700,101,604,1,162,Beauty Behind The Madness,THE WEEKND,2015-09-19,1,1,20181013,700
701,102,661,102,2,Tha Carter IV,LIL WAYNE,2018-10-06,161,102,20181013,701
702,103,621,103,2,Greater Than,GATEWAY,2018-10-06,121,103,20181013,702
703,104,511,11,2,Piano & A Microphone 1983,PRINCE,2018-10-06,11,11,20181013,703
704,105,563,63,3,Sick Boy EP,THE CHAINSMOKERS,2018-09-29,163,63,20181013,704
705,106,603,103,2,The Essential Billy Joel,BILLY JOEL,2018-10-06,103,96,20181013,705
706,107,500,107,1,Rick And Morty OST,VARIOUS ARTISTS,2018-10-13,107,107,20181013,706
707,108,615,50,18,I met you when I was 18. (the playlist),LAUV,2018-06-16,50,50,20181013,707
708,109,609,1,177,Blurryface,TWENTY ONE PILOTS,2015-06-06,1,1,20181013,708
709,110,605,26,20,"13 Reasons Why, Season 2 OST",VARIOUS ARTISTS,2018-06-02,34,26,20181013,709
710,111,524,24,2,BINGE,MACHINE GUN KELLY,2018-10-06,24,24,20181013,710
711,112,610,74,40,Freudian,DANIEL CAESAR,2018-01-13,122,74,20181013,711
712,113,594,37,3,7,DAVID GUETTA,2018-09-29,37,37,20181013,712
713,114,608,5,89,2014 Forest Hills Drive,J. COLE,2017-02-11,5,5,20181013,713
714,115,612,2,225,In The Lonely Hour,SAM SMITH,2014-07-05,2,2,20181013,714
715,116,607,1,109,Birds In The Trap Sing McKnight,TRAVIS SCOTT,2016-09-24,1,1,20181013,715
716,117,614,1,141,ANTI,RIHANNA,2016-02-13,27,1,20181013,716
717,118,606,2,27,The World Is Yours,RICH THE KID,2018-04-14,2,2,20181013,717
718,119,620,31,69,1989,TAYLOR SWIFT,2017-07-01,31,31,20181013,718
719,120,500,120,1,Elephants On Acid,CYPRESS HILL,2018-10-13,120,120,20181013,719
720,121,551,51,2,Greatest Hits: You Never Saw Coming,KID ROCK,2018-10-06,51,51,20181013,720
721,122,617,3,42,The Beautiful & Damned,G-EAZY,2018-01-03,3,3,20181013,721
722,123,572,11,3,Love Is Here To Stay,TONY BENNETT & DIANA KRALL,2018-09-29,11,11,20181013,722
723,124,618,29,23,Ready EP,ELLA MAI,2018-05-12,87,29,20181013,723
724,125,622,122,2,The Click,AJR,2018-10-06,122,122,20181013,724
725,126,578,7,7,All Of It,COLE SWINDELL,2018-09-01,7,7,20181013,725
726,127,623,27,202,"good kid, m.A.A.d city",KENDRICK LAMAR,2014-12-13,181,27,20181013,726
727,128,636,98,29,Icon: Greatest Hits,BOB SEGER & THE SILVER BULLET BAND,2018-03-31,150,98,20181013,727
728,129,629,1,70,hopeless fountain kingdom,HALSEY,2017-06-24,1,1,20181013,728
729,130,630,27,65,Dua Lipa,DUA LIPA,2017-07-29,162,27,20181013,729
730,131,637,28,16,Revenge,XXXTENTACION,2018-06-30,30,28,20181013,730
731,132,600,8,7,Young Stoner Life: Slime Language,VARIOUS ARTISTS,2018-09-01,8,8,20181013,731
732,133,616,3,21,Die Lit,PLAYBOI CARTI,2018-05-26,3,3,20181013,732
733,134,613,90,40,Nothing Was The Same,DRAKE,2018-01-13,128,90,20181013,733
734,135,625,1,27,My Dear Melancholy EP,THE WEEKND,2018-04-14,1,1,20181013,734
735,136,624,3,12,Mamma Mia!: Here We Go Again OST,VARIOUS ARTISTS,2018-07-28,20,3,20181013,735
736,137,635,60,17,Their Greatest Hits 1971-1975,EAGLES,2018-06-23,196,60,20181013,736
737,138,674,138,2,Life After Fame,QUANDO RONDO,2018-10-06,174,138,20181013,737
738,139,626,4,32,DAY69,6IX9INE,2018-03-10,4,4,20181013,738
739,140,643,11,88,Metallica,METALLICA,2017-02-18,11,11,20181013,739
740,141,634,8,158,TRAPSOUL,BRYSON TILLER,2015-10-17,11,8,20181013,740
741,142,662,46,47,Illuminate,SHAWN MENDES,2017-12-02,84,46,20181013,741
742,143,633,76,40,Greatest Hits So Far...,ZAC BROWN BAND,2018-01-13,184,76,20181013,742
743,144,627,4,19,Testing,A$AP ROCKY,2018-06-09,4,4,20181013,743
744,145,632,11,10,Trolls OST,VARIOUS ARTISTS,2018-08-11,11,11,20181013,744
745,146,639,72,40,Greatest Hits,THE NOTORIOUS B.I.G.,2018-01-13,175,72,20181013,745
746,147,641,17,25,Too Hard,LIL BABY,2018-04-28,17,17,20181013,746
747,148,648,92,41,Doo-Wops & Hooligans,BRUNO MARS,2018-01-06,166,92,20181013,747
748,149,628,45,106,California Sunrise,JON PARDI,2016-10-15,184,45,20181013,748
749,150,647,9,24,The Thrill Of It All,SAM SMITH,2018-05-05,9,9,20181013,749
750,151,645,123,5,Greatest Hits,GUNS N'ROSES,2018-09-15,123,123,20181013,750
751,152,653,152,4,How Can It Be,LAUREN DAIGLE,2018-09-22,170,136,20181013,751
752,153,651,29,44,A Decade Of Destruction,FIVE FINGER DEATH PUNCH,2017-12-23,29,29,20181013,752
753,154,644,53,7,Onepointfive,AMINE,2018-09-01,53,53,20181013,753
754,155,664,122,21,Back In Black,AC/DC,2018-05-26,149,122,20181013,754
755,156,642,82,11,All Time Greatest Hits,LYNYRD SKYNYRD,2018-08-04,135,82,20181013,755
756,157,656,156,11,21,ADELE,2018-08-04,162,150,20181013,756
757,158,640,1,88,Culture,MIGOS,2017-02-18,1,1,20181013,757
758,159,631,6,22,SR3MM,RAE SREMMURD & SWAE LEE & SLIM JXMMI,2018-05-19,6,6,20181013,758
759,160,658,2,74,From A Room: Volume 1,CHRIS STAPLETON,2017-05-27,2,2,20181013,759
760,161,650,3,206,Montevallo,SAM HUNT,2014-11-15,3,3,20181013,760
761,162,646,37,29,"Love, Simon OST",VARIOUS ARTISTS,2018-03-31,37,37,20181013,761
762,163,677,38,42,1,THE BEATLES,2018-01-03,175,38,20181013,762
763,164,668,1,150,25,ADELE,2015-12-12,1,1,20181013,763
764,165,665,141,6,Greatest Hits,RED HOT CHILI PEPPERS,2018-09-08,141,141,20181013,764
765,166,670,31,23,Speak Your Mind,ANNE-MARIE,2018-05-12,31,31,20181013,765
766,167,667,1,142,Death Of A Bachelor,PANIC! AT THE DISCO,2016-02-06,1,1,20181013,766
767,168,500,168,1,Graffiti U,KEITH URBAN,2018-10-13,168,168,20181013,767
768,169,619,4,5,Bloom,TROYE SIVAN,2018-09-15,4,4,20181013,768
769,170,669,3,53,Tell Me You Love Me,DEMI LOVATO,2017-10-21,3,3,20181013,769
770,171,680,165,3,Mothership,LED ZEPPELIN,2018-09-29,165,165,20181013,770
771,172,657,7,74,There's Really A Wolf,RUSS,2017-05-27,7,7,20181013,771
772,173,654,4,49,Without Warning,"21 SAVAGE, OFFSET & METRO BOOMIN",2017-11-18,4,4,20181013,772
773,174,652,122,5,Recovery,EMINEM,2018-09-15,145,122,20181013,773
774,175,681,175,8,The Life Of Pablo,KANYE WEST,2018-08-25,187,175,20181013,774
775,176,655,2,10,Songs For The Saints,KENNY CHESNEY,2018-08-11,2,2,20181013,775
776,177,671,1,30,Bobby Tarantino II,LOGIC,2018-03-24,1,1,20181013,776
777,178,659,1,43,What Makes You Country,LUKE BRYAN,2017-12-30,1,1,20181013,777
778,179,663,26,10,Queen Naija EP,QUEEN NAIJA,2018-08-11,26,26,20181013,778
779,180,682,139,15,Hot Rocks 1964-1971,THE ROLLING STONES,2018-07-07,196,139,20181013,779
780,181,673,152,13,Blonde,FRANK OCEAN,2018-07-21,183,152,20181013,780
781,182,676,133,9,Hozier,HOZIER,2018-08-18,195,133,20181013,781
782,183,593,9,4,I Want To Die In New Orleans,$UICIDEBOY$,2018-09-22,9,9,20181013,782
783,184,692,120,31,Reloaded: 20 #1 Hits,BLAKE SHELTON,2018-03-17,150,120,20181013,783
784,185,684,42,12,Real Hasta La Muerte,ANUEL AA,2018-07-28,51,42,20181013,784
785,186,672,95,41,Dig Your Roots,FLORIDA GEORGIA LINE,2018-01-06,156,95,20181013,785
786,187,696,183,4,4275,JACQUEES,2018-09-22,183,183,20181013,786
787,188,685,109,40,Tangled Up,THOMAS RHETT,2018-01-13,154,109,20181013,787
788,189,683,111,24,Dangerous Woman,ARIANA GRANDE,2018-05-05,146,111,20181013,788
789,190,694,143,12,Abbey Road,THE BEATLES,2018-07-28,155,143,20181013,789
790,191,500,191,1,Gangin II,SOB x RBE,2018-10-13,191,191,20181013,790
791,192,695,180,13,I Am... Sasha Fierce,BEYONCE,2018-07-21,195,180,20181013,791
792,193,687,187,2,Vibras,J BALVIN,2018-10-06,187,187,20181013,792
793,194,675,4,20,And Justice For None,FIVE FINGER DEATH PUNCH,2018-06-02,4,4,20181013,793
794,195,679,110,41,Happy Endings,OLD DOMINION,2018-01-06,199,110,20181013,794
795,196,500,196,1,Dirty Computer,JANELLE MONAE,2018-10-13,196,196,20181013,795
796,197,500,197,1,Kids See Ghosts,KIDS SEE GHOSTS,2018-10-13,197,197,20181013,796
797,198,678,28,22,Simi,BLOCBOY JB,2018-05-19,28,28,20181013,797
798,199,690,19,2,Florida Georgia Line EP,FLORIDA GEORGIA LINE,2018-10-06,19,19,20181013,798
799,200,526,26,2,Redemption,JOE BONAMASSA,2018-10-06,26,26,20181013,799
800,1,700,1,1,Iridescence,BROCKHAMPTON,2018-10-06,1,1,20181006,800
801,2,700,2,1,Bridges,JOSH GROBAN,2018-10-06,2,2,20181006,801
802,3,702,1,4,Kamikaze,EMINEM,2018-09-15,1,1,20181006,802
803,4,704,1,13,Scorpion,DRAKE,2018-07-14,1,1,20181006,803
804,5,705,1,8,Astroworld,TRAVIS SCOTT,2018-08-18,1,1,20181006,804
805,6,706,1,22,beerbongs & bentleys,POST MALONE,2018-05-12,1,1,20181006,805
806,7,701,1,2,Cry Pretty,CARRIE UNDERWOOD,2018-09-29,1,1,20181006,806
807,8,710,4,19,Goodbye & Good Riddance,JUICE WRLD,2018-06-02,15,4,20181006,807
808,9,716,3,3,Look Up Child,LAUREN DAIGLE,2018-09-22,3,3,20181006,808
809,10,707,1,6,Sweetener,ARIANA GRANDE,2018-09-01,1,1,20181006,809
810,11,700,11,1,Piano & A Microphone 1983,PRINCE,2018-10-06,11,11,20181006,810
811,12,703,3,2,East Atlanta Love Letter,6LACK,2018-09-29,3,3,20181006,811
812,13,709,2,7,Queen,NICKI MINAJ,2018-08-25,2,2,20181006,812
813,14,713,1,28,?,XXXTENTACION,2018-03-31,1,1,20181006,813
814,15,700,15,1,Role Model,YOUNG DOLPH,2018-10-06,15,15,20181006,814
815,16,715,1,25,Invasion Of Privacy,CARDI B,2018-04-21,1,1,20181006,815
816,17,700,17,1,On The Rvn!! EP,YOUNG THUG,2018-10-06,17,17,20181006,816
817,18,717,1,42,The Greatest Showman OST,VARIOUS ARTISTS,2017-12-30,71,1,20181006,817
818,19,700,19,1,Proper Dose,THE STORY SO FAR,2018-10-06,19,19,20181006,818
819,20,718,4,69,This One's For You,LUKE COMBS,2017-06-24,5,4,20181006,819
820,21,714,14,2,4Respect 4Freedom 4Loyalty 4Whatimportant,YOUNGBOY NEVER BROKE AGAIN,2018-09-29,14,14,20181006,820
821,22,712,3,8,Swimming,MAC MILLER,2018-08-18,3,3,20181006,821
822,23,720,1,82,Divide,ED SHEERAN,2017-03-25,1,1,20181006,822
823,24,700,24,1,BINGE,MACHINE GUN KELLY,2018-10-06,24,24,20181006,823
824,25,719,1,5,Love Yourself: Answer,BTS,2018-09-08,1,1,20181006,824
825,26,700,26,1,Redemption,JOE BONAMASSA,2018-10-06,26,26,20181006,825
826,27,700,27,1,Living The Dream,SLASH featuring MYLES KENNEDY AND THE CONSPIRATORS,2018-10-06,27,27,20181006,826
827,28,721,3,19,Harder Than Ever,LIL BABY,2018-06-02,3,3,20181006,827
828,29,723,4,94,Stoney,POST MALONE,2016-12-31,6,4,20181006,828
829,30,746,1,15,Youngblood,5 SECONDS OF SUMMER,2018-06-30,1,1,20181006,829
830,31,726,2,57,17,XXXTENTACION,2017-09-16,2,2,20181006,830
831,32,724,7,5,Aura,OZUNA,2018-09-08,7,7,20181006,831
832,33,725,4,7,Life's A Trip,TRIPPIE REDD,2018-08-25,4,4,20181006,832
833,34,732,3,157,Hamilton: An American Musical,ORIGINAL BROADWAY CAST RECORDING,2015-10-17,12,3,20181006,833
834,35,728,2,66,Evolve,IMAGINE DRAGONS,2017-07-15,2,2,20181006,834
835,36,730,2,47,Red Pill Blues,MAROON 5,2017-11-25,2,2,20181006,835
836,37,731,1,35,Culture II,MIGOS,2018-02-10,1,1,20181006,836
837,38,729,1,46,Reputation,TAYLOR SWIFT,2017-12-02,1,1,20181006,837
838,39,734,4,82,American Teen,KHALID,2017-03-25,9,4,20181006,838
839,40,739,1,14,Pray For The Wicked,PANIC! AT THE DISCO,2018-07-07,1,1,20181006,839
840,41,700,41,1,Decided,YOUNGBOY NEVER BROKE AGAIN,2018-10-06,41,41,20181006,840
841,42,740,14,25,Cosmic,BAZZI,2018-04-21,35,14,20181006,841
842,43,749,35,93,Curtain Call: The Hits,EMINEM,2017-01-07,177,35,20181006,842
843,44,743,1,57,Luv Is Rage 2,LIL UZI VERT,2017-09-16,1,1,20181006,843
844,45,741,1,76,DAMN.,KENDRICK LAMAR,2017-05-06,1,1,20181006,844
845,46,747,31,18,The Essential Michael Jackson,MICHAEL JACKSON,2018-06-09,51,31,20181006,845
846,47,745,5,95,Kane Brown,KANE BROWN,2016-12-24,10,5,20181006,846
847,48,752,1,152,Traveller,CHRIS STAPLETON,2015-11-21,1,1,20181006,847
848,49,748,6,14,Dan + Shay,DAN + SHAY,2018-07-07,6,6,20181006,848
849,50,738,13,14,Expectations,BEBE REXHA,2018-07-07,13,13,20181006,849
850,51,700,51,1,Greatest Hits: You Never Saw Coming,KID ROCK,2018-10-06,51,51,20181006,850
851,52,744,5,8,Stay Dangerous,YG,2018-08-18,5,5,20181006,851
852,53,751,1,23,KOD,J. COLE,2018-05-05,1,1,20181006,852
853,54,750,7,22,Until Death Call My Name,YOUNGBOY NEVER BROKE AGAIN,2018-05-12,7,7,20181006,853
854,55,708,1,3,Egypt Station,PAUL McCARTNEY,2018-09-22,1,1,20181006,854
855,56,733,4,3,Zoo,RUSS,2018-09-22,4,4,20181006,855
856,57,700,57,1,Rolling Papers 2,WIZ KHALIFA,2018-10-06,57,57,20181006,856
857,58,755,38,39,Don't Smile At Me,BILLIE EILISH,2018-01-13,167,38,20181006,857
858,59,754,38,27,Greatest Hits,QUEEN,2018-04-07,86,38,20181006,858
859,60,700,60,1,Drogas Wave,LUPE FIASCO,2018-10-06,60,60,20181006,859
860,61,756,1,51,Perception,NF,2017-10-28,1,1,20181006,860
861,62,742,21,3,YBN: The Mixtape,"YBN NAHMIR, YBN ALMIGHTY JAY & YBN CORDAE",2018-09-22,21,21,20181006,861
862,63,863,63,2,Sick Boy EP,THE CHAINSMOKERS,2018-09-29,163,63,20181006,862
863,64,722,1,24,Rearview Town,JASON ALDEAN,2018-04-28,1,1,20181006,863
864,65,761,3,74,Views,DRAKE,2017-05-20,6,3,20181006,864
865,66,759,10,38,Life Of A Dark Rose,LIL SKIES,2018-01-20,23,10,20181006,865
866,67,758,3,68,Ctrl,SZA,2017-07-01,3,3,20181006,866
867,68,773,1,55,Life Changes,THOMAS RHETT,2017-09-30,1,1,20181006,867
868,69,753,1,37,Camila,CAMILA CABELLO,2018-01-27,1,1,20181006,868
869,70,763,42,197,Take Care,DRAKE,2015-01-10,194,42,20181006,869
870,71,762,47,49,H.E.R.,H.E.R.,2017-11-11,108,47,20181006,870
871,72,711,11,2,Love Is Here To Stay,TONY BENNETT & DIANA KRALL,2018-09-29,11,11,20181006,871
872,73,700,73,1,The Big Bad Blues,BILLY F GIBBONS,2018-10-06,73,73,20181006,872
873,74,768,64,5,More Life,DRAKE,2018-09-08,64,64,20181006,873
874,75,767,1,33,"Black Panther: The Album, Music From And Inspired By OST",VARIOUS ARTISTS,2018-02-24,1,1,20181006,874
875,76,765,2,97,Moana OST,VARIOUS ARTISTS,2016-12-10,16,2,20181006,875
876,77,772,1,223,X,ED SHEERAN,2014-07-12,1,1,20181006,876
877,78,783,7,6,All Of It,COLE SWINDELL,2018-09-01,7,7,20181006,877
878,79,775,1,96,Starboy,THE WEEKND,2016-12-17,1,1,20181006,878
879,80,774,2,97,24K Magic,BRUNO MARS,2016-12-10,2,2,20181006,879
880,81,764,2,15,EVERYTHING IS LOVE,THE CARTERS,2018-06-30,2,2,20181006,880
881,82,776,23,46,Diamonds,ELTON JOHN,2017-12-02,23,23,20181006,881
882,83,779,3,48,Heartbreak On A Full Moon,CHRIS BROWN,2017-11-18,3,3,20181006,882
883,84,777,1,18,Shawn Mendes,SHAWN MENDES,2018-06-09,1,1,20181006,883
884,85,780,53,92,Night Visions,IMAGINE DRAGONS,2017-01-14,167,53,20181006,884
885,86,771,18,85,Brett Young,BRETT YOUNG,2017-03-04,18,18,20181006,885
886,87,786,68,43,Journey's Greatest Hits,JOURNEY,2017-12-23,199,68,20181006,886
887,88,736,36,2,My Way,WILLIE NELSON,2018-09-29,36,36,20181006,887
888,89,778,1,17,ye,KANYE WEST,2018-06-16,1,1,20181006,888
889,90,784,22,57,Odisea,OZUNA,2017-09-16,22,22,20181006,889
890,91,781,5,246,Legend: The Best Of Bob Marley And The Wailers,BOB MARLEY AND THE WAILERS,2014-02-01,117,5,20181006,890
891,92,787,69,49,Rumours,FLEETWOOD MAC,2017-11-11,178,69,20181006,891
892,93,766,9,3,I Want To Die In New Orleans,$UICIDEBOY$,2018-09-22,9,9,20181006,892
893,94,737,37,2,7,DAVID GUETTA,2018-09-29,37,37,20181006,893
894,95,700,95,1,Art Of Doubt,METRIC,2018-10-06,95,95,20181006,894
895,96,785,85,5,Greatest Hits,2PAC,2018-09-08,95,85,20181006,895
896,97,700,97,1,Greatest Hits,"EARTH, WIND & FIRE",2018-10-06,97,97,20181006,896
897,98,790,2,58,Project Baby Two,KODAK BLACK,2017-09-09,2,2,20181006,897
898,99,793,4,20,Voicenotes,CHARLIE PUTH,2018-05-26,4,4,20181006,898
899,100,782,8,6,Young Stoner Life: Slime Language,VARIOUS ARTISTS,2018-09-01,8,8,20181006,899
900,101,789,55,34,Drip Season 3,GUNNA,2018-02-17,55,55,20181006,900
901,102,791,15,41,Chronicle The 20 Greatest Hits,CREEDENCE CLEARWATER REVIVAL,2018-01-03,15,15,20181006,901
902,103,700,103,1,The Essential Billy Joel,BILLY JOEL,2018-10-06,103,96,20181006,902
903,104,798,1,161,Beauty Behind The Madness,THE WEEKND,2015-09-19,1,1,20181006,903
904,105,799,26,19,"13 Reasons Why, Season 2 OST",VARIOUS ARTISTS,2018-06-02,34,26,20181006,904
905,106,795,2,26,The World Is Yours,RICH THE KID,2018-04-14,2,2,20181006,905
906,107,800,1,108,Birds In The Trap Sing McKnight,TRAVIS SCOTT,2016-09-24,1,1,20181006,906
907,108,796,5,88,2014 Forest Hills Drive,J. COLE,2017-02-11,5,5,20181006,907
908,109,802,1,176,Blurryface,TWENTY ONE PILOTS,2015-06-06,1,1,20181006,908
909,110,801,74,39,Freudian,DANIEL CAESAR,2018-01-13,122,74,20181006,909
910,111,797,2,52,Greatest Hits,TOM PETTY AND THE HEARTBREAKERS,2017-10-21,2,2,20181006,910
911,112,806,2,224,In The Lonely Hour,SAM SMITH,2014-07-05,2,2,20181006,911
912,113,835,90,39,Nothing Was The Same,DRAKE,2018-01-13,128,90,20181006,912
913,114,805,1,140,ANTI,RIHANNA,2016-02-13,27,1,20181006,913
914,115,810,50,17,I met you when I was 18. (the playlist),LAUV,2018-06-16,50,50,20181006,914
915,116,794,3,20,Die Lit,PLAYBOI CARTI,2018-05-26,3,3,20181006,915
916,117,809,3,41,The Beautiful & Damned,G-EAZY,2018-01-03,3,3,20181006,916
917,118,808,29,22,Ready EP,ELLA MAI,2018-05-12,87,29,20181006,917
