this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,I Saw Mummy Kissing Santa Claus,Jimmy Boyd,Jimmy Boyd,pop,19521206,13,1,6,19521227
2,1,Why Don't You Believe Me,Joni James,Joni James,jazz,19521025,17,1,20,19521227
3,4,Don't Let The Stars Get In Your Eyes,Perry Como,Perry Como,jazz,19521206,11,1,21,19521227
4,3,The Glow-Worm,Mills Brothers,Mills Brothers,jazz,19520927,17,2,21,19521227
5,5,It's In The Book,Johnny Standley,Johnny Standley,pop,19521004,19,1,19,19521227
6,6,Keep It A Secret,Jo Stafford,Jo Stafford,jazz,19521115,20,6,17,19521227
7,14,I Saw Mommy Kissing Santa Claus,Spike Jones,Spike Jones,pop,19521220,14,7,3,19521227
8,9,Because You're Mine,Mario Lanza,Mario Lanza,pop,19521011,19,7,14,19521227
9,7,Oh Happy Day,Don Howard,Don Howard,pop,19521206,19,4,15,19521227
10,11,Till I Waltz Again With You,Teresa Brewer,Teresa Brewer,pop,19521213,18,1,22,19521227
11,16,Why Don't You Believe Me,Patti Page,Patti Page,jazz,19521129,19,11,9,19521227
12,13,I Went To Your Wedding,Patti Page,Patti Page,jazz,19520830,17,1,21,19521227
13,15,Lady Of Spain,Eddie Fisher,Eddie Fisher,jazz,19521004,14,9,16,19521227
14,19,Tell Me You're Mine,Gaylords,Gaylords,pop,19521220,19,3,22,19521227
15,8,Takes Two To Tango,Pearl Bailey,Pearl Bailey,jazz,19521018,20,7,11,19521227
16,12,You Belong To Me,Jo Stafford,Jo Stafford,jazz,19520816,12,1,23,19521227
17,10,Jambalaya,Jo Stafford,Jo Stafford,jazz,19520830,13,3,20,19521227
18,NEW,My Baby's Coming Home,Les Paul & Mary Ford,Les Paul & Mary Ford,jazz,19521227,18,18,1,19521227
19,18,Trying,Hilltoppers,Hilltoppers,pop,19520913,13,7,16,19521227
20,NEW,Hold Me Thrill Me Kiss Me,Karen Chandler,Karen Chandler,pop,19521227,20,7,14,19521227
1,1,Why Don't You Believe Me,Joni James,Joni James,jazz,19521025,17,1,20,19521220
2,6,I Saw Mummy Kissing Santa Claus,Jimmy Boyd,Jimmy Boyd,pop,19521206,13,1,6,19521220
3,3,The Glow-Worm,Mills Brothers,Mills Brothers,jazz,19520927,17,2,21,19521220
4,4,Don't Let The Stars Get In Your Eyes,Perry Como,Perry Como,jazz,19521206,11,1,21,19521220
5,2,It's In The Book,Johnny Standley,Johnny Standley,pop,19521004,19,1,19,19521220
6,8,Keep It A Secret,Jo Stafford,Jo Stafford,jazz,19521115,20,6,17,19521220
7,13,Oh Happy Day,Don Howard,Don Howard,pop,19521206,19,4,15,19521220
8,9,Takes Two To Tango,Pearl Bailey,Pearl Bailey,jazz,19521018,20,7,11,19521220
9,10,Because You're Mine,Mario Lanza,Mario Lanza,pop,19521011,19,7,14,19521220
10,11,Jambalaya,Jo Stafford,Jo Stafford,jazz,19520830,13,3,20,19521220
11,18,Till I Waltz Again With You,Teresa Brewer,Teresa Brewer,pop,19521213,18,1,22,19521220
12,7,You Belong To Me,Jo Stafford,Jo Stafford,jazz,19520816,12,1,23,19521220
13,5,I Went To Your Wedding,Patti Page,Patti Page,jazz,19520830,17,1,21,19521220
14,NEW,I Saw Mommy Kissing Santa Claus,Spike Jones,Spike Jones,pop,19521220,14,7,3,19521220
15,14,Lady Of Spain,Eddie Fisher,Eddie Fisher,jazz,19521004,14,9,16,19521220
16,17,Why Don't You Believe Me,Patti Page,Patti Page,jazz,19521129,19,11,9,19521220
17,20,Lady Of Spain,Les Paul,Les Paul,jazz,19521213,20,17,2,19521220
18,12,Trying,Hilltoppers,Hilltoppers,pop,19520913,13,7,16,19521220
19,NEW,Tell Me You're Mine,Gaylords,Gaylords,pop,19521220,19,3,22,19521220
20,15,Outside Of Heaven,Eddie Fisher,Eddie Fisher,jazz,19521004,20,10,12,19521220
1,1,Why Don't You Believe Me,Joni James,Joni James,jazz,19521025,17,1,20,19521213
2,2,It's In The Book,Johnny Standley,Johnny Standley,pop,19521004,19,1,19,19521213
3,3,The Glow-Worm,Mills Brothers,Mills Brothers,jazz,19520927,17,2,21,19521213
4,11,Don't Let The Stars Get In Your Eyes,Perry Como,Perry Como,jazz,19521206,11,1,21,19521213
5,4,I Went To Your Wedding,Patti Page,Patti Page,jazz,19520830,17,1,21,19521213
6,13,I Saw Mummy Kissing Santa Claus,Jimmy Boyd,Jimmy Boyd,pop,19521206,13,1,6,19521213
7,5,You Belong To Me,Jo Stafford,Jo Stafford,jazz,19520816,12,1,23,19521213
8,6,Keep It A Secret,Jo Stafford,Jo Stafford,jazz,19521115,20,6,17,19521213
9,7,Takes Two To Tango,Pearl Bailey,Pearl Bailey,jazz,19521018,20,7,11,19521213
10,10,Because You're Mine,Mario Lanza,Mario Lanza,pop,19521011,19,7,14,19521213
11,8,Jambalaya,Jo Stafford,Jo Stafford,jazz,19520830,13,3,20,19521213
12,12,Trying,Hilltoppers,Hilltoppers,pop,19520913,13,7,16,19521213
13,19,Oh Happy Day,Don Howard,Don Howard,pop,19521206,19,4,15,19521213
14,9,Lady Of Spain,Eddie Fisher,Eddie Fisher,jazz,19521004,14,9,16,19521213
15,14,Outside Of Heaven,Eddie Fisher,Eddie Fisher,jazz,19521004,20,10,12,19521213
16,NEW,Hold Me Thrill Me Kiss Me,Karen Chandler,Karen Chandler,pop,19521213,16,16,1,19521213
17,18,Why Don't You Believe Me,Patti Page,Patti Page,jazz,19521129,19,11,9,19521213
18,NEW,Till I Waltz Again With You,Teresa Brewer,Teresa Brewer,pop,19521213,18,1,22,19521213
19,17,Yours,Vera Lynn,Vera Lynn,pop,19521025,18,9,8,19521213
20,NEW,Lady Of Spain,Les Paul,Les Paul,jazz,19521213,20,17,2,19521213
1,1,Why Don't You Believe Me,Joni James,Joni James,jazz,19521025,17,1,20,19521206
2,2,It's In The Book,Johnny Standley,Johnny Standley,pop,19521004,19,1,19,19521206
3,3,The Glow-Worm,Mills Brothers,Mills Brothers,jazz,19520927,17,2,21,19521206
4,4,I Went To Your Wedding,Patti Page,Patti Page,jazz,19520830,17,1,21,19521206
5,5,You Belong To Me,Jo Stafford,Jo Stafford,jazz,19520816,12,1,23,19521206
6,11,Keep It A Secret,Jo Stafford,Jo Stafford,jazz,19521115,20,6,17,19521206
7,8,Takes Two To Tango,Pearl Bailey,Pearl Bailey,jazz,19521018,20,7,11,19521206
8,6,Jambalaya,Jo Stafford,Jo Stafford,jazz,19520830,13,3,20,19521206
9,13,Lady Of Spain,Eddie Fisher,Eddie Fisher,jazz,19521004,14,9,16,19521206
10,7,Because You're Mine,Mario Lanza,Mario Lanza,pop,19521011,19,7,14,19521206
11,NEW,Don't Let The Stars Get In Your Eyes,Perry Como,Perry Como,jazz,19521206,11,1,21,19521206
12,9,Trying,Hilltoppers,Hilltoppers,pop,19520913,13,7,16,19521206
13,NEW,I Saw Mummy Kissing Santa Claus,Jimmy Boyd,Jimmy Boyd,pop,19521206,13,1,6,19521206
14,17,Outside Of Heaven,Eddie Fisher,Eddie Fisher,jazz,19521004,20,10,12,19521206
15,14,You Belong To Me,Patti Page,Patti Page,jazz,19520913,12,9,13,19521206
16,12,Wish You Were Here,Eddie Fisher,Eddie Fisher,jazz,19520726,13,3,20,19521206
17,10,Yours,Vera Lynn,Vera Lynn,pop,19521025,18,9,8,19521206
18,19,Why Don't You Believe Me,Patti Page,Patti Page,jazz,19521129,19,11,9,19521206
