this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Buttons And Bows,Dinah Shore,Dinah Shore,jazz,19481002,18,1,23,19481225
2,3,All I Want For Christmas (Is My Two Front Teeth),Spike Jones,Spike Jones,pop,19481127,17,1,8,19481225
3,2,On A Slow Boat To China,Kay Kyser / Harry Babbitt / Gloria Wood,Kay Kyser / Harry Babbitt / Gloria Wood,pop,19481023,20,2,17,19481225
4,5,A Little Bird Told Me,Evelyn Knight,Evelyn Knight,jazz,19481120,20,1,20,19481225
5,4,My Darling My Darling,Jo Stafford & Gordon Macrae,Jo Stafford,jazz,19481113,18,3,15,19481225
6,6,On A Slow Boat To China,Freddy Martin / Glenn Hughes,Freddy Martin / Glenn Hughes,pop,19481106,17,5,14,19481225
7,11,White Christmas,Bing Crosby,Bing Crosby,jazz,19481218,11,6,4,19481225
8,10,Buttons And Bows,Dinning Sisters,Dinning Sisters,pop,19481106,8,7,8,19481225
9,12,Until,Tommy Dorsey / Harry Prime / Clark Sisters,Tommy Dorsey / Harry Prime / Clark Sisters,pop,19480918,15,6,18,19481225
10,7,My Darling My Darling,Doris Day / Buddy Clark,Doris Day / Buddy Clark,pop,19481204,11,7,9,19481225
11,13,You Were Only Fooling,Blue Barron / Clyde Burke,Blue Barron / Clyde Burke,pop,19481023,16,9,12,19481225
12,15,On A Slow Boat To China,Eddy Howard,Eddy Howard,jazz,19481127,13,12,6,19481225
13,18,Lavender Blue,Sammy Kaye / Don Cornell / Kaydets,Sammy Kaye / Don Cornell / Kaydets,pop,19481218,18,5,14,19481225
14,9,Here Comes Santa Claus,Gene Autry,Gene Autry,country / folk,19481211,19,8,5,19481225
15,8,Twelfth Street Rag,Pee Wee Hunt,Pee Wee Hunt,jazz,19480703,14,1,27,19481225
16,NEW,Powder Your Face With Sunshine,Evelyn Knight,Evelyn Knight,jazz,19481225,16,16,1,19481225
17,NEW,Cuanto la gusta,Carmen Miranda / Andrews Sisters,Carmen Miranda / Andrews Sisters,pop,19481225,17,17,1,19481225
18,NEW,So Tired,Russ Morgan,Russ Morgan,pop,19481225,18,18,1,19481225
19,NEW,Sweet Georgia Brown,Brother Bones And His Shadows,Brother Bones And His Shadows,pop,19481225,19,19,1,19481225
20,20,On A Slow Boat To China,Art Lund,Art Lund,jazz,19481120,13,13,6,19481225
1,1,Buttons And Bows,Dinah Shore,Dinah Shore,jazz,19481002,18,1,23,19481218
2,2,On A Slow Boat To China,Kay Kyser / Harry Babbitt / Gloria Wood,Kay Kyser / Harry Babbitt / Gloria Wood,pop,19481023,20,2,17,19481218
3,4,All I Want For Christmas (Is My Two Front Teeth),Spike Jones,Spike Jones,pop,19481127,17,1,8,19481218
4,3,My Darling My Darling,Jo Stafford & Gordon Macrae,Jo Stafford,jazz,19481113,18,3,15,19481218
5,7,A Little Bird Told Me,Evelyn Knight,Evelyn Knight,jazz,19481120,20,1,20,19481218
6,5,On A Slow Boat To China,Freddy Martin / Glenn Hughes,Freddy Martin / Glenn Hughes,pop,19481106,17,5,14,19481218
7,9,My Darling My Darling,Doris Day / Buddy Clark,Doris Day / Buddy Clark,pop,19481204,11,7,9,19481218
8,6,Twelfth Street Rag,Pee Wee Hunt,Pee Wee Hunt,jazz,19480703,14,1,27,19481218
9,19,Here Comes Santa Claus,Gene Autry,Gene Autry,country / folk,19481211,19,8,5,19481218
10,10,Buttons And Bows,Dinning Sisters,Dinning Sisters,pop,19481106,8,7,8,19481218
11,NEW,White Christmas,Bing Crosby,Bing Crosby,jazz,19481218,11,6,4,19481218
12,13,Until,Tommy Dorsey / Harry Prime / Clark Sisters,Tommy Dorsey / Harry Prime / Clark Sisters,pop,19480918,15,6,18,19481218
13,11,You Were Only Fooling,Blue Barron / Clyde Burke,Blue Barron / Clyde Burke,pop,19481023,16,9,12,19481218
14,8,Maybe You'll Be There,Gordon Jenkins / Charles Lavere,Gordon Jenkins / Charles Lavere,pop,19480626,20,3,26,19481218
15,15,On A Slow Boat To China,Eddy Howard,Eddy Howard,jazz,19481127,13,12,6,19481218
16,16,A Little Bird Told Me,Paula Watson,Paula Watson,pop,19481204,14,14,3,19481218
17,14,Tree In The Meadow,Margaret Whiting,Margaret Whiting,pop,19480717,17,1,23,19481218
18,NEW,Lavender Blue,Sammy Kaye / Don Cornell / Kaydets,Sammy Kaye / Don Cornell / Kaydets,pop,19481218,18,5,14,19481218
19,12,On A Slow Boat To China,Benny Goodman / Al Hendrickson,Benny Goodman / Al Hendrickson,pop,19481204,19,12,3,19481218
20,20,On A Slow Boat To China,Art Lund,Art Lund,jazz,19481120,13,13,6,19481218
1,1,Buttons And Bows,Dinah Shore,Dinah Shore,jazz,19481002,18,1,23,19481211
2,2,On A Slow Boat To China,Kay Kyser / Harry Babbitt / Gloria Wood,Kay Kyser / Harry Babbitt / Gloria Wood,pop,19481023,20,2,17,19481211
3,6,My Darling My Darling,Jo Stafford & Gordon Macrae,Jo Stafford,jazz,19481113,18,3,15,19481211
4,12,All I Want For Christmas (Is My Two Front Teeth),Spike Jones,Spike Jones,pop,19481127,17,1,8,19481211
5,5,On A Slow Boat To China,Freddy Martin / Glenn Hughes,Freddy Martin / Glenn Hughes,pop,19481106,17,5,14,19481211
6,3,Twelfth Street Rag,Pee Wee Hunt,Pee Wee Hunt,jazz,19480703,14,1,27,19481211
7,8,A Little Bird Told Me,Evelyn Knight,Evelyn Knight,jazz,19481120,20,1,20,19481211
8,4,Maybe You'll Be There,Gordon Jenkins / Charles Lavere,Gordon Jenkins / Charles Lavere,pop,19480626,20,3,26,19481211
9,11,My Darling My Darling,Doris Day / Buddy Clark,Doris Day / Buddy Clark,pop,19481204,11,7,9,19481211
10,7,Buttons And Bows,Dinning Sisters,Dinning Sisters,pop,19481106,8,7,8,19481211
11,13,You Were Only Fooling,Blue Barron / Clyde Burke,Blue Barron / Clyde Burke,pop,19481023,16,9,12,19481211
12,19,On A Slow Boat To China,Benny Goodman / Al Hendrickson,Benny Goodman / Al Hendrickson,pop,19481204,19,12,3,19481211
13,10,Until,Tommy Dorsey / Harry Prime / Clark Sisters,Tommy Dorsey / Harry Prime / Clark Sisters,pop,19480918,15,6,18,19481211
14,9,Tree In The Meadow,Margaret Whiting,Margaret Whiting,pop,19480717,17,1,23,19481211
15,16,On A Slow Boat To China,Eddy Howard,Eddy Howard,jazz,19481127,13,12,6,19481211
16,14,A Little Bird Told Me,Paula Watson,Paula Watson,pop,19481204,14,14,3,19481211
17,15,Cuanto La Gusta,Carmen Miranda / Andrews Sisters,Carmen Miranda / Andrews Sisters,pop,19481106,15,12,6,19481211
18,NEW,Sweet Georgia Brown,Brother Bones And His Shadows,Brother Bones And His Shadows,pop,19481211,18,18,1,19481211
19,NEW,Here Comes Santa Claus,Gene Autry,Gene Autry,country / folk,19481211,19,8,5,19481211
