this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,I Will Always Love You,Whitney Houston,Whitney Houston,pop,19921114,40,1,26,19921226
2,3,Rump Shaker,Wreckx-N-Effect,Wreckx-N-Effect,hip-hop,19921003,94,2,28,19921226
3,2,If I Ever Fall In Love,Shai,Shai,rnb / soul,19921017,54,2,27,19921226
4,4,In The Still Of The Nite,Boyz Ii Men,Boyz Ii Men,rnb / soul,19921128,15,3,20,19921226
5,5,I'd Die Without You,P.M. Dawn,P.M. Dawn,hip-hop,19920912,61,3,28,19921226
6,7,Rhythm Is A Dancer,Snap,Snap,electronic,19920815,90,5,39,19921226
7,8,Good Enough,Bobby Brown,Bobby Brown,rnb / soul,19921017,51,7,23,19921226
8,12,Saving Forever For You,Shanice,Shanice,rnb / soul,19921024,67,4,24,19921226
9,6,How Do You Talk To An Angel,The Heights,The Heights,pop,19921003,48,1,20,19921226
10,9,Real Love,Mary J. Blige,Mary J. Blige,rnb / soul,19920829,84,7,31,19921226
11,10,What About Your Friends,Tlc,Tlc,rnb / soul,19920905,95,7,27,19921226
12,11,To Love Somebody,Michael Bolton,Michael Bolton,pop,19921017,89,11,20,19921226
13,16,Deeper And Deeper,Madonna,Madonna,pop,19921205,38,7,17,19921226
14,15,Love Is On The Way,Saigon Kick,Saigon Kick,rock,19920905,97,12,22,19921226
15,13,Do You Believe In Us,Jon Secada,Jon Secada,pop,19920926,81,13,30,19921226
16,14,Layla,Eric Clapton,Eric Clapton,rock,19921003,79,12,20,19921226
17,18,Little Miss Can't Be Wrong,Spin Doctors,Spin Doctors,rock,19921017,93,17,20,19921226
18,21,When She Cries,Restless Heart,Restless Heart,country / folk,19921114,84,11,20,19921226
19,22,Faithful,Go West,Go West,pop,19921107,84,14,20,19921226
20,19,Walking On Broken Glass,Annie Lennox,Annie Lennox,pop,19920905,96,14,25,19921226
21,17,End Of The Road,Boyz Ii Men,Boyz Ii Men,rnb / soul,19920718,53,1,32,19921226
22,26,Flex,Mad Cobra,Mad Cobra,electronic,19921017,83,13,19,19921226
23,20,Where You Goin' Now,Damn Yankees,Damn Yankees,rock,19921010,97,20,20,19921226
24,27,Back To The Hotel,N2Deep,N2Deep,hip-hop,19920711,84,14,30,19921226
25,31,Never A Time,Genesis,Genesis,rock,19921107,83,21,20,19921226
