this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Mule Train,Frankie Laine,Frankie Laine,country / folk,19491113,9,1,12,19491225
2,2,I Can Dream Can't I,Andrews Sisters / Gordon Jenkins,Andrews Sisters / Gordon Jenkins,pop,19491002,19,1,22,19491225
3,3,Slipping Around,Margaret Whiting / Jimmy Wakely,Margaret Whiting / Jimmy Wakely,pop,19490925,14,2,20,19491225
4,8,Rudolph The Red Nosed Reindeer,Gene Autrey,Gene Autrey,country / folk,19491211,12,1,6,19491225
5,7,Mule Train,Bing Crosby,Bing Crosby,jazz,19491120,10,5,9,19491225
6,4,Don't Cry Joe,Gordon Jenkins / Betty Brewer,Gordon Jenkins / Betty Brewer,pop,19491002,14,4,13,19491225
7,5,A Dreamer's Holiday,Perry Como / Fontane Sisters,Perry Como / Fontane Sisters,pop,19491106,12,4,14,19491225
8,6,That Lucky Old Sun,Frankie Laine,Frankie Laine,country / folk,19490904,20,1,18,19491225
9,11,I Yust Go Nuts At Christmas,Yogi Yorgesson,Yogi Yorgesson,pop,19491218,11,5,3,19491225
10,NEW,White Christmas,Bing Crosby,Bing Crosby,jazz,19491225,10,7,2,19491225
11,9,I Never See Maggie Alone,Kenny Roberts,Kenny Roberts,country / folk,19490911,17,9,16,19491225
12,14,I've Got A Lovely Bunch Of Coconuts,Freddy Martin / Merv Griffin,Freddy Martin / Merv Griffin,pop,19491113,16,8,7,19491225
13,19,Yingle Bells,Yogi Yorgesson,Yogi Yorgesson,pop,19491218,19,9,3,19491225
14,NEW,Dear Hearts And Gentle People,Bing Crosby,Bing Crosby,jazz,19491225,14,2,12,19491225
15,13,Whispering Hope,Jo Stafford & Gordon Macrae,Jo Stafford,jazz,19490911,20,6,19,19491225
16,NEW,Dear Hearts And Gentle People,Dinah Shore,Dinah Shore,jazz,19491225,16,7,11,19491225
17,15,Mule Train,Vaughn Monroe,Vaughn Monroe,jazz,19491127,18,10,5,19491225
18,12,Jealous Heart,Al Morgan,Al Morgan,pop,19490731,7,4,22,19491225
19,10,Mule Train,Tennessee Ernie Ford,Tennessee Ernie Ford,country / folk,19491204,20,10,4,19491225
20,NEW,Johnson Rag,Jack Teter Trio,Jack Teter Trio,pop,19491225,20,6,9,19491225
1,1,Mule Train,Frankie Laine,Frankie Laine,country / folk,19491113,9,1,12,19491218
2,2,I Can Dream Can't I,Andrews Sisters / Gordon Jenkins,Andrews Sisters / Gordon Jenkins,pop,19491002,19,1,22,19491218
3,3,Slipping Around,Margaret Whiting / Jimmy Wakely,Margaret Whiting / Jimmy Wakely,pop,19490925,14,2,20,19491218
4,6,Don't Cry Joe,Gordon Jenkins / Betty Brewer,Gordon Jenkins / Betty Brewer,pop,19491002,14,4,13,19491218
5,7,A Dreamer's Holiday,Perry Como / Fontane Sisters,Perry Como / Fontane Sisters,pop,19491106,12,4,14,19491218
6,4,That Lucky Old Sun,Frankie Laine,Frankie Laine,country / folk,19490904,20,1,18,19491218
7,5,Mule Train,Bing Crosby,Bing Crosby,jazz,19491120,10,5,9,19491218
