this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Say You Say Me,Lionel Richie,Lionel Richie,rnb / soul,19851109,40,1,20,19851228
2,3,Party All The Time,Eddie Murphy,Eddie Murphy,pop,19851005,82,2,22,19851228
3,4,Alive And Kicking,Simple Minds,Simple Minds,rock,19851019,52,3,20,19851228
4,8,That's What Friends Are For,Dionne & Friends,Dionne & Friends,pop,19851109,67,1,23,19851228
5,7,I Miss You,Klymaxx,Klymaxx,pop,19850914,86,5,29,19851228
6,9,Small Town,John Cougar Mellencamp,John Cougar Mellencamp,rock,19851102,51,6,18,19851228
7,2,Broken Wings,Mr Mister,Mr Mister,pop,19850921,84,1,22,19851228
8,5,Separate Lives,Phil Collins & Marilyn Martin,Phil Collins & Marilyn Martin,pop,19851005,45,1,21,19851228
9,12,Tonight She Comes,Cars,Cars,rock,19851102,59,7,17,19851228
10,6,Election Day,Arcadia,Arcadia,rock,19851026,46,6,16,19851228
11,16,Talk To Me,Stevie Nicks,Stevie Nicks,pop,19851116,66,4,18,19851228
12,10,Sleeping Bag,Zz Top,Zz Top,rock,19851019,49,8,17,19851228
13,14,Walk Of Life,Dire Straits,Dire Straits,rock,19851102,61,7,21,19851228
14,11,Perfect Way,Scritti Politti,Scritti Politti,rock,19850907,87,11,25,19851228
15,17,Burning Heart,Survivor,Survivor,rock,19851102,64,2,22,19851228
16,32,My Hometown,Bruce Springsteen,Bruce Springsteen,rock,19851207,55,6,15,19851228
17,20,Love Is The Seventh Wave,Sting,Sting,rock,19851109,61,17,13,19851228
18,19,Emergency,Kool And The Gang,Kool And The Gang,rnb / soul,19851026,77,18,16,19851228
19,23,It's Only Love,Bryan Adams & Tina Turner,Bryan Adams & Tina Turner,rock,19851123,53,15,14,19851228
20,25,I'm Your Man,Wham,Wham,pop,19851130,55,3,18,19851228
21,22,Conga,Miami Sound Machine,Miami Sound Machine,pop,19851019,95,10,27,19851228
22,26,Go Home,Stevie Wonder,Stevie Wonder,rnb / soul,19851123,67,10,17,19851228
23,24,You're A Friend Of Mine,Clarence Clemons & Jackson Browne,Clarence Clemons & Jackson Browne,rock,19851026,80,18,19,19851228
24,28,Spies Like Us,Paul Mccartney,Paul Mccartney,rock,19851123,59,7,17,19851228
25,13,Never,Heart,Heart,rock,19850914,70,4,24,19851228
26,15,We Built This City,Starship,Starship,pop,19850907,73,1,24,19851228
27,30,Goodbye,Night Ranger,Night Ranger,rock,19851109,80,17,18,19851228
28,29,Everybody Dance,Ta Mara & The Seen,Ta Mara & The Seen,pop,19851012,87,24,21,19851228
29,27,Object Of My Desire,Starpoint,Starpoint,rnb / soul,19850928,76,25,24,19851228
