this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,The Old Lamplighter,Sammy Kaye / Billy Williams,Sammy Kaye / Billy Williams,pop,19461116,5,1,14,19461226
2,7,White Christmas,Bing Crosby,Bing Crosby,jazz,19461220,7,2,4,19461226
3,1,Ole Buttermilk Sky,Kay Kyser / Michael Douglas / Campus Kids,Kay Kyser / Michael Douglas / Campus Kids,pop,19461102,5,1,11,19461226
4,3,The Old Lamplighter,Kay Kyser / Michael Douglas,Kay Kyser / Michael Douglas,pop,19461130,7,3,11,19461226
5,6,Huggin' And Chalkin',Hoagy Carmichael,Hoagy Carmichael,jazz,19461207,10,2,13,19461226
6,8,Ole Buttermilk Sky,Hoagy Carmichael,Hoagy Carmichael,jazz,19461130,10,2,12,19461226
7,NEW,The Christmas Song,King Cole Trio,King Cole Trio,jazz,19461226,7,7,1,19461226
8,5,(I Love You) For Sentimental Reasons,King Cole Trio,King Cole Trio,jazz,19461214,5,1,11,19461226
9,4,Rumours Are Flying,Frankie Carle / Marjorie Hughes,Frankie Carle / Marjorie Hughes,pop,19460914,2,1,18,19461226
10,NEW,Winter Wonderland,Perry Como,Perry Como,jazz,19461226,10,10,1,19461226
1,1,Ole Buttermilk Sky,Kay Kyser / Michael Douglas / Campus Kids,Kay Kyser / Michael Douglas / Campus Kids,pop,19461102,5,1,11,19461220
2,2,The Old Lamplighter,Sammy Kaye / Billy Williams,Sammy Kaye / Billy Williams,pop,19461116,5,1,14,19461220
3,4,The Old Lamplighter,Kay Kyser / Michael Douglas,Kay Kyser / Michael Douglas,pop,19461130,7,3,11,19461220
4,3,Rumours Are Flying,Frankie Carle / Marjorie Hughes,Frankie Carle / Marjorie Hughes,pop,19460914,2,1,18,19461220
5,5,(I Love You) For Sentimental Reasons,King Cole Trio,King Cole Trio,jazz,19461214,5,1,11,19461220
6,7,Huggin' And Chalkin',Hoagy Carmichael,Hoagy Carmichael,jazz,19461207,10,2,13,19461220
7,NEW,White Christmas,Bing Crosby,Bing Crosby,jazz,19461220,7,2,4,19461220
8,8,Ole Buttermilk Sky,Hoagy Carmichael,Hoagy Carmichael,jazz,19461130,10,2,12,19461220
9,NEW,Rumors Are Flying,Betty Rhodes,Betty Rhodes,jazz,19461220,9,9,1,19461220
10,NEW,Rumurs Are Fying,Andrews Sisters / Les Paul,Andrews Sisters / Les Paul,pop,19461220,10,10,1,19461220
1,3,Ole Buttermilk Sky,Kay Kyser / Michael Douglas / Campus Kids,Kay Kyser / Michael Douglas / Campus Kids,pop,19461102,5,1,11,19461214
