this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,I Feel Fine,Beatles,Beatles,rock,19641205,22,1,11,19641226
2,1,Come See About Me,Supremes,Supremes,rnb / soul,19641114,66,1,14,19641226
3,3,Mr. Lonely,Bobby Vinton,Bobby Vinton,pop,19641031,70,1,15,19641226
4,14,She's A Woman,Beatles,Beatles,rock,19641205,46,4,9,19641226
5,4,She's Not There,Zombies,Zombies,pop,19641003,116,2,17,19641226
6,7,Goin' Out Of My Head,Little Anthony & The Imperials,Little Anthony & The Imperials,rnb / soul,19641107,75,6,14,19641226
7,5,Ringo,Lorne Greene,Lorne Greene,country / folk,19641024,117,1,13,19641226
8,8,Dance Dance Dance,Beach Boys,Beach Boys,rock,19641107,79,8,11,19641226
9,12,The Jerk,The Larks,The Larks,pop,19641024,119,7,16,19641226
10,6,Time Is On My Side,Rolling Stones,Rolling Stones,rock,19641017,80,6,13,19641226
11,30,Love Potion No. 9,Searchers,Searchers,pop,19641121,102,3,15,19641226
12,24,Amen,Impressions,Impressions,rnb / soul,19641121,96,7,11,19641226
13,16,Sha-La-La,Manfred Mann,Manfred Mann,rock,19641114,71,12,12,19641226
14,17,The Wedding,Julie Rodgers,Julie Rodgers,pop,19641114,102,10,12,19641226
15,9,I'm Gonna Be Strong,Gene Pitney,Gene Pitney,pop,19641024,74,9,12,19641226
16,11,Mountain Of Love,Johnny Rivers,Johnny Rivers,rock,19641031,90,9,11,19641226
17,13,I'm Into Something Good,Herman'S Hermits,Herman'S Hermits,pop,19641010,107,13,14,19641226
18,10,You Really Got Me,The Kinks,The Kinks,rock,19640926,92,7,15,19641226
19,19,Any Way You Want It,Dave Clark Five,Dave Clark Five,pop,19641114,78,15,13,19641226
20,18,Saturday Night At The Movies,The Drifters,The Drifters,rnb / soul,19641114,82,18,9,19641226
21,25,My Love Forgive Me,Robert Goulet,Robert Goulet,pop,19641017,117,16,16,19641226
22,20,The Leader Of The Pack,The Shangri-Las,The Shangri-Las,pop,19641010,86,1,12,19641226
23,39,Keep Searchin',Del Shannon,Del Shannon,pop,19641121,87,9,14,19641226
24,28,Willow Weep For Me,Chad & Jeremy,Chad & Jeremy,pop,19641114,94,15,13,19641226
25,26,Oh No Not My Baby,Maxine Brown,Maxine Brown,rnb / soul,19641003,123,24,16,19641226
26,36,As Tears Go By,Marianne Faithfull,Marianne Faithfull,pop,19641114,128,22,11,19641226
27,34,How Sweet It Is,Marvin Gaye,Marvin Gaye,rnb / soul,19641121,88,6,14,19641226
28,33,Leader Of The Laundromat,The Detergents,The Detergents,pop,19641205,80,19,8,19641226
29,29,Too Many Fish In The Sea,Marvelettes,Marvelettes,rnb / soul,19641107,82,25,12,19641226
30,38,Dear Heart,Andy Williams,Andy Williams,pop,19641128,78,24,11,19641226
31,31,She Understands Me,Johnny Tillotson,Johnny Tillotson,pop,19641024,104,31,12,19641226
32,35,Thou Shalt Not Steal,Dick & Deedee,Dick & Deedee,pop,19641114,120,13,14,19641226
33,15,Baby Love,Supremes,Supremes,rnb / soul,19641003,51,1,13,19641226
34,60,You've Lost That Lovin' Feeling,Righteous Brothers,Righteous Brothers,pop,19641205,124,1,17,19641226
35,40,One More Time,Ray Charles,Ray Charles,jazz,19641031,125,32,12,19641226
36,21,Right Or Wrong,Ronnie Dove,Ronnie Dove,pop,19641017,110,14,11,19641226
37,48,Dear Heart,Jack Jones,Jack Jones,jazz,19641128,75,30,11,19641226
38,32,Walking In The Rain,The Ronettes,The Ronettes,pop,19641024,95,23,11,19641226
39,41,Wild One,Martha And The Vandellas,Martha And The Vandellas,rnb / soul,19641205,63,34,7,19641226
40,45,Walk Away,Matt Monro,Matt Monro,pop,19641121,103,23,10,19641226
41,87,Downtown,Petula Clark,Petula Clark,pop,19641219,87,1,15,19641226
42,52,Don't Forget I Still Love You,Bobbi Martin,Bobbi Martin,pop,19641121,134,19,13,19641226
43,46,Do-Wacka-Do,Roger Miller,Roger Miller,country / folk,19641128,96,31,8,19641226
44,44,Run Run Run,Gestures,Gestures,pop,19641107,130,44,9,19641226
45,50,Smile,Betty Everett & Jerry Butler,Betty Everett & Jerry Butler,rnb / soul,19641205,79,42,7,19641226
46,56,Roses Are Red My Love,The You Know Who Group,The You Know Who Group,pop,19641114,126,43,11,19641226
