this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,3,(Just Like) Starting Over,John Lennon,John Lennon,rock,classic rock,19801102,38,1,22,19801228
2,2,More Than I Can Say,Leo Sayer,Leo Sayer,pop,pop,19800928,82,2,23,19801228
3,4,Love On the Rocks,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19801102,32,2,20,19801228
4,1,Lady,Kenny Rogers,Kenny Rogers,country / folk,country,19801005,39,1,25,19801228
5,6,Hungry Heart,Bruce Springsteen,Bruce Springsteen,rock,rock,19801109,30,5,18,19801228
6,10,Every Woman In The World,Air Supply,Air Supply,pop,80s,19801026,84,5,22,19801228
7,8,Guilty,Barbra Streisand & Barry Gibb,Barbra Streisand & Barry Gibb,pop,female vocalists,19801102,68,3,22,19801228
8,11,The Tide Is High,Blondie,Blondie,rock,new wave,19801116,81,1,26,19801228
9,9,Hit Me With Your Best Shot,Pat Benatar,Pat Benatar,pop,80s,19801005,73,9,24,19801228
10,12,Tell It Like It Is,Heart,Heart,rock,classic rock,19801123,41,8,16,19801228
11,16,Passion,Rod Stewart,Rod Stewart,rock,classic rock,19801123,50,5,20,19801228
12,14,"De Do Do Do, De Da Da Da",Police,Police,rock,rock,19801026,80,10,21,19801228
13,5,Masterblaster,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19800921,78,5,23,19801228
14,7,Another One Bites The Dust,Queen,Queen,rock,classic rock,19800817,67,1,31,19801228
15,17,It's My Turn,Diana Ross,Diana Ross,rnb / soul,soul,19801026,86,9,21,19801228
16,22,I Made It Through The Rain,Barry Manilow,Barry Manilow,pop,pop,19801123,61,10,16,19801228
17,20,Celebration,Kool And The Gang,Kool And The Gang,rnb / soul,funk,19801026,87,1,30,19801228
18,19,Everybody's Got To Learn Sometime,Korgis,Korgis,rock,new wave,19801012,85,18,19,19801228
19,26,I Love A Rainy Night,Eddie Rabbitt,Eddie Rabbitt,country / folk,country,19801109,89,1,28,19801228
20,27,Hey Nineteen,Steely Dan,Steely Dan,rock,classic rock,19801130,65,10,19,19801228
21,29,Time Is Time,Andy Gibb,Andy Gibb,disco,disco,19801123,65,15,17,19801228
22,13,Woman In Love,Barbra Streisand,Barbra Streisand,pop,female vocalists,19800907,49,1,24,19801228
23,25,Suddenly,Olivia Newton-John & Cliff Richard,Olivia Newton-John & Cliff Richard,pop,pop,19801026,79,20,19,19801228
24,24,I Believe In You,Don Williams,Don Williams,country / folk,country,19800914,106,24,22,19801228
25,15,You've lost That Lovin' Feelin',Daryl Hall & John Oates,Daryl Hall & John Oates,pop,80s,19800928,68,12,20,19801228
26,28,One Step Closer,Doobie Brothers,Doobie Brothers,rock,classic rock,19801123,54,24,14,19801228
27,18,Whip It,Devo,Devo,rock,new wave,19800831,85,14,25,19801228
28,38,Giving It Up For Your Love,Delbert Mcclinton,Delbert Mcclinton,rock,blues,19801207,90,8,19,19801228
29,33,Together,Tierra,Tierra,pop,latin,19801109,80,18,21,19801228
30,45,Miss Sun,Boz Scaggs,Boz Scaggs,rock,classic rock,19801130,87,14,17,19801228
31,31,Never Be The Same,Christopher Cross,Christopher Cross,rock,soft rock,19801012,75,15,19,19801228
32,21,"Theme From ""The Dukes Of Hazzard""",Waylon Jennings,Waylon Jennings,country / folk,country,19800824,106,21,26,19801228
33,39,9 To 5,Dolly Parton,Dolly Parton,country / folk,country,19801130,73,1,26,19801228
34,30,I'm Coming Out,Diana Ross,Diana Ross,rnb / soul,soul,19800907,88,5,23,19801228
35,34,Girls Can Get It,Dr Hook,Dr Hook,rock,classic rock,19801102,80,34,14,19801228
36,44,The Winner Takes It All,Abba,Abba,pop,pop,19801123,82,8,26,19801228
37,59,Same Old Lang Syne,Dan Fogelberg,Dan Fogelberg,country / folk,singer-songwriter,19801214,75,9,18,19801228
38,23,Sequel,Harry Chapin,Harry Chapin,country / folk,folk,19801102,70,23,14,19801228
39,53,Keep On Loving You,Reo Speedwagon,Reo Speedwagon,rock,classic rock,19801130,88,1,28,19801228
40,46,Killin' Time,Fred Knoblock & Susan Anton,Fred Knoblock,pop,unknown,19801123,87,28,18,19801228
41,54,Cold Love,Donna Summer,Donna Summer,disco,disco,19801130,81,33,12,19801228
42,43,Turn And Walk Away,Babys,Babys,rock,classic rock,19801116,79,42,12,19801228
43,47,He Can't Love You,Michael Stanley Band,Michael Stanley Band,rock,classic rock,19801123,86,33,16,19801228
44,52,Need Your Loving Tonight,Queen,Queen,rock,classic rock,19801130,76,44,11,19801228
