this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Because I Love You,Stevie B,Stevie B,pop,freestyle,19901006,80,1,23,19901229
2,2,Justify My Love,Madonna,Madonna,pop,pop,19901117,46,1,16,19901229
3,3,From A Distance,Bette Midler,Bette Midler,pop,female vocalists,19901006,75,2,26,19901229
4,4,Impulsive,Wilson Phillips,Wilson Phillips,pop,pop,19901013,62,4,20,19901229
5,5,Tom's Diner,Dna Feat Suzanne Vega,Dna Feat Suzanne Vega,pop,female vocalists,19901006,87,5,21,19901229
6,6,High Enough,Damn Yankees,Damn Yankees,rock,hard rock,19900922,89,3,29,19901229
7,7,I'm Your Baby Tonight,Whitney Houston,Whitney Houston,pop,pop,19901020,42,1,19,19901229
8,8,Freedom,George Michael,George Michael,pop,pop,19901027,53,8,16,19901229
9,9,The Way You Do The Things You Do,Ub40,Ub40,reggae,reggae,19900915,100,6,25,19901229
10,10,Sensitivity,Ralph Tresvant,Ralph Tresvant,rnb / soul,rnb,19901103,64,4,20,19901229
11,11,Love Will Never Do,Janet Jackson,Janet Jackson,pop,pop,19901117,89,1,22,19901229
12,12,Miracle,Jon Bon Jovi,Jon Bon Jovi,rock,rock,19901027,47,12,16,19901229
13,13,Something To Believe In,Poison,Poison,rock,hard rock,19901006,70,4,21,19901229
14,14,Love Takes Time,Mariah Carey,Mariah Carey,pop,pop,19900915,73,1,26,19901229
15,15,Groove Is In The Heart,Deee-Lite,Deee-Lite,electronic,dance,19900915,96,4,23,19901229
16,16,The First Time,Surface,Surface,pop,japanese,19901103,82,1,25,19901229
17,17,Miles Away,Winger,Winger,rock,hard rock,19901013,84,12,22,19901229
18,18,One And Only Man,Steve Winwood,Steve Winwood,rock,classic rock,19901103,55,18,15,19901229
19,19,Wiggle It,Two In A Room,Two In A Room,electronic,house,19901006,95,15,22,19901229
20,20,After The Rain,Nelson,Nelson,rock,hard rock,19901103,75,6,22,19901229
21,21,Gonna Make You Sweat,C&C Music Factory,C&C Music Factory,electronic,dance,19901117,74,1,25,19901229
22,22,Feels Good,Tony Toni Tone,Tony Toni Tone,rnb / soul,soul,19900901,68,9,25,19901229
23,23,Play That Funky Music,Vanilla Ice,Vanilla Ice,hip-hop,rap,19901208,66,4,17,19901229
24,24,Just Another Dream,Cathy Dennis,Cathy Dennis,pop,pop,19901027,88,9,22,19901229
25,25,I'm Not In Love,Will To Power,Will To Power,pop,80s,19901117,61,7,18,19901229
26,26,For You,Outfield,Outfield,pop,80s,19901103,68,21,18,19901229
27,27,Hang In Long Enough,Phil Collins,Phil Collins,pop,pop,19901110,69,23,13,19901229
28,28,More Than Words Can Say,Alias,Alias,pop,anticon,19900908,84,2,23,19901229
29,29,On The Way Up,Elisa Fiorillo,Elisa Fiorillo,pop,pop,19900929,89,27,19,19901229
30,30,Stranded,Heart,Heart,rock,classic rock,19900922,83,13,22,19901229
31,31,Fairweather Friend,Johnny Gill,Johnny Gill,rnb / soul,rnb,19901020,88,28,16,19901229
32,32,Anything Is Possible,Debbie Gibson,Debbie Gibson,pop,pop,19901117,75,26,12,19901229
33,33,You're Amazing,Robert Palmer,Robert Palmer,pop,80s,19901117,82,28,13,19901229
34,34,Gentle,Dino,Dino,pop,pop,19901110,81,31,14,19901229
35,35,Ice Ice Baby,Vanilla Ice,Vanilla Ice,hip-hop,rap,19900908,72,1,21,19901229
36,36,I'll Give All My Love To You,Keith Sweat,Keith Sweat,rnb / soul,rnb,19901201,54,7,20,19901229
37,37,My Love Is A Fire,Donny Osmond,Donny Osmond,pop,pop,19901013,80,21,16,19901229
38,38,Knockin' Boots,Candyman,Candyman,hip-hop,hip-hop,19900901,91,9,23,19901229
39,39,Disappear,Inxs,Inxs,rock,rock,19901124,89,8,20,19901229
40,40,Unchained Melody 1990,Righteous Brothers,Righteous Brothers,pop,oldies,19901006,45,19,25,19901229
41,41,Around The Way Girl,Ll Cool J,Ll Cool J,hip-hop,hip-hop,19901201,83,9,23,19901229
42,42,So Close,Daryl Hall & John Oates,Daryl Hall & John Oates,pop,80s,19900929,69,11,19,19901229
43,43,Does She Love That Man,Breathe,Breathe,pop,80s,19901117,80,34,13,19901229
44,44,The Ghetto,Too Short,Too Short,hip-hop,rap,19901117,94,42,14,19901229
45,45,You Gotta Love Someone,Elton John,Elton John,pop,pop,19901124,85,43,13,19901229
46,46,I Saw Red,Warrant,Warrant,rock,hard rock,19901201,85,10,19,19901229
47,47,Pray,M.C. Hammer,M.C. Hammer,hip-hop,hip-hop,19900929,44,2,18,19901229
48,48,New York Minute,Don Henley,Don Henley,rock,classic rock,19901110,82,48,16,19901229
49,49,The Shoop Shoop Song (It's In His Kiss),Cher,Cher,pop,pop,19901124,84,33,16,19901229
50,50,Hard To Handle,Black Crowes,Black Crowes,rock,rock,19901027,99,45,15,19901229
51,51,Where Does My Heart Beat Now,Celine Dion,Celine Dion,pop,pop,19901208,80,4,24,19901229
52,52,World In My Eyes,Depeche Mode,Depeche Mode,pop,electronic,19901124,71,52,10,19901229
53,53,All The Man That I Need,Whitney Houston,Whitney Houston,pop,pop,19901222,53,1,23,19901229
54,54,Hippychick,Soho,Soho,electronic,dance,19900908,95,14,19,19901229
55,55,Love Makes Things Happen,Pebbles,Pebbles,pop,80s,19901201,91,13,19,19901229
56,56,If You Needed Somebody,Bad Company,Bad Company,rock,classic rock,19901110,88,16,24,19901229
57,57,BBD (I Thought It Was Me),Bell Biv Devoe,Bell Biv Devoe,rnb / soul,new jack swing,19901013,90,26,15,19901229
58,58,No Matter What,George Lamont,George Lamont,pop,unknown,19901201,86,49,16,19901229
59,59,I Don't Have The Heart,James Ingram,James Ingram,rnb / soul,soul,19900804,86,1,26,19901229
60,60,Money Talks,Ac/Dc,Ac/Dc,rock,hard rock,19901208,76,23,16,19901229
61,61,Candy,Iggy Pop,Iggy Pop,pop,punk,19901124,90,28,15,19901229
62,62,Heat Of The Moment,After 7,After 7,rnb / soul,rnb,19901124,92,19,18,19901229
63,63,Close To You,Maxi Priest,Maxi Priest,reggae,reggae,19900630,87,1,30,19901229
64,64,Wicked Game,Chris Isaak,Chris Isaak,rock,rock,19901201,94,6,24,19901229
65,65,I Wanna Get With U,Guy,Guy,rnb / soul,new jack swing,19901110,73,50,15,19901229
66,66,It Never Rains (In Southern California),Tony! Toni! Tone!,Tony! Toni! Tone!,rnb / soul,soul,19901222,66,34,15,19901229
67,67,Shelter Me,Cinderella,Cinderella,rock,hard rock,19901208,89,36,13,19901229
68,68,I Don't Know Anybody Else,Black Box,Black Box,electronic,dance,19901208,86,23,14,19901229
69,69,Can't Stop,After 7,After 7,rnb / soul,rnb,19900728,78,6,25,19901229
70,70,Go For It,Joey B Ellis & Tynetta Hare,Joey B Ellis,hip-hop,rap,19901208,92,66,8,19901229
71,71,House Full Of Reasons,Jude Cole,Jude Cole,country / folk,singer-songwriter,19901201,82,69,15,19901229
72,72,Think,Information Society,Information Society,pop,synthpop,19901006,82,28,16,19901229
73,73,Give It To Me Good,Trixter,Trixter,rock,hard rock,19901201,95,65,9,19901229
74,74,Show Me The Way,Styx,Styx,rock,classic rock,19901208,96,3,23,19901229
75,75,Round And Round,Tevin Campbell,Tevin Campbell,rnb / soul,rnb,19901208,78,12,29,19901229
76,76,Giving You The Benefit,Pebbles,Pebbles,pop,80s,19900818,76,4,22,19901229
77,77,Just A Little Bit Longer,Maxi Priest,Maxi Priest,reggae,reggae,19901208,84,62,11,19901229
78,78,Deeper Shade Of Soul,Urban Dance Squad,Urban Dance Squad,pop,crossover,19901215,93,21,18,19901229
79,79,Get Here,Oleta Adams,Oleta Adams,rnb / soul,soul,19901215,89,5,23,19901229
80,80,And So It Goes,Billy Joel,Billy Joel,rock,classic rock,19901020,83,37,12,19901229
81,81,Cherry Pie,Warrant,Warrant,rock,hard rock,19900908,97,10,19,19901229
82,82,Crash (Have Some Fun),Tka,Tka,pop,freestyle,19901201,92,80,7,19901229
83,83,Joey,Concrete Blonde,Concrete Blonde,rock,alternative,19900818,98,19,21,19901229
84,84,Use It Up And Wear It Out,Pat & Mick,Pat & Mick,pop,80s,19901215,86,81,7,19901229
85,85,Melt In Your Mouth,Candyman,Candyman,hip-hop,hip-hop,19901215,95,69,11,19901229
86,86,This Is Ponderous,2Nu,2Nu,pop,spoken word,19901222,86,46,13,19901229
87,87,Lyin' To Myself,David Cassidy,David Cassidy,pop,pop,19900922,90,27,16,19901229
