this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,The Monster,Eminem Featuring Rihanna,Eminem,hip-hop,rap,20131116,3,1,29,20131228
2,2,Timber,Pitbull Featuring Ke$Ha,Pitbull,hip-hop,hip-hop,20131026,49,1,39,20131228
3,3,Counting Stars,Onerepublic,Onerepublic,rock,rock,20130706,32,2,68,20131228
4,8,Say Something,A Great Big World Featuring Christina Aguilera,A Great Big World,rock,indie,20131123,16,4,26,20131228
5,4,Royals,Lorde,Lorde,pop,pop,20130720,90,1,44,20131228
6,7,Demons,Imagine Dragons,Imagine Dragons,rock,indie,20130928,46,6,41,20131228
7,6,Wake Me Up!,Avicii,Avicii,electronic,house,20130713,81,4,53,20131228
8,5,Wrecking Ball,Miley Cyrus,Miley Cyrus,pop,pop,20130907,50,1,32,20131228
9,9,Let Her Go,Passenger,Passenger,country / folk,folk,20130817,95,5,43,20131228
10,11,Story Of My Life,One Direction,One Direction,pop,pop,20131116,6,6,32,20131228
11,10,"Hold On, We're Going Home",Drake Featuring Majid Jordan,Drake,hip-hop,hip-hop,20130824,21,4,33,20131228
12,12,Roar,Katy Perry,Katy Perry,pop,pop,20130824,85,1,35,20131228
13,16,Burn,Ellie Goulding,Ellie Goulding,pop,female vocalists,20131005,99,13,34,20131228
14,15,Sweater Weather,The Neighbourhood,The Neighbourhood,rock,indie,20130713,96,14,35,20131228
15,17,White Walls,Macklemore & Ryan Lewis Featuring Schoolboy Q & Hollis,Macklemore & Ryan Lewis,hip-hop,hip-hop,20131005,100,15,22,20131228
16,18,Do What U Want,Lady Gaga Featuring R. Kelly,Lady Gaga,pop,pop,20131109,13,13,19,20131228
17,14,Unconditionally,Katy Perry,Katy Perry,pop,pop,20131109,30,14,20,20131228
18,21,23,"Mike Will Made-It Feat Miley Cyrus, Wiz Khalifa & Juicy J",Mike Will Made-It Feat Miley Cyrus,pop,unknown,20131012,11,11,22,20131228
19,20,Stay The Night,Zedd Featuring Hayley Williams,Zedd,electronic,electronic,20131012,86,18,21,20131228
20,19,Applause,Lady Gaga,Lady Gaga,pop,pop,20130831,6,4,23,20131228
21,23,My Hitta,Yg X Jeezy X Rich Homie Quan,Yg X Jeezy X Rich Homie Quan,pop,unknown,20131019,67,19,28,20131228
22,36,Dark Horse,Katy Perry Featuring Juicy J,Katy Perry,pop,pop,20131005,17,1,57,20131228
23,32,Team,Lorde,Lorde,pop,pop,20131012,90,6,38,20131228
24,29,Pompeii,Bastille,Bastille,rock,indie,20130831,95,5,53,20131228
