this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,4,Cry,Johnnie Ray,Johnnie Ray,pop,50s,19511125,18,1,25,19511227
2,1,It's No Sin,Eddy Howard,Eddy Howard,jazz,jazz,19510922,14,1,22,19511227
3,5,The Little White Cloud That Cried,Johnnie Ray,Johnnie Ray,pop,50s,19511118,20,2,19,19511227
4,7,Shrimp Boats,Jo Stafford,Jo Stafford,jazz,jazz,19511125,12,2,13,19511227
5,3,Jealousy,Frankie Laine,Frankie Laine,country / folk,country,19511110,18,3,8,19511227
6,2,Cold Cold Heart,Tony Bennett,Tony Bennett,jazz,jazz,19510811,15,1,25,19511227
7,10,Slow Poke,Pee Wee King / Redd Stewart,Pee Wee King / Redd Stewart,pop,unknown,19511118,13,3,17,19511227
8,8,Undecided,Ames Brothers / Les Brown,Ames Brothers / Les Brown,pop,unknown,19511006,20,6,19,19511227
9,6,Because Of You,Tony Bennett,Tony Bennett,jazz,jazz,19510630,19,1,30,19511227
10,13,Any Time,Eddie Fisher,Eddie Fisher,jazz,jazz,19511209,20,3,24,19511227
11,11,Down Yonder,Del Wood,Del Wood,pop,ragtime,19510825,19,6,23,19511227
12,9,It's No Sin,Four Aces,Four Aces,pop,american,19510908,17,4,21,19511227
13,14,Tell Me Why,Four Aces,Four Aces,pop,american,19511209,19,2,21,19511227
14,12,Charmaine,Mantovani,Mantovani,pop,instrumental,19511125,17,10,13,19511227
15,15,Domino,Tony Martin,Tony Martin,rock,heavy metal,19511103,17,10,11,19511227
16,18,White Christmas,Bing Crosby,Bing Crosby,jazz,jazz,19511222,18,16,3,19511227
17,NEW,Dance Me Loose,Arthur Godfrey / Chordettes,Arthur Godfrey / Chordettes,pop,unknown,19511227,17,17,1,19511227
18,NEW,Down Yonder,Joe 'Fingers' Carr,Joe 'Fingers' Carr,pop,instrumental,19511227,18,18,1,19511227
19,NEW,Mother At Your Feet Is Kneeling,Bobby Wayne,Bobby Wayne,rock,rockabilly,19511227,19,19,1,19511227
20,NEW,Rudolph The Red Nosed Reindeer,Gene Autry,Gene Autry,country / folk,country,19511227,20,16,2,19511227
1,1,It's No Sin,Eddy Howard,Eddy Howard,jazz,jazz,19510922,14,1,22,19511222
2,2,Cold Cold Heart,Tony Bennett,Tony Bennett,jazz,jazz,19510811,15,1,25,19511222
3,3,Jealousy,Frankie Laine,Frankie Laine,country / folk,country,19511110,18,3,8,19511222
4,8,Cry,Johnnie Ray,Johnnie Ray,pop,50s,19511125,18,1,25,19511222
5,5,The Little White Cloud That Cried,Johnnie Ray,Johnnie Ray,pop,50s,19511118,20,2,19,19511222
6,4,Because Of You,Tony Bennett,Tony Bennett,jazz,jazz,19510630,19,1,30,19511222
7,9,Shrimp Boats,Jo Stafford,Jo Stafford,jazz,jazz,19511125,12,2,13,19511222
8,6,Undecided,Ames Brothers / Les Brown,Ames Brothers / Les Brown,pop,unknown,19511006,20,6,19,19511222
9,10,It's No Sin,Four Aces,Four Aces,pop,american,19510908,17,4,21,19511222
10,7,Slow Poke,Pee Wee King / Redd Stewart,Pee Wee King / Redd Stewart,pop,unknown,19511118,13,3,17,19511222
11,13,Down Yonder,Del Wood,Del Wood,pop,ragtime,19510825,19,6,23,19511222
12,11,Charmaine,Mantovani,Mantovani,pop,instrumental,19511125,17,10,13,19511222
13,20,Any Time,Eddie Fisher,Eddie Fisher,jazz,jazz,19511209,20,3,24,19511222
14,19,Tell Me Why,Four Aces,Four Aces,pop,american,19511209,19,2,21,19511222
15,12,Domino,Tony Martin,Tony Martin,rock,heavy metal,19511103,17,10,11,19511222
16,14,It's No Sin,Savannah Churchill,Savannah Churchill,pop,rhythm and blues,19511013,19,9,11,19511222
17,16,Unforgettable,Nat King Cole,Nat King Cole,jazz,jazz,19511202,15,15,3,19511222
18,NEW,White Christmas,Bing Crosby,Bing Crosby,jazz,jazz,19511222,18,16,3,19511222
19,15,Turn Back The Hands Of Time,Eddie Fisher,Eddie Fisher,jazz,jazz,19511006,17,8,12,19511222
20,NEW,Jingle Bells,Les Paul,Les Paul,jazz,jazz,19511222,20,20,1,19511222
1,2,It's No Sin,Eddy Howard,Eddy Howard,jazz,jazz,19510922,14,1,22,19511209
2,1,Cold Cold Heart,Tony Bennett,Tony Bennett,jazz,jazz,19510811,15,1,25,19511209
3,4,Jealousy,Frankie Laine,Frankie Laine,country / folk,country,19511110,18,3,8,19511209
4,3,Because Of You,Tony Bennett,Tony Bennett,jazz,jazz,19510630,19,1,30,19511209
5,8,The Little White Cloud That Cried,Johnnie Ray,Johnnie Ray,pop,50s,19511118,20,2,19,19511209
6,6,Undecided,Ames Brothers / Les Brown,Ames Brothers / Les Brown,pop,unknown,19511006,20,6,19,19511209
