this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Walk Like An Egyptian,Bangles,Bangles,pop,19860927,82,1,23,19861227
2,3,Everybody Have Fun Tonight,Wang Chung,Wang Chung,pop,19861004,82,2,21,19861227
3,4,Notorious,Duran Duran,Duran Duran,rock,19861101,56,2,17,19861227
4,5,Shake You Down,Gregory Abbott,Gregory Abbott,rnb / soul,19861018,76,1,22,19861227
5,2,The Way It Is,Bruce Hornsby And The Range,Bruce Hornsby And The Range,pop,19860920,86,1,22,19861227
6,8,C'est La Vie,Robbie Nevil,Robbie Nevil,pop,19861011,93,2,23,19861227
7,13,Control,Janet Jackson,Janet Jackson,pop,19861101,73,5,18,19861227
8,11,War,Bruce Springsteen,Bruce Springsteen,rock,19861122,45,8,12,19861227
9,9,Stand By Me,Ben E. King,Ben E. King,rnb / soul,19861004,95,9,21,19861227
10,12,Don't Get Me Wrong,Pretenders,Pretenders,rock,19861011,88,10,18,19861227
11,6,To Be A Lover,Billy Idol,Billy Idol,rock,19861004,69,6,18,19861227
12,15,Is This Love,Survivor,Survivor,rock,19861025,74,9,19,19861227
13,16,Land Of Confusion,Genesis,Genesis,rock,19861101,64,4,21,19861227
14,18,Victory,Kool And The Gang,Kool And The Gang,rnb / soul,19861101,72,10,18,19861227
15,22,At This Moment,Billy Vera & The Beaters,Billy Vera & The Beaters,pop,19861108,96,1,21,19861227
16,19,Love Is Forever,Billy Ocean,Billy Ocean,pop,19861025,77,16,16,19861227
17,17,You Know I Love You... Don't You?,Howard Jones,Howard Jones,pop,19861018,69,17,16,19861227
18,21,Someday,Glass Tiger,Glass Tiger,pop,19861101,82,7,21,19861227
19,20,"The Future's So Bright, I Gotta Wear Shades",Timbuk 3,Timbuk 3,rock,19861025,85,19,16,19861227
20,7,Hip To Be Square,Huey Lewis And The News,Huey Lewis And The News,pop,19861018,42,3,16,19861227
21,10,The Next Time I Fall,Peter Cetera & Amy Grant,Peter Cetera & Amy Grant,pop,19860920,74,1,21,19861227
22,27,Open Your Heart,Madonna,Madonna,pop,19861206,51,1,18,19861227
23,25,All I Wanted,Kansas,Kansas,rock,19861101,81,19,18,19861227
24,14,You Give Love A Bad Name,Bon Jovi,Bon Jovi,rock,19860906,93,1,24,19861227
25,28,Coming Around Again,Carly Simon,Carly Simon,pop,19861101,97,18,17,19861227
26,32,Change Of Heart,Cyndi Lauper,Cyndi Lauper,pop,19861129,67,3,17,19861227
27,31,Touch Me (I Want Your Body),Samantha Fox,Samantha Fox,pop,19861101,93,4,23,19861227
28,30,Falling In Love,Miami Sound Machine,Miami Sound Machine,pop,19861101,94,25,16,19861227
29,29,You Be Illin',Run Dmc,Run Dmc,hip-hop,19861025,86,29,18,19861227
30,40,Keep Your Hands To Yourself,Georgia Satellites,Georgia Satellites,rock,19861122,96,2,20,19861227
31,38,Two People,Tina Turner,Tina Turner,pop,19861122,72,30,12,19861227
32,34,For Tonight,Nancy Martinez,Nancy Martinez,pop,19861004,98,32,21,19861227
33,23,Word Up,Cameo,Cameo,rnb / soul,19860913,81,6,21,19861227
34,37,This Is The Time,Billy Joel,Billy Joel,rock,19861115,78,18,17,19861227
35,45,We're Ready,Boston,Boston,rock,19861206,62,9,15,19861227
36,44,Will You Still Love Me,Chicago,Chicago,rock,19861115,85,3,23,19861227
37,42,Talk To Me,Chico Debarge,Chico Debarge,rnb / soul,19861108,81,21,20,19861227
38,26,Human,Human League,Human League,rock,19860913,71,1,20,19861227
39,49,Love You Down,Ready For The World,Ready For The World,pop,19861129,76,9,19,19861227
40,46,Stop To Love,Luther Vandross,Luther Vandross,rnb / soul,19861115,86,15,19,19861227
41,24,Love Will Conquer All,Lionel Richie,Lionel Richie,rnb / soul,19861004,56,9,18,19861227
