this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Tonight's The Night (Gonna Be Alright),Rod Stewart,Rod Stewart,rock,19761002,81,1,23,19761225
2,3,You Don't Have To Be A Star (To Be In My Show),Marilyn Mccoo & Billy Davis Jr.,Marilyn Mccoo & Billy Davis Jr.,rnb / soul,19760911,90,1,26,19761225
3,2,The Rubberband Man,The Spinners,The Spinners,rnb / soul,19760911,84,2,21,19761225
4,5,You Make Me Feel Like Dancing,Leo Sayer,Leo Sayer,pop,19761023,68,1,21,19761225
5,6,More Than A Feeling,Boston,Boston,rock,19760918,86,5,19,19761225
6,7,Sorry Seems To Be The Hardest World,Elton John,Elton John,pop,19761113,54,6,14,19761225
7,18,I Wish,Stevie Wonder,Stevie Wonder,rnb / soul,19761204,40,1,17,19761225
8,12,Dazz,Brick,Brick,rnb / soul,19761023,90,3,21,19761225
9,17,Car Wash,Rose Royce,Rose Royce,rnb / soul,19760918,107,1,28,19761225
10,11,After The Lovin',Engelbert Humperdinck,Engelbert Humperdinck,pop,19761023,85,8,19,19761225
11,15,Stand Tall,Burton Cummings,Burton Cummings,pop,19761009,74,10,21,19761225
12,14,Hot Line,The Sylvers,The Sylvers,rnb / soul,19761009,86,5,24,19761225
13,13,I Never Cry,Alice Cooper,Alice Cooper,rock,19760925,90,12,21,19761225
14,16,Love Me,Yvonne Elliman,Yvonne Elliman,disco,19761002,85,14,19,19761225
15,19,Livin' Thing,The Electric Light Orchestra,The Electric Light Orchestra,rock,19761023,88,13,18,19761225
16,4,Muskrat Love,The Captain And Tennille,The Captain And Tennille,pop,19760925,68,4,20,19761225
17,8,Nadia's Theme (The Young And The Restless),Barry Devorzon & Perry Botkin Jr.,Barry Devorzon,pop,19760828,88,8,22,19761225
18,10,Nights Are Forever Without You,England Dan And John Ford Coley,England Dan And John Ford Coley,rock,19761009,76,10,16,19761225
19,22,Somebody To Love,Queen,Queen,rock,19761127,45,13,15,19761225
20,48,New Kid In Town / Victim Of Love,The Eagles,The Eagles,rock,19761218,48,1,15,19761225
21,31,Enjoy Yourself,The Jacksons,The Jacksons,rnb / soul,19761113,82,6,21,19761225
22,26,Lost Without Your Love,Bread,Bread,rock,19761127,47,9,16,19761225
23,9,You Are The Woman,Firefall,Firefall,rock,19760821,82,9,22,19761225
24,28,Jeans On,David Dundas,David Dundas,pop,19761002,101,17,22,19761225
25,29,Shake Your Rump To The Funk,The Bar-Kays,The Bar-Kays,rnb / soul,19761002,105,23,18,19761225
26,30,Saturday Night,"Earth, Wind And Fire","Earth, Wind And Fire",rnb / soul,19761120,78,21,15,19761225
27,33,This Song,George Harrison,George Harrison,rock,19761120,82,25,11,19761225
28,38,Walk This Way,Aerosmith,Aerosmith,rock,19761120,90,10,17,19761225
29,42,Torn Between Two Lovers,Mary Macgregor,Mary Macgregor,pop,19761120,87,1,22,19761225
30,35,I Like Dreamin',Kenny Nolan,Kenny Nolan,pop,19761106,89,3,27,19761225
31,21,Love's So Right,The Bee Gees,The Bee Gees,disco,19760918,70,3,23,19761225
32,40,Blinded By The Light,Manfred Mann'S Earth Band,Manfred Mann'S Earth Band,rock,19761120,95,1,20,19761225
33,36,Whispering / Cherchez la femme / Se si bon (Medley),Dr. Buzzard'S Original Savannah Band,Dr. Buzzard'S Original Savannah Band,disco,19761106,98,27,20,19761225
34,20,Love Ballad,L.T.D.,L.T.D.,rnb / soul,19761002,77,20,18,19761225
35,50,Weekend In New England,Barry Manilow,Barry Manilow,pop,19761127,78,10,19,19761225
36,37,Mademoiselle,Styx,Styx,rock,19761113,79,36,11,19761225
37,43,Ain't Nothing Like The Real Thing,Donny And Marie,Donny And Marie,pop,19761127,71,21,13,19761225
38,39,Keep Me Cryin',Al Green,Al Green,rnb / soul,19761023,87,37,14,19761225
39,41,"Do What You Want, Be What You Are",Daryl Hall & John Oates,Daryl Hall & John Oates,pop,19761030,75,39,15,19761225
40,47,Drivin' Wheel,Foghat,Foghat,rock,19761127,75,34,10,19761225
41,23,Beth / Detroit Rock City,Kiss,Kiss,rock,19760904,79,7,21,19761225
42,46,What Can I Say,Boz Scaggs,Boz Scaggs,rock,19761120,85,42,14,19761225
43,54,Free Bird (Live Version),Lynyrd Skynyrd,Lynyrd Skynyrd,rock,19761204,83,38,8,19761225
44,44,Flight '76,The Walter Murphy Band,The Walter Murphy Band,disco,19761113,83,44,10,19761225
45,24,Hello Old Friend,Eric Clapton,Eric Clapton,rock,19761016,70,24,14,19761225
46,56,Someone To Lay Down Beside Me / Crazy,Linda Ronstadt,Linda Ronstadt,pop,19761204,78,42,11,19761225
47,57,I Like To Do It,K.C. And The Sunshine Band,K.C. And The Sunshine Band,disco,19761204,82,37,12,19761225
48,27,Disco Duck (Part 1),Rick Dees And His Cast Of Idiots,Rick Dees And His Cast Of Idiots,pop,19760814,89,1,25,19761225
49,51,It Keeps You Runnin',The Doobie Brothers,The Doobie Brothers,rock,19761113,87,37,14,19761225
50,52,Do It To My Mind,Johnny Bristol,Johnny Bristol,rnb / soul,19761127,77,43,11,19761225
51,61,"Love Theme From ""A Star Is Born"" (Evergreen)",Barbra Streisand,Barbra Streisand,pop,19761211,72,1,25,19761225
52,73,Fly Like An Eagle,The Steve Miller Band,The Steve Miller Band,rock,19761218,73,2,20,19761225
53,63,Living Next Door To Alice,Smokie,Smokie,rock,19761204,84,25,20,19761225
54,64,"9,999,999 Tears",Dickey Lee,Dickey Lee,rock,19761120,93,52,10,19761225
55,59,If Not You,Dr. Hook,Dr. Hook,rock,19761127,85,55,11,19761225
56,67,Yesterday's Hero,Bay City Rollers,Bay City Rollers,pop,19761211,77,54,7,19761225
57,32,Just To Be Close To You,The Commodores,The Commodores,rnb / soul,19760918,85,7,16,19761225
58,34,Don't Take Away The Music,Tavares,Tavares,disco,19761030,83,34,12,19761225
59,71,Night Moves,Bob Seger,Bob Seger,rock,19761211,85,4,21,19761225
60,70,You've Got Me Runnin',Gene Cotton,Gene Cotton,pop,19761204,90,33,11,19761225
61,60,Baby Boy,Mary Kay Place As Loretta Haggers,Mary Kay Place As Loretta Haggers,pop,19761023,106,60,14,19761225
62,74,Hard Luck Woman,Kiss,Kiss,rock,19761218,74,15,13,19761225
63,68,Slow Dancing,The Funky Kings,The Funky Kings,pop,19761106,93,61,11,19761225
64,66,St. Charles,Jefferson Starship,Jefferson Starship,rock,19761204,81,64,5,19761225
65,75,"Man Smart, Woman Smarter",Robert Palmer,Robert Palmer,pop,19761204,89,63,7,19761225
66,76,Dancing Queen,Abba,Abba,pop,19761211,86,1,22,19761225
67,77,Save It For A Rainy Day,Stephen Bishop,Stephen Bishop,rock,19761211,87,22,15,19761225
68,25,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,Gordon Lightfoot,country / folk,19760828,70,2,21,19761225
69,53,Do You Feel Like We Do,Peter Frampton,Peter Frampton,rock,19760918,77,10,18,19761225
70,80,Spring Affair / Winter Melody,Donna Summer,Donna Summer,disco,19761218,80,43,14,19761225
71,49,"Ob-La-Di, Ob-La-Da",The Beatles,The Beatles,rock,19761120,79,49,7,19761225
72,82,Dreamboat Annie,Heart,Heart,rock,19761218,82,42,10,19761225
73,83,Lucky Man,Starbuck,Starbuck,pop,19761218,83,73,5,19761225
74,78,Free / Cause You Love Me Baby,Denise Williams,Denise Williams,rnb / soul,19761120,106,25,23,19761225
75,85,Don't Leave Me This Way,Thelma Houston,Thelma Houston,disco,19761218,85,1,24,19761225
76,86,Happier,Paul Anka,Paul Anka,jazz,19761218,86,60,7,19761225
77,79,Open Sesame (Part 1),Kool And The Gang,Kool And The Gang,rnb / soul,19761106,95,55,13,19761225
78,55,Every Face Tells A Story,Olivia Newton-John,Olivia Newton-John,pop,19761106,76,55,9,19761225
79,NEW,"Baby, You Look Good To Me Tonight",John Denver,John Denver,country / folk,19761225,79,65,7,19761225
80,84,I Can't Ask For Anymore Than You,Cliff Richard,Cliff Richard,pop,19761211,101,80,5,19761225
81,81,If You Leave Me Now,Chicago,Chicago,rock,19760814,60,1,21,19761225
82,NEW,Moody Blue / She Thinks I Still Care,Elvis Presley,Elvis Presley,rock,19761225,82,31,13,19761225
83,89,Caledonia,Robin Trower,Robin Trower,rock,19761127,105,82,8,19761225
84,88,Year Of The Cat,Al Stewart,Al Stewart,country / folk,19761211,98,8,17,19761225
85,87,You're My Driving Wheel,The Supremes,The Supremes,rnb / soul,19761204,93,85,5,19761225
86,90,Heart On My Sleeve,Bryan Ferry,Bryan Ferry,rock,19761211,90,86,4,19761225
87,NEW,Carry On Wayward Son,Kansas,Kansas,rock,19761225,87,11,20,19761225
88,NEW,When Love Is New,Arthur Prysock,Arthur Prysock,jazz,19761225,88,64,9,19761225
89,NEW,C.B. Savage,Rod Hart,Rod Hart,country / folk,19761225,89,67,7,19761225
90,NEW,Ha Cha Cha,Brass Construction,Brass Construction,rnb / soul,19761225,90,51,12,19761225
91,94,White Bird,David Laflamme,David Laflamme,rock,19761211,96,89,7,19761225
92,69,It's A Long Way There,The Little River Band,The Little River Band,rock,19760918,89,28,16,19761225
93,NEW,Prisoner,L.A. Jets,L.A. Jets,rock,19761225,93,86,5,19761225
94,96,Love Bug,Bubble Bee Unlimited,Bubble Bee Unlimited,disco,19761211,100,92,5,19761225
95,NEW,Feelings,Walter Jackson,Walter Jackson,rnb / soul,19761225,95,93,4,19761225
96,NEW,Hey Baby,J.J. Cale,J.J. Cale,rock,19761225,96,96,3,19761225
97,103,Spend Some Time,Elvin Bishop Featuring Mickey Thomas,Elvin Bishop,rock,19761211,108,93,10,19761225
98,NEW,(She's Just A) Fallen Angel,Starz,Starz,rock,19761225,98,95,3,19761225
99,58,"Baby, I'll Give It To You",Seals And Crofts,Seals And Crofts,rock,19761120,84,58,7,19761225
100,45,The Best Disco In Town,The Ritchie Family,The Ritchie Family,disco,19760828,81,17,20,19761225
101,NEW,Superman Lover,Johnny Guitar Watson,Johnny Guitar Watson,rnb / soul,19761225,101,101,3,19761225
102,NEW,Dancing In The Aisles (Take Me Higher),Silver Convention,Silver Convention,disco,19761225,102,102,4,19761225
103,102,Can't Let A Woman,Ambrosia,Ambrosia,rock,19761211,107,102,6,19761225
104,NEW,Psychoticbumpschool,Bootsy'S Rubber Band,Bootsy'S Rubber Band,rnb / soul,19761225,104,104,6,19761225
105,NEW,Be My Girl,Michael Henderson,Michael Henderson,rnb / soul,19761225,105,101,10,19761225
106,106,Midnight On The Bay,The Stills-Young Band,The Stills-Young Band,rock,19761218,106,105,4,19761225
107,101,'Round The World With The Rubber Duck,C.W. Mccall,C.W. Mccall,country / folk,19761218,101,101,4,19761225
108,110,Ninety-Nine And A Half,The Trammps,The Trammps,disco,19761120,107,105,7,19761225
109,108,(We Don't Want Your Money) We Want Mine,Crack The Sky,Crack The Sky,rock,19761211,110,108,5,19761225
110,107,King Kong (Your Song),Bobby Pickett & Peter Ferrara,Bobby Pickett,pop,19761218,107,107,6,19761225
1,1,Tonight's The Night (Gonna Be Alright),Rod Stewart,Rod Stewart,rock,19761002,81,1,23,19761218
2,2,The Rubberband Man,The Spinners,The Spinners,rnb / soul,19760911,84,2,21,19761218
3,5,You Don't Have To Be A Star (To Be In My Show),Marilyn Mccoo & Billy Davis Jr.,Marilyn Mccoo & Billy Davis Jr.,rnb / soul,19760911,90,1,26,19761218
4,4,Muskrat Love,The Captain And Tennille,The Captain And Tennille,pop,19760925,68,4,20,19761218
5,6,You Make Me Feel Like Dancing,Leo Sayer,Leo Sayer,pop,19761023,68,1,21,19761218
6,7,More Than A Feeling,Boston,Boston,rock,19760918,86,5,19,19761218
7,11,Sorry Seems To Be The Hardest World,Elton John,Elton John,pop,19761113,54,6,14,19761218
8,8,Nadia's Theme (The Young And The Restless),Barry Devorzon & Perry Botkin Jr.,Barry Devorzon,pop,19760828,88,8,22,19761218
9,9,You Are The Woman,Firefall,Firefall,rock,19760821,82,9,22,19761218
10,10,Nights Are Forever Without You,England Dan And John Ford Coley,England Dan And John Ford Coley,rock,19761009,76,10,16,19761218
11,13,After The Lovin',Engelbert Humperdinck,Engelbert Humperdinck,pop,19761023,85,8,19,19761218
