this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Maneater,Daryl Hall & John Oates,Daryl Hall & John Oates,pop,80s,19821016,65,1,23,19821225
2,2,Mickey,Toni Basil,Toni Basil,pop,80s,19820904,83,1,27,19821225
3,4,The Girl Is Mine,Michael Jackson / Paul Mccartney,Michael Jackson / Paul Mccartney,pop,80s,19821106,45,2,18,19821225
4,7,Dirty Laundry,Don Henley,Don Henley,rock,classic rock,19821030,73,3,19,19821225
5,3,Gloria,Laura Branigan,Laura Branigan,pop,80s,19820710,84,2,36,19821225
6,6,Steppin' Out,Joe Jackson,Joe Jackson,rock,new wave,19820821,88,6,27,19821225
7,8,Sexual Healing,Marvin Gaye,Marvin Gaye,rnb / soul,soul,19821030,78,3,21,19821225
8,12,Down Under,Men At Work,Men At Work,pop,80s,19821106,79,1,25,19821225
9,9,Rock This Town,The Stray Cats,The Stray Cats,rock,rockabilly,19820918,80,9,21,19821225
10,5,Truly,Lionel Ritchie,Lionel Ritchie,rnb / soul,soul,19821009,60,1,18,19821225
11,11,It's Raining Again,Supertramp,Supertramp,rock,classic rock,19821030,31,11,13,19821225
12,14,Heartbreaker,Dionne Warwick,Dionne Warwick,rnb / soul,soul,19821009,68,10,22,19821225
13,13,Shadows Of The Night,Pat Benatar,Pat Benatar,pop,80s,19821016,69,13,16,19821225
14,16,Africa,Toto,Toto,rock,rock,19821030,75,1,21,19821225
15,17,Rock The Casbah,The Clash,The Clash,pop,punk,19821002,90,8,24,19821225
16,18,You And I,Eddie Rabbitt With Crystal Gayle,Eddie Rabbitt With Crystal Gayle,pop,unknown,19821009,90,7,29,19821225
17,20,"Baby, Come To Me",Patti Austin With James Ingram,Patti Austin With James Ingram,pop,unknown,19821016,91,1,28,19821225
18,21,The Other Guy,Little River Band,Little River Band,rock,classic rock,19821120,59,11,18,19821225
19,19,The Look Of Love,Abc,Abc,pop,80s,19820911,77,18,25,19821225
20,22,You Can't Hurry Love,Phil Collins,Phil Collins,pop,pop,19821106,77,10,21,19821225
21,15,Up Where We Belong,Joe Cocker & Jennifer Warnes,Joe Cocker & Jennifer Warnes,pop,80s,19820821,89,1,23,19821225
22,26,Heart To Heart,Kenny Loggins,Kenny Loggins,pop,80s,19821127,59,15,17,19821225
23,23,Missing You,Dan Fogelberg,Dan Fogelberg,country / folk,singer-songwriter,19821009,72,23,16,19821225
24,25,Hand To Hold On To,John Cougar,John Cougar,rock,rock,19821106,72,19,18,19821225
25,27,Goody Two Shoes,Adam Ant,Adam Ant,rock,new wave,19821113,85,12,21,19821225
26,31,I Do,The J. Geils Band,The J. Geils Band,rock,classic rock,19821120,56,24,14,19821225
27,33,Love In Store,Fleetwood Mac,Fleetwood Mac,rock,classic rock,19821127,72,22,14,19821225
28,30,You Got Lucky,Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers,rock,classic rock,19821113,58,20,18,19821225
29,29,On The Wings Of Love,Jeffrey Osborne,Jeffrey Osborne,rnb / soul,soul,19820925,83,29,18,19821225
30,40,Shame On The Moon,Bob Seger And The Silver Bullet Band,Bob Seger And The Silver Bullet Band,rock,classic rock,19821218,40,2,21,19821225
31,36,"Let's Go Dancin' (Oooh La, La, La)",Kool And The Gang,Kool And The Gang,rnb / soul,funk,19821030,79,30,15,19821225
32,32,Everybody Wants You,Billy Squier,Billy Squier,rock,classic rock,19821002,84,32,17,19821225
33,34,A Penny For Your Thoughts,Tavares,Tavares,disco,disco,19820918,78,33,21,19821225
34,35,What About Me,Moving Pictures,Moving Pictures,pop,80s,19820918,75,29,26,19821225
35,37,Shock The Monkey,Peter Gabriel,Peter Gabriel,rock,progressive rock,19821023,80,29,18,19821225
36,38,Heart Of The Night,Juice Newton,Juice Newton,country / folk,country,19821127,73,25,16,19821225
37,39,Allentown,Billy Joel,Billy Joel,rock,classic rock,19821127,76,17,22,19821225
38,43,Does It Make You Remember,Kim Carnes,Kim Carnes,pop,80s,19821106,78,36,13,19821225
39,54,Your Love Is Driving Me Crazy,Sammy Hagar,Sammy Hagar,rock,hard rock,19821211,70,13,19,19821225
40,42,Two Less Lonely People In The World,Air Supply,Air Supply,pop,80s,19821113,72,38,14,19821225
41,10,Muscles,Diana Ross,Diana Ross,rnb / soul,soul,19821002,61,10,17,19821225
42,45,Space Age Love Song,A Flock Of Seagulls,A Flock Of Seagulls,rock,new wave,19821113,83,30,18,19821225
43,NEW,Stray Cat Strut,The Stray Cats,The Stray Cats,rock,rockabilly,19821225,43,3,19,19821225
44,48,I Gotta Try,Michael Mcdonald,Michael Mcdonald,rnb / soul,soul,19821113,76,44,11,19821225
45,50,Memory,Barry Manilow,Barry Manilow,pop,pop,19821120,79,39,14,19821225
46,24,Heart Attack,Olivia Newton-John,Olivia Newton-John,pop,pop,19820904,67,3,21,19821225
47,51,Bad Boy,Ray Parker Jr.,Ray Parker Jr.,pop,80s,19821204,70,35,12,19821225
48,53,Right Before Your Eyes,America,America,rock,classic rock,19821127,78,45,13,19821225
49,60,All Those Lies,Glenn Frey,Glenn Frey,pop,80s,19821211,73,41,12,19821225
50,56,Put It In A Magazine,Sonny Charles,Sonny Charles,rnb / soul,funk,19821113,90,40,14,19821225
51,62,Do You Really Want To Hurt Me,Culture Club,Culture Club,pop,80s,19821204,80,2,25,19821225
52,59,Twilight Zone,Golden Earring,Golden Earring,rock,classic rock,19821127,80,10,27,19821225
53,66,I Knew You When,Linda Ronstadt,Linda Ronstadt,pop,female vocalists,19821211,77,37,12,19821225
54,58,I Know There's Something Going On,Frida,Frida,pop,pop,19821023,109,13,31,19821225
55,55,Bad Boy / Having A Party,Luther Vandross,Luther Vandross,rnb / soul,soul,19821030,90,55,12,19821225
56,64,On The Loose,Saga,Saga,rock,progressive rock,19821204,86,26,18,19821225
57,61,Psychobabble,The Alan Parsons Project,The Alan Parsons Project,rock,progressive rock,19821127,82,57,10,19821225
58,28,Be My Lady,Jefferson Starship,Jefferson Starship,rock,classic rock,19821009,73,28,16,19821225
59,68,Pass The Dutchie,Musical Youth,Musical Youth,reggae,reggae,19821211,80,10,18,19821225
