this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Black Beatles,Rae Sremmurd Featuring Gucci Mane,Rae Sremmurd,hip-hop,hip-hop,20161001,96,1,27,20161231
2,2,Starboy,The Weeknd Featuring Daft Punk,The Weeknd,rnb / soul,rnb,20161008,40,1,30,20161231
3,3,Closer,The Chainsmokers Featuring Halsey,The Chainsmokers,pop,electronic,20160820,9,1,52,20161231
4,4,24K Magic,Bruno Mars,Bruno Mars,pop,pop,20161029,5,4,41,20161231
5,5,Side To Side,Ariana Grande Featuring Nicki Minaj,Ariana Grande,pop,pop,20160917,31,4,28,20161231
6,NEW,I Don't Wanna Live Forever (Fifty Shades Darker),Zayn / Taylor Swift,Zayn / Taylor Swift,pop,unknown,20161231,6,2,23,20161231
7,NEW,Deja Vu,J. Cole,J. Cole,hip-hop,hip-hop,20161231,7,7,20,20161231
8,6,Juju On That Beat (TZ Anthem),Zay Hilfigerrr & Zaylon Mccall,Zay Hilfigerrr,pop,unknown,20161022,89,5,20,20161231
9,8,Let Me Love You,Dj Snake Featuring Justin Bieber,Dj Snake,hip-hop,trap,20160827,12,4,33,20161231
10,7,Don't Wanna Know,Maroon 5 Featuring Kendrick Lamar,Maroon 5,rock,rock,20161029,56,6,27,20161231
11,NEW,Immortal,J. Cole,J. Cole,hip-hop,hip-hop,20161231,11,11,5,20161231
12,11,Fake Love,Drake,Drake,hip-hop,hip-hop,20161112,24,8,25,20161231
13,NEW,Neighbors,J. Cole,J. Cole,hip-hop,hip-hop,20161231,13,13,6,20161231
14,10,Bad Things,Machine Gun Kelly X Camilla Cabello,Machine Gun Kelly,hip-hop,hip-hop,20161126,73,4,22,20161231
15,9,Heathens,Twenty One Pilots,Twenty One Pilots,pop,electronic,20160709,14,2,39,20161231
16,15,Caroline,Amine,Amine,rnb / soul,rnb,20160924,96,11,28,20161231
17,12,Broccoli,D.R.A.M. Featuring Lil Yachty,D.R.A.M.,hip-hop,hip-hop,20160702,87,5,37,20161231
18,13,Scars To Your Beautiful,Alessia Cara,Alessia Cara,pop,pop,20160917,95,8,43,20161231
19,14,Starving,Hailee Steinfeld & Grey Featuring Zedd,Hailee Steinfeld & Grey,pop,epic,20160820,96,12,29,20161231
20,17,All I Want For Christmas Is You,Mariah Carey,Mariah Carey,pop,pop,20161217,23,16,5,20161231
21,NEW,Change,J. Cole,J. Cole,hip-hop,hip-hop,20161231,21,21,2,20161231
22,NEW,She's Mine Pt. 1,J. Cole,J. Cole,hip-hop,hip-hop,20161231,22,22,2,20161231
23,NEW,For Whom The Bell Tolls,J. Cole,J. Cole,hip-hop,hip-hop,20161231,23,23,2,20161231
24,NEW,Ville Mentality,J. Cole,J. Cole,hip-hop,hip-hop,20161231,24,24,2,20161231
25,16,I Hate U I Love U,Gnash Featuring Olivia O'Brien,Gnash,pop,pop,20160507,93,10,39,20161231
26,24,Bad And Boujee,Migos Featuring Lil Uzi Vert,Migos,hip-hop,hip-hop,20161203,76,1,36,20161231
27,20,Love On The Brain,Rihanna,Rihanna,pop,pop,20161112,80,5,30,20161231
28,18,The Greatest,Sia Featuring Kendrick Lamar,Sia,pop,female vocalists,20160924,52,18,23,20161231
29,NEW,4 Your Eyez Only,J. Cole,J. Cole,hip-hop,hip-hop,20161231,29,29,1,20161231
30,NEW,Foldin Clothes,J. Cole,J. Cole,hip-hop,hip-hop,20161231,30,30,2,20161231
31,39,Bounce Back,Big Sean,Big Sean,hip-hop,hip-hop,20161126,61,6,28,20161231
32,19,Treat You Better,Shawn Mendes,Shawn Mendes,pop,pop,20160625,34,6,39,20161231
33,28,I Feel It Coming,The Weeknd Featuring Daft Punk,The Weeknd,rnb / soul,rnb,20161210,48,4,26,20161231
34,NEW,She's Mine Pt. 2,J. Cole,J. Cole,hip-hop,hip-hop,20161231,34,34,1,20161231
35,25,In The Name Of Love,Martin Garrix & Bebe Rexha,Martin Garrix,electronic,house,20160903,93,24,23,20161231
36,33,All Time Low,Jon Bellion,Jon Bellion,pop,electronic,20161029,82,16,22,20161231
37,23,Love Me Now,John Legend,John Legend,rnb / soul,soul,20161119,98,23,18,20161231
38,30,Blue Ain't Your Color,Keith Urban,Keith Urban,country / folk,country,20161001,73,24,21,20161231
39,32,Can't Stop The Feeling!,Justin Timberlake,Justin Timberlake,pop,pop,20160528,1,1,52,20161231
40,21,Cold Water,Major Lazer Featuring Justin Bieber & Mo,Major Lazer,pop,seen live,20160813,2,2,27,20161231
41,26,Cheap Thrills,Sia Featuring Sean Paul,Sia,pop,female vocalists,20160305,81,1,52,20161231
42,22,Unsteady,X Ambassadors,X Ambassadors,rock,indie,20160604,99,20,34,20161231
43,31,Don't Let Me Down,The Chainsmokers Featuring Daya,The Chainsmokers,pop,electronic,20160312,81,3,51,20161231
44,38,Mercy,Shawn Mendes,Shawn Mendes,pop,pop,20161015,68,15,31,20161231
45,45,Hallejujah,Pentatonix,Pentatonix,pop,a cappella,20161112,32,23,11,20161231
