this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,Tennessee Waltz,Patti Page,Patti Page,jazz,19501122,8,1,23,19501227
2,1,The Thing,Phil Harris,Phil Harris,pop,19501122,5,1,14,19501227
3,4,Rudolph The Red Nosed Reindeer,Gene Autry,Gene Autry,country / folk,19501206,19,3,6,19501227
4,5,My Heart Cries For You,Guy Mitchell,Guy Mitchell,country / folk,19501213,10,2,19,19501227
5,3,Harbour Lights,Sammy Kaye / Tony Alamo / Kaydets,Sammy Kaye / Tony Alamo / Kaydets,pop,19500920,12,1,21,19501227
6,8,Harbour Lights,Guy Lombardo / Kenny Gardner,Guy Lombardo / Kenny Gardner,pop,19501018,13,3,17,19501227
7,7,A Bushel And A Peck,Perry Como / Betty Hutton,Perry Como / Betty Hutton,pop,19501108,15,6,14,19501227
8,6,Thinking Of You,Don Cherry,Don Cherry,jazz,19501004,20,4,18,19501227
9,12,Nevertheless,Mills Brothers,Mills Brothers,jazz,19501122,13,9,13,19501227
10,13,Be My Love,Mario Lanza,Mario Lanza,pop,19501220,13,1,32,19501227
11,NEW,Rudolph The Red Noised Reindeer,Spike Jones,Spike Jones,pop,19501227,11,11,1,19501227
12,19,Thinking Of You,Eddie Fisher,Eddie Fisher,jazz,19501115,11,9,8,19501227
13,18,The Roving Kind,Guy Mitchell,Guy Mitchell,country / folk,19501220,18,4,16,19501227
14,NEW,Rudolph The Red Nosed Reindeer,Bing Crosby,Bing Crosby,jazz,19501227,14,14,1,19501227
15,15,Frosty The Snowman,Gene Autry,Gene Autry,country / folk,19501220,15,7,4,19501227
16,NEW,Tennessee Waltz,Les Paul & Mary Ford,Les Paul & Mary Ford,jazz,19501227,16,8,13,19501227
17,NEW,White Christmas,Bing Crosby,Bing Crosby,jazz,19501227,17,17,2,19501227
18,16,Harbour Lights,Ray Anthony / Ronnie Deauville,Ray Anthony / Ronnie Deauville,pop,19501206,15,15,4,19501227
19,NEW,Christmas In Killarney,Dennis Day,Dennis Day,pop,19501227,19,11,2,19501227
20,9,Nevertheless,Paul Weston / Norman Luboff Choir,Paul Weston / Norman Luboff Choir,pop,19501108,13,9,9,19501227
1,1,The Thing,Phil Harris,Phil Harris,pop,19501122,5,1,14,19501220
2,2,Tennessee Waltz,Patti Page,Patti Page,jazz,19501122,8,1,23,19501220
3,3,Harbour Lights,Sammy Kaye / Tony Alamo / Kaydets,Sammy Kaye / Tony Alamo / Kaydets,pop,19500920,12,1,21,19501220
4,8,Rudolph The Red Nosed Reindeer,Gene Autry,Gene Autry,country / folk,19501206,19,3,6,19501220
5,10,My Heart Cries For You,Guy Mitchell,Guy Mitchell,country / folk,19501213,10,2,19,19501220
6,5,Thinking Of You,Don Cherry,Don Cherry,jazz,19501004,20,4,18,19501220
7,7,A Bushel And A Peck,Perry Como / Betty Hutton,Perry Como / Betty Hutton,pop,19501108,15,6,14,19501220
8,4,Harbour Lights,Guy Lombardo / Kenny Gardner,Guy Lombardo / Kenny Gardner,pop,19501018,13,3,17,19501220
9,12,Nevertheless,Paul Weston / Norman Luboff Choir,Paul Weston / Norman Luboff Choir,pop,19501108,13,9,9,19501220
10,NEW,Harbour Lights,Bing Crosby,Bing Crosby,jazz,19501220,10,10,1,19501220
11,6,All My Love,Patti Page,Patti Page,jazz,19500906,18,2,16,19501220
12,11,Nevertheless,Mills Brothers,Mills Brothers,jazz,19501122,13,9,13,19501220
13,NEW,Be My Love,Mario Lanza,Mario Lanza,pop,19501220,13,1,32,19501220
14,16,A Bushel And A Peck,Margaret Whiting / Jimmy Wakely,Margaret Whiting / Jimmy Wakely,pop,19501213,16,14,2,19501220
15,NEW,Frosty The Snowman,Gene Autry,Gene Autry,country / folk,19501220,15,7,4,19501220
16,19,Harbour Lights,Ray Anthony / Ronnie Deauville,Ray Anthony / Ronnie Deauville,pop,19501206,15,15,4,19501220
17,17,Nevertheless,Ray Anthony / Ronnie Deauville,Ray Anthony / Ronnie Deauville,pop,19501129,16,16,4,19501220
18,NEW,The Roving Kind,Guy Mitchell,Guy Mitchell,country / folk,19501220,18,4,16,19501220
19,9,Thinking Of You,Eddie Fisher,Eddie Fisher,jazz,19501115,11,9,8,19501220
20,13,Oh Babe,Kay Starr,Kay Starr,jazz,19501122,17,12,5,19501220
1,1,The Thing,Phil Harris,Phil Harris,pop,19501122,5,1,14,19501213
2,2,Tennessee Waltz,Patti Page,Patti Page,jazz,19501122,8,1,23,19501213
3,3,Harbour Lights,Sammy Kaye / Tony Alamo / Kaydets,Sammy Kaye / Tony Alamo / Kaydets,pop,19500920,12,1,21,19501213
4,5,Harbour Lights,Guy Lombardo / Kenny Gardner,Guy Lombardo / Kenny Gardner,pop,19501018,13,3,17,19501213
5,4,Thinking Of You,Don Cherry,Don Cherry,jazz,19501004,20,4,18,19501213
6,7,All My Love,Patti Page,Patti Page,jazz,19500906,18,2,16,19501213
7,6,A Bushel And A Peck,Perry Como / Betty Hutton,Perry Como / Betty Hutton,pop,19501108,15,6,14,19501213
8,19,Rudolph The Red Nosed Reindeer,Gene Autry,Gene Autry,country / folk,19501206,19,3,6,19501213
9,10,Thinking Of You,Eddie Fisher,Eddie Fisher,jazz,19501115,11,9,8,19501213
10,NEW,My Heart Cries For You,Guy Mitchell,Guy Mitchell,country / folk,19501213,10,2,19,19501213
11,11,Nevertheless,Mills Brothers,Mills Brothers,jazz,19501122,13,9,13,19501213
12,9,Nevertheless,Paul Weston / Norman Luboff Choir,Paul Weston / Norman Luboff Choir,pop,19501108,13,9,9,19501213
13,12,Oh Babe,Kay Starr,Kay Starr,jazz,19501122,17,12,5,19501213
14,8,I'll Never Be Free,Kay Starr / Tennessee Ernie Ford,Kay Starr / Tennessee Ernie Ford,pop,19500906,12,3,15,19501213
15,NEW,Orange Coloured Sky,Nat King Cole / Stan Kenton,Nat King Cole / Stan Kenton,pop,19501213,15,15,1,19501213
16,NEW,A Bushel And A Peck,Margaret Whiting / Jimmy Wakely,Margaret Whiting / Jimmy Wakely,pop,19501213,16,14,2,19501213
17,18,Nevertheless,Ray Anthony / Ronnie Deauville,Ray Anthony / Ronnie Deauville,pop,19501129,16,16,4,19501213
18,13,Goodnight Irene,Weavers & Gordon Jenkins,Weavers,country / folk,19500712,17,1,23,19501213
19,15,Harbour Lights,Ray Anthony / Ronnie Deauville,Ray Anthony / Ronnie Deauville,pop,19501206,15,15,4,19501213
20,NEW,All My Love,Guy Lombardo / Bill Flanagan,Guy Lombardo / Bill Flanagan,pop,19501213,20,20,1,19501213
1,1,The Thing,Phil Harris,Phil Harris,pop,19501122,5,1,14,19501206
2,3,Tennessee Waltz,Patti Page,Patti Page,jazz,19501122,8,1,23,19501206
3,2,Harbour Lights,Sammy Kaye / Tony Alamo / Kaydets,Sammy Kaye / Tony Alamo / Kaydets,pop,19500920,12,1,21,19501206
4,6,Thinking Of You,Don Cherry,Don Cherry,jazz,19501004,20,4,18,19501206
5,5,Harbour Lights,Guy Lombardo / Kenny Gardner,Guy Lombardo / Kenny Gardner,pop,19501018,13,3,17,19501206
6,10,A Bushel And A Peck,Perry Como / Betty Hutton,Perry Como / Betty Hutton,pop,19501108,15,6,14,19501206
7,4,All My Love,Patti Page,Patti Page,jazz,19500906,18,2,16,19501206
8,8,I'll Never Be Free,Kay Starr / Tennessee Ernie Ford,Kay Starr / Tennessee Ernie Ford,pop,19500906,12,3,15,19501206
9,9,Nevertheless,Paul Weston / Norman Luboff Choir,Paul Weston / Norman Luboff Choir,pop,19501108,13,9,9,19501206
10,11,Thinking Of You,Eddie Fisher,Eddie Fisher,jazz,19501115,11,9,8,19501206
11,14,Nevertheless,Mills Brothers,Mills Brothers,jazz,19501122,13,9,13,19501206
12,12,Oh Babe,Kay Starr,Kay Starr,jazz,19501122,17,12,5,19501206
13,7,Goodnight Irene,Weavers & Gordon Jenkins,Weavers,country / folk,19500712,17,1,23,19501206
14,NEW,All My Love,Bing Crosby,Bing Crosby,jazz,19501206,14,14,1,19501206
