this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,The Lion Sleeps Tonight,The Tokens,The Tokens,pop,oldies,19611106,119,1,16,19611225
2,3,Run To Him,Bobby Vee,Bobby Vee,pop,oldies,19611113,57,2,15,19611225
3,4,The Twist,Chubby Checker,Chubby Checker,rock,rock and roll,19611113,55,1,21,19611225
4,6,Goodbye Cruel World,James Darren,James Darren,jazz,jazz,19611016,88,3,17,19611225
5,5,Walk On By,Leroy Van Dyke,Leroy Van Dyke,country / folk,country,19611023,117,5,17,19611225
6,10,Peppermint Twist (Part 1),Joey Dee And The Starlighters,Joey Dee And The Starlighters,rock,rock,19611120,68,1,18,19611225
7,2,Please Mr. Postman,The Marvelettes,The Marvelettes,rnb / soul,motown,19610904,95,1,23,19611225
8,8,"Happy Birthday, Sweet Sixteen",Neil Sedaka,Neil Sedaka,pop,oldies,19611113,62,6,14,19611225
9,7,Let There Be Drums,Sandy Nelson,Sandy Nelson,pop,60s,19611023,105,7,17,19611225
10,18,Can't Help Falling In Love,Elvis Presley,Elvis Presley,rock,rock n roll,19611204,57,2,14,19611225
11,12,Moon River,Henry Mancini And His Orchestra,Henry Mancini And His Orchestra,pop,soundtrack,19611009,93,11,20,19611225
12,13,I Don't Know Why,Linda Scott,Linda Scott,pop,pop,19611030,93,12,14,19611225
13,14,When I Fall In Love,The Lettermen,The Lettermen,pop,oldies,19611120,89,7,14,19611225
14,17,Unchain My Heart,Ray Charles,Ray Charles,jazz,jazz,19611127,62,9,12,19611225
15,16,When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,Connie Francis,pop,oldies,19611120,80,10,12,19611225
16,15,Moon River,Jerry Butler,Jerry Butler,rnb / soul,soul,19611002,109,11,18,19611225
17,23,'Til,The Angels,The Angels,pop,60s,19611030,95,14,13,19611225
18,11,Tonight,Ferrante And Teicher,Ferrante And Teicher,pop,easy listening,19611016,84,8,13,19611225
19,9,Big Bad John,Jimmy Dean,Jimmy Dean,country / folk,country,19611002,53,1,16,19611225
20,33,White Christmas,Bing Crosby,Bing Crosby,jazz,jazz,19611211,66,12,6,19611225
21,21,Gypsy Woman,The Impressions,The Impressions,rnb / soul,soul,19611016,99,20,15,19611225
22,28,Revenge,Brook Benton,Brook Benton,rnb / soul,soul,19611120,83,15,10,19611225
23,26,There's No Other (Like My Baby),The Crystals,The Crystals,pop,60s,19611113,101,20,12,19611225
24,27,Your Ma Said You Cried In Your Sleep Last Night,Kenny Dino,Kenny Dino,pop,all,19611016,108,24,14,19611225
25,32,Rock-A-Hula Baby (Twist Special),Elvis Presley,Elvis Presley,rock,rock n roll,19611204,62,23,9,19611225
26,38,I Know (You Don't Love Me No More),Barbara George,Barbara George,rnb / soul,soul,19611106,118,3,20,19611225
27,45,Jingle Bell Rock,Bobby Rydell & Chubby Checker,Bobby Rydell,pop,oldies,19611211,71,21,5,19611225
28,19,Fool #1,Brenda Lee,Brenda Lee,pop,oldies,19611002,66,3,14,19611225
29,22,Let's Twist Again,Chubby Checker,Chubby Checker,rock,rock and roll,19611120,65,22,11,19611225
30,31,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,Solomon Burke,rnb / soul,soul,19610904,119,24,19,19611225
31,44,Funny How Time Slips Away,Jimmy Elledge,Jimmy Elledge,pop,unknown,19611113,100,22,14,19611225
32,29,"Well, I Told You",The Chantels,The Chantels,pop,doo wop,19611113,92,29,9,19611225
33,39,Small Sad Sam,Phil Mclean,Phil Mclean,pop,unknown,19611204,86,21,10,19611225
34,69,The Little Drummer Boy,The Harry Simeon Chorale,The Harry Simeon Chorale,pop,christmas,19611211,98,22,4,19611225
35,41,Jambalaya (On The Bayou),Fats Domino,Fats Domino,rock,blues,19611211,63,30,7,19611225
36,37,Town Without Pity,Gene Pitney,Gene Pitney,pop,60s,19611030,96,13,19,19611225
37,48,Cotton Fields,The Highwaymen,The Highwaymen,country / folk,country,19611127,100,13,18,19611225
38,24,I Understand (Just How You Feel),The G-Clefs,The G-Clefs,pop,oldies,19610911,107,9,17,19611225
39,49,If You Gotta Make A Fool Of Somebody,James Ray,James Ray,pop,rhythm and blues,19611120,90,22,14,19611225
40,46,Johnny Will,Pat Boone,Pat Boone,pop,oldies,19611113,80,35,10,19611225
41,56,The Wanderer,Dion,Dion,pop,oldies,19611204,79,2,18,19611225
42,43,The Gypsy Rover,The Highwaymen,The Highwaymen,country / folk,country,19611106,95,42,10,19611225
43,54,Baby's First Christmas,Connie Francis,Connie Francis,pop,oldies,19611211,73,26,5,19611225
44,55,Hey Little One,Del Shannon,Del Shannon,pop,60s,19611127,78,38,8,19611225
45,65,Baby It's You,The Shirelles,The Shirelles,pop,60s,19611211,104,8,15,19611225
46,47,Poor Fool,Ike And Tina Turner,Ike And Tina Turner,rnb / soul,soul,19611127,95,38,11,19611225
47,63,The Chipmunk Song (Christmas Don't Be Late),The Chipmunks With The Music Of David Seville,The Chipmunks With The Music Of David Seville,pop,unknown,19611218,63,39,3,19611225
48,51,Little Alter Boy,Vic Dana,Vic Dana,pop,60s,19611113,117,45,10,19611225
49,58,Jingle Bell Rock,Bobby Helms,Bobby Helms,country / folk,country,19611211,68,41,4,19611225
50,53,Dear Lady Twist,Gary (U.S.) Bonds,Gary (U.S.) Bonds,pop,oldies,19611211,65,9,16,19611225
51,52,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,David Seville And The Chipmunks,pop,unknown,19611218,52,47,3,19611225
52,73,A Little Bitty Tear,Burl Ives,Burl Ives,country / folk,folk,19611218,73,9,14,19611225
53,42,Soothe Me,The Sims Twins,The Sims Twins,rnb / soul,soul,19611127,88,42,6,19611225
54,36,The Majestic,Dion,Dion,pop,oldies,19611204,64,36,6,19611225
55,20,Runaround Sue,Dion,Dion,pop,oldies,19610918,115,1,15,19611225
56,61,September In The Rain,Dinah Washington,Dinah Washington,jazz,jazz,19611016,77,23,11,19611225
57,25,Crazy,Patsy Cline,Patsy Cline,country / folk,country,19611016,106,9,12,19611225
58,84,Rockin' Around The Christmas Tree,Brenda Lee,Brenda Lee,pop,oldies,19611211,85,50,4,19611225
59,40,Language Of Love,John D. Loudermilk,John D. Loudermilk,country / folk,singer-songwriter,19611030,103,32,10,19611225
60,66,Norman,Sue Thompson,Sue Thompson,pop,oldies,19611204,94,3,16,19611225
61,74,Turn On Your Love Light,Bobby Bland,Bobby Bland,rock,blues,19611127,102,28,11,19611225
62,70,"Turn Around, Look At Me",Glen Campbell,Glen Campbell,country / folk,country,19611120,98,62,9,19611225
63,89,Irresistible You,Bobby Darin,Bobby Darin,jazz,jazz,19611211,95,15,13,19611225
64,87,Pocket Full Of Miracles,Frank Sinatra,Frank Sinatra,jazz,jazz,19611218,87,34,8,19611225
65,76,Twist Her,Bill Black'S Combo,Bill Black'S Combo,jazz,jazz,19611218,76,26,9,19611225
