this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
55,70,My House,Flo Rida,Flo Rida,hip-hop,hip-hop,20151128,96,4,39,20151226
56,52,Used To Love You,Gwen Stefani,Gwen Stefani,pop,pop,20151212,77,52,8,20151226
57,59,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,Missy Elliott,hip-hop,hip-hop,20151128,91,22,14,20151226
58,49,Lay It All On Me,Rudimental Featuring Ed Sheeran,Rudimental,pop,seen live,20151031,87,48,15,20151226
59,65,Stay A Little Longer,Brothers Osborne,Brothers Osborne,country / folk,country,20151024,99,46,20,20151226
60,58,Bet You Can't Do It Like Me,Dlow,Dlow,pop,chicago,20151128,61,45,15,20151226
61,85,Stand By You,Rachel Platten,Rachel Platten,pop,pop,20151212,91,37,19,20151226
62,63,The Fix,Nelly Featuring Jeremih,Nelly,hip-hop,hip-hop,20151024,94,62,19,20151226
63,72,Cake By The Ocean,Dnce,Dnce,pop,pop,20151107,79,9,46,20151226
64,68,Big Rings,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,75,52,20,20151226
65,62,Gonna Know We Were Here,Jason Aldean,Jason Aldean,country / folk,country,20151107,92,54,15,20151226
66,73,Back To Back,Drake,Drake,hip-hop,hip-hop,20150822,21,21,20,20151226
67,84,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,Luke Bryan,country / folk,country,20151212,97,38,19,20151226
68,87,Down In The DM,Yo Gotti,Yo Gotti,hip-hop,rap,20151219,87,13,21,20151226
69,51,Nothin' Like You,Dan + Shay,Dan + Shay,country / folk,country,20150829,97,51,19,20151226
70,57,The Feeling,Justin Bieber Featuring Halsey,Justin Bieber,pop,pop,20151205,31,31,7,20151226
71,77,I Got The Boy,Jana Kramer,Jana Kramer,country / folk,country,20151031,92,56,16,20151226
72,86,Best Friend,Young Thug,Young Thug,hip-hop,hip-hop,20151212,98,45,20,20151226
73,78,Top Of The World,Tim Mcgraw,Tim Mcgraw,country / folk,country,20151031,99,73,13,20151226
74,79,I Love This Life,Locash,Locash,pop,classic,20151114,97,56,18,20151226
75,89,One Call Away,Charlie Puth,Charlie Puth,pop,pop,20151219,89,12,26,20151226
76,67,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Koo",Macklemore & Ryan Lewis,hip-hop,hip-hop,20150912,94,12,20,20151226
77,NEW,Hands To Myself,Selena Gomez,Selena Gomez,pop,pop,20151226,77,7,20,20151226
78,69,When We Were Young,Adele,Adele,rnb / soul,soul,20151212,22,14,20,20151226
79,76,Come Get Her,Rae Sremmurd,Rae Sremmurd,hip-hop,hip-hop,20151003,100,56,19,20151226
80,75,Strip It Down,Luke Bryan,Luke Bryan,country / folk,country,20150829,63,30,19,20151226
81,81,Blase,Ty Dolla $Ign Featuring Future & Rae Sremmurd,Ty Dolla $Ign,hip-hop,rap,20151003,85,63,18,20151226
82,96,New Americana,Halsey,Halsey,pop,pop,20151219,96,60,8,20151226
83,71,Smoke Break,Carrie Underwood,Carrie Underwood,country / folk,country,20150912,43,43,17,20151226
84,95,Irresistible,Fall Out Boy,Fall Out Boy,pop,pop punk,20151219,95,48,12,20151226
85,74,Purpose,Justin Bieber,Justin Bieber,pop,pop,20151205,43,43,7,20151226
86,91,Dibs,Kelsea Ballerini,Kelsea Ballerini,country / folk,country,20151212,94,58,14,20151226
87,NEW,$ave Dat Money,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,Lil Dicky,hip-hop,hip-hop,20151226,87,73,13,20151226
88,93,Right Hand,Drake,Drake,hip-hop,hip-hop,20151003,66,58,19,20151226
89,NEW,Dessert,Dawin,Dawin,hip-hop,hip-hop,20151226,89,68,11,20151226
90,80,Mark My Words,Justin Bieber,Justin Bieber,pop,pop,20151205,42,42,4,20151226
91,100,Already Callin' You Mine,Parmalee,Parmalee,rock,alternative rock,20151219,100,91,2,20151226
92,94,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $Ign,Big Sean,hip-hop,hip-hop,20151212,99,89,11,20151226
93,NEW,Backroad Song,Granger Smith,Granger Smith,country / folk,country,20151226,93,49,16,20151226
94,NEW,Random,G-Eazy,G-Eazy,hip-hop,hip-hop,20151226,94,94,1,20151226
95,83,Company,Justin Bieber,Justin Bieber,pop,pop,20151205,53,53,4,20151226
96,88,No Pressure,Justin Bieber Featuring Big Sean,Justin Bieber,pop,pop,20151205,49,49,4,20151226
97,NEW,Sorry,Rick Ross Featuring Chris Brown,Rick Ross,hip-hop,hip-hop,20151226,97,97,1,20151226
98,NEW,Drifting,G-Eazy Featuring Chris Brown & Tory Lanez,G-Eazy,hip-hop,hip-hop,20151226,98,98,1,20151226
99,82,Liquor,Chris Brown,Chris Brown,rnb / soul,rnb,20150926,87,60,14,20151226
100,NEW,Beautiful Drug,Zac Brown Band,Zac Brown Band,country / folk,country,20151226,100,52,18,20151226
1,1,Hello,Adele,Adele,rnb / soul,soul,20151114,1,1,26,20151219
2,2,Sorry,Justin Bieber,Justin Bieber,pop,pop,20151114,2,1,42,20151219
3,3,Hotline Bling,Drake,Drake,hip-hop,hip-hop,20150822,66,2,36,20151219
4,4,What Do You Mean?,Justin Bieber,Justin Bieber,pop,pop,20150919,1,1,31,20151219
5,5,The Hills,The Weeknd,The Weeknd,rnb / soul,rnb,20150613,20,1,48,20151219
6,6,Stitches,Shawn Mendes,Shawn Mendes,pop,pop,20150613,89,4,52,20151219
7,7,Love Yourself,Justin Bieber,Justin Bieber,pop,pop,20151205,4,1,41,20151219
8,10,Here,Alessia Cara,Alessia Cara,pop,pop,20150822,95,5,34,20151219
9,8,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Meghan Trainor,pop,pop,20150725,95,8,39,20151219
10,11,Same Old Love,Selena Gomez,Selena Gomez,pop,pop,20151003,43,5,28,20151219
11,9,679,Fetty Wap Featuring Remy Boyz,Fetty Wap,hip-hop,hip-hop,20150718,34,4,40,20151219
12,12,Ex's & Oh's,Elle King,Elle King,pop,indie pop,20150725,96,10,38,20151219
13,15,On My Mind,Ellie Goulding,Ellie Goulding,pop,female vocalists,20151010,22,13,22,20151219
14,13,Wildest Dreams,Taylor Swift,Taylor Swift,country / folk,country,20150919,15,5,26,20151219
15,18,Jumpman,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,52,12,32,20151219
16,17,Can't Feel My Face,The Weeknd,The Weeknd,rnb / soul,rnb,20150627,24,1,41,20151219
17,16,Focus,Ariana Grande,Ariana Grande,pop,pop,20151121,7,7,13,20151219
18,14,Watch Me,Silento,Silento,hip-hop,hip-hop,20150314,98,3,51,20151219
19,20,Antidote,Travi$ Scott,Travi$ Scott,hip-hop,hip-hop,20150926,75,16,26,20151219
20,19,Lean On,Major Lazer X Dj Snake Featuring M0,Major Lazer,pop,seen live,20150425,100,4,48,20151219
21,28,Confident,Demi Lovato,Demi Lovato,pop,pop,20151031,58,21,19,20151219
22,25,White Iverson,Post Malone,Post Malone,hip-hop,hip-hop,20150926,84,14,30,20151219
23,29,Die A Happy Man,Thomas Rhett,Thomas Rhett,country / folk,country,20151010,92,21,30,20151219
24,33,Don't,Bryson Tiller,Bryson Tiller,rnb / soul,rnb,20151017,84,13,34,20151219
25,24,Locked Away,R. City Featuring Adam Levine,R. City,rnb / soul,rnb,20150808,85,6,27,20151219
26,NEW,All I Want For Christmas Is You,Mariah Carey,Mariah Carey,pop,pop,20151219,26,11,4,20151219
27,27,Perfect,One Direction,One Direction,pop,pop,20151107,10,10,20,20151219
28,26,Trap Queen,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150207,86,2,52,20151219
29,34,Where Ya At,Future Featuring Drake,Future,hip-hop,hip-hop,20150808,68,28,25,20151219
30,37,Say It,Tory Lanez,Tory Lanez,hip-hop,hip-hop,20151107,90,23,24,20151219
31,32,Where Are U Now,Skrillex & Diplo Featuring Justin Bieber,Skrillex & Diplo,electronic,dubstep,20150321,97,8,45,20151219
32,39,Break Up In A Small Town,Sam Hunt,Sam Hunt,country / folk,country,20151024,90,29,20,20151219
33,30,Drag Me Down,One Direction,One Direction,pop,pop,20150822,3,3,20,20151219
34,31,I'll Show You,Justin Bieber,Justin Bieber,pop,pop,20151121,51,19,12,20151219
35,23,Hit The Quan,Ilovememphis,Ilovememphis,pop,crunk,20150905,41,15,20,20151219
36,51,Roses,The Chainsmokers Featuring Rozes,The Chainsmokers,pop,electronic,20151107,95,6,31,20151219
37,54,In The Night,The Weeknd,The Weeknd,rnb / soul,rnb,20151205,86,12,19,20151219
38,40,Good For You,Selena Gomez Featuring A$Ap Rocky,Selena Gomez,pop,pop,20150711,9,5,26,20151219
39,36,See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz Khalifa,hip-hop,hip-hop,20150328,100,1,52,20151219
40,38,Renegades,X Ambassadors,X Ambassadors,rock,indie,20150502,99,17,35,20151219
41,44,No Role Modelz,J. Cole,J. Cole,hip-hop,hip-hop,20150912,91,36,24,20151219
42,42,Again,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150829,33,33,26,20151219
43,35,My Way,Fetty Wap Featuring Monty,Fetty Wap,hip-hop,hip-hop,20150801,87,7,21,20151219
44,41,I'm Comin' Over,Chris Young,Chris Young,country / folk,country,20150725,100,33,22,20151219
45,57,Stressed Out,Twenty One Pilots,Twenty One Pilots,pop,electronic,20151024,95,2,50,20151219
46,43,Cheerleader,Omi,Omi,reggae,reggae,20150509,95,1,35,20151219
47,47,Back Up,Dej Loaf Featuring Big Sean,Dej Loaf,hip-hop,hip-hop,20151024,83,47,18,20151219
48,49,Burning House,Cam,Cam,pop,trip-hop,20150801,94,29,25,20151219
49,50,Lay It All On Me,Rudimental Featuring Ed Sheeran,Rudimental,pop,seen live,20151031,87,48,15,20151219
50,48,Photograph,Ed Sheeran,Ed Sheeran,pop,acoustic,20150530,92,10,30,20151219
51,58,Nothin' Like You,Dan + Shay,Dan + Shay,country / folk,country,20150829,97,51,19,20151219
52,77,Used To Love You,Gwen Stefani,Gwen Stefani,pop,pop,20151212,77,52,8,20151219
53,61,Hide Away,Daya,Daya,pop,pop,20151017,100,23,26,20151219
54,53,Adventure Of A Lifetime,Coldplay,Coldplay,rock,rock,20151128,55,13,20,20151219
55,52,How Deep Is Your Love,Calvin Harris & Disciples,Calvin Harris & Disciples,pop,party,20150808,60,27,20,20151219
56,63,Gonna,Blake Shelton,Blake Shelton,country / folk,country,20151003,86,54,18,20151219
57,46,The Feeling,Justin Bieber Featuring Halsey,Justin Bieber,pop,pop,20151205,31,31,7,20151219
58,45,Bet You Can't Do It Like Me,Dlow,Dlow,pop,chicago,20151128,61,45,15,20151219
59,72,WTF (Where They From),Missy Elliott Featuring Pharrell Williams,Missy Elliott,hip-hop,hip-hop,20151128,91,22,14,20151219
60,71,Exchange,Bryson Tiller,Bryson Tiller,rnb / soul,rnb,20151114,98,26,34,20151219
61,NEW,Hallelujah,Jordan Smith,Jordan Smith,pop,seen live,20151219,61,61,1,20151219
62,68,Gonna Know We Were Here,Jason Aldean,Jason Aldean,country / folk,country,20151107,92,54,15,20151219
63,66,The Fix,Nelly Featuring Jeremih,Nelly,hip-hop,hip-hop,20151024,94,62,19,20151219
64,55,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,Shawn Mendes,pop,pop,20151205,97,20,20,20151219
65,69,Stay A Little Longer,Brothers Osborne,Brothers Osborne,country / folk,country,20151024,99,46,20,20151219
66,85,"Me, Myself & I",G-Eazy & Bebe Rexha,G-Eazy,hip-hop,hip-hop,20151121,83,7,37,20151219
67,56,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Koo",Macklemore & Ryan Lewis,hip-hop,hip-hop,20150912,94,12,20,20151219
68,75,Big Rings,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,75,52,20,20151219
69,22,When We Were Young,Adele,Adele,rnb / soul,soul,20151212,22,14,20,20151219
70,83,My House,Flo Rida,Flo Rida,hip-hop,hip-hop,20151128,96,4,39,20151219
71,59,Smoke Break,Carrie Underwood,Carrie Underwood,country / folk,country,20150912,43,43,17,20151219
72,86,Cake By The Ocean,Dnce,Dnce,pop,pop,20151107,79,9,46,20151219
73,67,Back To Back,Drake,Drake,hip-hop,hip-hop,20150822,21,21,20,20151219
74,62,Purpose,Justin Bieber,Justin Bieber,pop,pop,20151205,43,43,7,20151219
75,65,Strip It Down,Luke Bryan,Luke Bryan,country / folk,country,20150829,63,30,19,20151219
76,64,Come Get Her,Rae Sremmurd,Rae Sremmurd,hip-hop,hip-hop,20151003,100,56,19,20151219
77,81,I Got The Boy,Jana Kramer,Jana Kramer,country / folk,country,20151031,92,56,16,20151219
78,82,Top Of The World,Tim Mcgraw,Tim Mcgraw,country / folk,country,20151031,99,73,13,20151219
79,88,I Love This Life,Locash,Locash,pop,classic,20151114,97,56,18,20151219
80,60,Mark My Words,Justin Bieber,Justin Bieber,pop,pop,20151205,42,42,4,20151219
81,76,Blase,Ty Dolla $Ign Featuring Future & Rae Sremmurd,Ty Dolla $Ign,hip-hop,rap,20151003,85,63,18,20151219
82,84,Liquor,Chris Brown,Chris Brown,rnb / soul,rnb,20150926,87,60,14,20151219
83,73,Company,Justin Bieber,Justin Bieber,pop,pop,20151205,53,53,4,20151219
84,97,Home Alone Tonight,Luke Bryan Featuring Karen Fairchild,Luke Bryan,country / folk,country,20151212,97,38,19,20151219
85,91,Stand By You,Rachel Platten,Rachel Platten,pop,pop,20151212,91,37,19,20151219
86,98,Best Friend,Young Thug,Young Thug,hip-hop,hip-hop,20151212,98,45,20,20151219
87,NEW,Down In The DM,Yo Gotti,Yo Gotti,hip-hop,rap,20151219,87,13,21,20151219
88,74,No Pressure,Justin Bieber Featuring Big Sean,Justin Bieber,pop,pop,20151205,49,49,4,20151219
89,NEW,One Call Away,Charlie Puth,Charlie Puth,pop,pop,20151219,89,12,26,20151219
90,78,No Sense,Justin Bieber Featuring Travi$ Scott,Justin Bieber,pop,pop,20151205,54,54,3,20151219
91,94,Dibs,Kelsea Ballerini,Kelsea Ballerini,country / folk,country,20151212,94,58,14,20151219
92,NEW,I'd Just Love To Lay You Down,Barrett Baber,Barrett Baber,country / folk,country,20151219,92,92,1,20151219
93,92,Right Hand,Drake,Drake,hip-hop,hip-hop,20151003,66,58,19,20151219
94,99,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $Ign,Big Sean,hip-hop,hip-hop,20151212,99,89,11,20151219
95,NEW,Irresistible,Fall Out Boy,Fall Out Boy,pop,pop punk,20151219,95,48,12,20151219
96,NEW,New Americana,Halsey,Halsey,pop,pop,20151219,96,60,8,20151219
97,NEW,Daddy,Psy Featuring Cl,Psy,pop,k-pop,20151219,97,97,1,20151219
98,NEW,Girls Just Want To Have Fun,Madi Davis,Madi Davis,pop,american,20151219,98,98,1,20151219
99,90,Let Me See Ya Girl,Cole Swindell,Cole Swindell,country / folk,country,20150822,94,59,18,20151219
100,NEW,Already Callin' You Mine,Parmalee,Parmalee,rock,alternative rock,20151219,100,91,2,20151219
1,1,Hello,Adele,Adele,rnb / soul,soul,20151114,1,1,26,20151212
2,2,Sorry,Justin Bieber,Justin Bieber,pop,pop,20151114,2,1,42,20151212
3,3,Hotline Bling,Drake,Drake,hip-hop,hip-hop,20150822,66,2,36,20151212
4,5,What Do You Mean?,Justin Bieber,Justin Bieber,pop,pop,20150919,1,1,31,20151212
5,6,The Hills,The Weeknd,The Weeknd,rnb / soul,rnb,20150613,20,1,48,20151212
6,7,Stitches,Shawn Mendes,Shawn Mendes,pop,pop,20150613,89,4,52,20151212
7,4,Love Yourself,Justin Bieber,Justin Bieber,pop,pop,20151205,4,1,41,20151212
8,11,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,Meghan Trainor,pop,pop,20150725,95,8,39,20151212
9,8,679,Fetty Wap Featuring Remy Boyz,Fetty Wap,hip-hop,hip-hop,20150718,34,4,40,20151212
10,10,Here,Alessia Cara,Alessia Cara,pop,pop,20150822,95,5,34,20151212
11,13,Same Old Love,Selena Gomez,Selena Gomez,pop,pop,20151003,43,5,28,20151212
12,12,Ex's & Oh's,Elle King,Elle King,pop,indie pop,20150725,96,10,38,20151212
13,9,Wildest Dreams,Taylor Swift,Taylor Swift,country / folk,country,20150919,15,5,26,20151212
14,18,Watch Me,Silento,Silento,hip-hop,hip-hop,20150314,98,3,51,20151212
15,15,On My Mind,Ellie Goulding,Ellie Goulding,pop,female vocalists,20151010,22,13,22,20151212
16,14,Focus,Ariana Grande,Ariana Grande,pop,pop,20151121,7,7,13,20151212
17,17,Can't Feel My Face,The Weeknd,The Weeknd,rnb / soul,rnb,20150627,24,1,41,20151212
18,16,Jumpman,Drake & Future,Drake & Future,hip-hop,hip-hop,20151010,52,12,32,20151212
19,21,Lean On,Major Lazer X Dj Snake Featuring M0,Major Lazer,pop,seen live,20150425,100,4,48,20151212
20,23,Antidote,Travi$ Scott,Travi$ Scott,hip-hop,hip-hop,20150926,75,16,26,20151212
21,24,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Mark Ronson,rnb / soul,funk,20141129,65,1,55,20151212
22,NEW,When We Were Young,Adele,Adele,rnb / soul,soul,20151212,22,14,20,20151212
23,27,Hit The Quan,Ilovememphis,Ilovememphis,pop,crunk,20150905,41,15,20,20151212
24,20,Locked Away,R. City Featuring Adam Levine,R. City,rnb / soul,rnb,20150808,85,6,27,20151212
25,28,White Iverson,Post Malone,Post Malone,hip-hop,hip-hop,20150926,84,14,30,20151212
26,29,Trap Queen,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150207,86,2,52,20151212
27,37,Perfect,One Direction,One Direction,pop,pop,20151107,10,10,20,20151212
28,36,Confident,Demi Lovato,Demi Lovato,pop,pop,20151031,58,21,19,20151212
29,25,Die A Happy Man,Thomas Rhett,Thomas Rhett,country / folk,country,20151010,92,21,30,20151212
30,40,Drag Me Down,One Direction,One Direction,pop,pop,20150822,3,3,20,20151212
31,19,I'll Show You,Justin Bieber,Justin Bieber,pop,pop,20151121,51,19,12,20151212
32,34,Where Are U Now,Skrillex & Diplo Featuring Justin Bieber,Skrillex & Diplo,electronic,dubstep,20150321,97,8,45,20151212
33,38,Don't,Bryson Tiller,Bryson Tiller,rnb / soul,rnb,20151017,84,13,34,20151212
34,35,Where Ya At,Future Featuring Drake,Future,hip-hop,hip-hop,20150808,68,28,25,20151212
35,39,My Way,Fetty Wap Featuring Monty,Fetty Wap,hip-hop,hip-hop,20150801,87,7,21,20151212
36,41,See You Again,Wiz Khalifa Featuring Charlie Puth,Wiz Khalifa,hip-hop,hip-hop,20150328,100,1,52,20151212
37,51,Say It,Tory Lanez,Tory Lanez,hip-hop,hip-hop,20151107,90,23,24,20151212
38,26,Renegades,X Ambassadors,X Ambassadors,rock,indie,20150502,99,17,35,20151212
39,44,Break Up In A Small Town,Sam Hunt,Sam Hunt,country / folk,country,20151024,90,29,20,20151212
40,32,Good For You,Selena Gomez Featuring A$Ap Rocky,Selena Gomez,pop,pop,20150711,9,5,26,20151212
41,33,I'm Comin' Over,Chris Young,Chris Young,country / folk,country,20150725,100,33,22,20151212
42,45,Again,Fetty Wap,Fetty Wap,hip-hop,hip-hop,20150829,33,33,26,20151212
43,47,Cheerleader,Omi,Omi,reggae,reggae,20150509,95,1,35,20151212
44,52,No Role Modelz,J. Cole,J. Cole,hip-hop,hip-hop,20150912,91,36,24,20151212
45,59,Bet You Can't Do It Like Me,Dlow,Dlow,pop,chicago,20151128,61,45,15,20151212
46,31,The Feeling,Justin Bieber Featuring Halsey,Justin Bieber,pop,pop,20151205,31,31,7,20151212
47,55,Back Up,Dej Loaf Featuring Big Sean,Dej Loaf,hip-hop,hip-hop,20151024,83,47,18,20151212
48,46,Photograph,Ed Sheeran,Ed Sheeran,pop,acoustic,20150530,92,10,30,20151212
49,58,Burning House,Cam,Cam,pop,trip-hop,20150801,94,29,25,20151212
50,50,Lay It All On Me,Rudimental Featuring Ed Sheeran,Rudimental,pop,seen live,20151031,87,48,15,20151212
51,62,Roses,The Chainsmokers Featuring Rozes,The Chainsmokers,pop,electronic,20151107,95,6,31,20151212
52,48,How Deep Is Your Love,Calvin Harris & Disciples,Calvin Harris & Disciples,pop,party,20150808,60,27,20,20151212
53,72,Adventure Of A Lifetime,Coldplay,Coldplay,rock,rock,20151128,55,13,20,20151212
54,86,In The Night,The Weeknd,The Weeknd,rnb / soul,rnb,20151205,86,12,19,20151212
55,97,I Know What You Did Last Summer,Shawn Mendes & Camila Cabello,Shawn Mendes,pop,pop,20151205,97,20,20,20151212
56,57,Downtown,"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Koo",Macklemore & Ryan Lewis,hip-hop,hip-hop,20150912,94,12,20,20151212
57,69,Stressed Out,Twenty One Pilots,Twenty One Pilots,pop,electronic,20151024,95,2,50,20151212
58,60,Nothin' Like You,Dan + Shay,Dan + Shay,country / folk,country,20150829,97,51,19,20151212
59,56,Smoke Break,Carrie Underwood,Carrie Underwood,country / folk,country,20150912,43,43,17,20151212
60,42,Mark My Words,Justin Bieber,Justin Bieber,pop,pop,20151205,42,42,4,20151212
61,75,Hide Away,Daya,Daya,pop,pop,20151017,100,23,26,20151212
62,43,Purpose,Justin Bieber,Justin Bieber,pop,pop,20151205,43,43,7,20151212
63,61,Gonna,Blake Shelton,Blake Shelton,country / folk,country,20151003,86,54,18,20151212
64,65,Come Get Her,Rae Sremmurd,Rae Sremmurd,hip-hop,hip-hop,20151003,100,56,19,20151212
65,70,Strip It Down,Luke Bryan,Luke Bryan,country / folk,country,20150829,63,30,19,20151212
66,71,The Fix,Nelly Featuring Jeremih,Nelly,hip-hop,hip-hop,20151024,94,62,19,20151212
