this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,Why,Frankie Avalon,Frankie Avalon,pop,oldies,19591116,114,1,17,19591228
2,3,El Paso,Marty Robbins,Marty Robbins,country / folk,country,19591109,88,1,22,19591228
3,4,The Big Hurt,Miss Toni Fisher,Miss Toni Fisher,pop,50s,19591116,55,3,17,19591228
4,6,It's Time To Cry,Paul Anka,Paul Anka,jazz,swing,19591116,108,4,16,19591228
5,5,Way Down Yonder In New Orleans,Freddy Cannon,Freddy Cannon,pop,oldies,19591123,72,3,15,19591228
6,1,Heartaches By The Number,Guy Mitchell,Guy Mitchell,country / folk,country,19590928,106,1,21,19591228
7,9,Among My Souvenirs,Connie Francis,Connie Francis,pop,oldies,19591109,115,7,17,19591228
8,7,Mack The Knife,Bobby Darin,Bobby Darin,jazz,jazz,19590817,114,1,27,19591228
9,10,Hound Dog Man,Fabian,Fabian,pop,50s,19591109,113,9,16,19591228
10,19,Pretty Blue Eyes,Steve Lawrence,Steve Lawrence,pop,easy listening,19591123,80,9,18,19591228
11,24,Running Bear,Johnny Preston,Johnny Preston,pop,60s,19591123,86,1,22,19591228
12,8,We Got Love,Bobby Rydell,Bobby Rydell,pop,oldies,19591012,67,6,17,19591228
13,14,Scarlet Ribbons,The Browns,The Browns,pop,horror punk,19591102,89,13,14,19591228
14,18,Uh-Oh,Nutty Squirrels,Nutty Squirrels,jazz,jazz,19591109,86,14,12,19591228
15,47,The Little Drummer Boy,Harry Simeon Choral,Harry Simeon Choral,pop,unknown,19591207,109,15,8,19591228
16,29,Sandy,Larry Hall,Larry Hall,pop,1960s,19591019,112,15,20,19591228
17,15,So Many Ways,Brook Benton,Brook Benton,rnb / soul,soul,19591012,114,6,17,19591228
18,11,In The Mood,Eurgene Fields,Eurgene Fields,pop,unknown,19590831,104,4,22,19591228
19,35,Go Jimmy Go,Jimmy Clanton,Jimmy Clanton,pop,oldies,19591207,98,5,16,19591228
20,12,The Friendly World,Fabian,Fabian,pop,50s,19591116,109,12,14,19591228
21,13,Don't You Know,Della Reese,Della Reese,jazz,jazz,19590914,113,2,19,19591228
22,17,Mr. Blue,Fleetwoods,Fleetwoods,pop,oldies,19590907,75,1,20,19591228
23,28,Smokie,Bill Black'S Combo,Bill Black'S Combo,jazz,jazz,19591123,110,17,13,19591228
24,21,Be My Guest,Fats Domino,Fats Domino,rock,blues,19591026,80,8,14,19591228
25,16,Oh Carol,Neil Sedaka,Neil Sedaka,pop,oldies,19591005,106,9,19,19591228
26,20,I Wanna Be Loved,Ricky Nelson,Ricky Nelson,rock,rockabilly,19591123,107,20,12,19591228
27,25,You Got What It Takes,Marv Johnson,Marv Johnson,rnb / soul,soul,19591102,94,10,22,19591228
28,56,The Village Of St. Bernadette,Andy Williams,Andy Williams,pop,oldies,19591207,114,7,14,19591228
29,32,First Name Initial,Annette & The Afterbeats,Annette,pop,acid house,19591026,91,20,18,19591228
30,23,Teardrop,Santo & Johnny,Santo & Johnny,pop,oldies,19591123,111,23,12,19591228
31,26,Come Into My Heart,Lloyd Price,Lloyd Price,rnb / soul,soul,19591026,88,20,14,19591228
32,52,Not One Minute More,Della Reese,Della Reese,jazz,jazz,19591214,81,16,11,19591228
33,27,Danny Boy,Conway Twitty,Conway Twitty,country / folk,country,19590907,114,10,21,19591228
34,76,The Happy Reindeer,Dancer Prancer & Nervous,Dancer Prancer,pop,unknown,19591207,83,34,6,19591228
35,31,Marina,Rocco Granata Quintet,Rocco Granata Quintet,pop,unknown,19591109,80,31,11,19591228
36,22,Misty,Johnny Mathis,Johnny Mathis,pop,oldies,19590921,105,12,19,19591228
37,33,Dance With Me,The Drifters,The Drifters,rnb / soul,soul,19591012,97,15,15,19591228
