this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Empire State Of Mind,Jay-Z & Alicia Keys,Jay-Z & Alicia Keys,hip-hop,hip-hop,20090926,50,1,30,20091226
2,3,TiK ToK,Ke$Ha,Ke$Ha,pop,pop,20091024,79,1,38,20091226
3,2,Bad Romance,Lady Gaga,Lady Gaga,pop,pop,20091114,9,2,34,20091226
4,4,Replay,Iyaz,Iyaz,rnb / soul,rnb,20090905,96,2,34,20091226
5,5,Fireflies,Owl City,Owl City,electronic,electronic,20090905,97,1,31,20091226
6,7,Sexy Bitch,David Guetta Featuring Akon,David Guetta,electronic,house,20090905,92,5,38,20091226
7,6,Whatcha Say,Jason Derulo,Jason Derulo,rnb / soul,rnb,20090829,54,1,32,20091226
8,8,Meet Me Halfway,The Black Eyed Peas,The Black Eyed Peas,hip-hop,hip-hop,20091003,75,7,24,20091226
9,9,3,Britney Spears,Britney Spears,pop,pop,20091024,1,1,20,20091226
10,10,Down,Jay Sean Featuring Lil Wayne,Jay Sean,rnb / soul,rnb,20090718,72,1,40,20091226
11,11,Paparazzi,Lady Gaga,Lady Gaga,pop,pop,20090912,74,6,27,20091226
12,12,Sweet Dreams,Beyonce,Beyonce,rnb / soul,rnb,20090808,97,10,29,20091226
13,NEW,How Low,Ludacris,Ludacris,hip-hop,rap,20091226,13,6,21,20091226
14,15,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",Drake,hip-hop,hip-hop,20091003,8,8,24,20091226
15,13,Already Gone,Kelly Clarkson,Kelly Clarkson,pop,pop,20090822,89,13,30,20091226
16,19,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,Jay Sean,rnb / soul,rnb,20091121,27,10,20,20091226
17,14,Party In The U.S.A.,Miley Cyrus,Miley Cyrus,pop,pop,20090829,2,2,28,20091226
18,17,I Gotta Feeling,The Black Eyed Peas,The Black Eyed Peas,hip-hop,hip-hop,20090627,2,1,56,20091226
19,16,Need You Now,Lady Antebellum,Lady Antebellum,country / folk,country,20090829,85,2,60,20091226
20,24,Bedrock,Young Money Featuring Lloyd,Young Money,hip-hop,hip-hop,20091212,36,2,25,20091226
21,20,Hard,Rihanna Featuring Jeezy,Rihanna,pop,pop,20091205,80,8,20,20091226
22,18,You Belong With Me,Taylor Swift,Taylor Swift,country / folk,country,20090516,87,2,49,20091226
23,21,Use Somebody,Kings Of Leon,Kings Of Leon,rock,rock,20090221,100,4,56,20091226
24,22,I Can Transform Ya,Chris Brown Featuring Lil Wayne & Swizz Beatz,Chris Brown,rnb / soul,rnb,20091024,52,20,19,20091226
25,25,Evacuate The Dancefloor,Cascada,Cascada,electronic,dance,20090829,80,25,26,20091226
26,26,Money To Blow,Birdman Featuring Lil Wayne & Drake,Birdman,hip-hop,hip-hop,20091024,100,26,20,20091226
27,23,Fifteen,Taylor Swift,Taylor Swift,country / folk,country,20091003,94,23,19,20091226
28,32,Two Is Better Than One,Boys Like Girls Featuring Taylor Swift,Boys Like Girls,pop,pop punk,20091114,79,18,20,20091226
29,31,Baby By Me,50 Cent Featuring Ne-Yo,50 Cent,hip-hop,rap,20091114,31,28,13,20091226
30,28,Cowboy Casanova,Carrie Underwood,Carrie Underwood,country / folk,country,20091003,96,11,20,20091226
31,75,Carry Out,Timbaland Featuring Justin Timberlake,Timbaland,hip-hop,hip-hop,20091219,75,11,26,20091226
32,27,Run This Town,"Jay-Z, Rihanna & Kanye West","Jay-Z, Rihanna & Kanye West",hip-hop,hip-hop,20090815,88,2,23,20091226
33,37,Tie Me Down,New Boyz Featuring Ray J,New Boyz,hip-hop,hip-hop,20091031,97,22,26,20091226
34,29,Give It Up To Me,Shakira Featuring Lil Wayne,Shakira,pop,pop,20091128,58,29,11,20091226
35,39,Gangsta Luv,Snoop Dogg Featuring The-Dream,Snoop Dogg,hip-hop,hip-hop,20091107,57,35,19,20091226
36,44,Live Like We're Dying,Kris Allen,Kris Allen,pop,american idol,20091121,92,18,28,20091226
37,35,Do I,Luke Bryan,Luke Bryan,country / folk,country,20090919,86,34,20,20091226
38,40,Say Aah,Trey Songz,Trey Songz,rnb / soul,rnb,20091128,81,9,29,20091226
39,33,Falling For You,Colbie Caillat,Colbie Caillat,pop,female vocalists,20090718,12,12,31,20091226
40,38,Consider Me Gone,Reba,Reba,country / folk,country,20091017,96,38,19,20091226
41,34,One Time,Justin Bieber,Justin Bieber,pop,pop,20090815,78,17,24,20091226
42,48,Spotlight,Gucci Mane Featuring Usher,Gucci Mane,hip-hop,hip-hop,20091114,93,42,16,20091226
43,43,I Invented Sex,Trey Songz Featuring Drake,Trey Songz,rnb / soul,rnb,20091107,90,42,20,20091226
44,30,Russian Roulette,Rihanna,Rihanna,pop,pop,20091107,100,9,14,20091226
45,45,"Hey, Soul Sister",Train,Train,rock,rock,20091017,98,3,54,20091226
46,41,Telephone,Lady Gaga Featuring Beyonce,Lady Gaga,pop,pop,20091212,30,3,33,20091226
47,42,If You Only Knew,Shinedown,Shinedown,rock,rock,20091114,92,42,20,20091226
48,47,The Truth,Jason Aldean,Jason Aldean,country / folk,country,20091121,91,40,20,20091226
49,46,White Liar,Miranda Lambert,Miranda Lambert,country / folk,country,20091031,98,38,20,20091226
50,49,Southern Voice,Tim Mcgraw,Tim Mcgraw,country / folk,country,20091107,61,49,18,20091226
51,NEW,My Life Would Suck Without You,"Glee Cast Featuring Lea Michele, Cory Monteith, Jenna Ushkow",Glee Cast,pop,musical,20091226,51,51,1,20091226
52,52,I Wanna Make You Close Your Eyes,Dierks Bentley,Dierks Bentley,country / folk,country,20091017,91,52,20,20091226
53,NEW,Don't Rain On My Parade,Glee Cast Featuring Lea Michele,Glee Cast,pop,musical,20091226,53,53,1,20091226
54,56,It Kills Me,Melanie Fiona,Melanie Fiona,rnb / soul,soul,20091205,88,43,20,20091226
55,67,According To You,Orianthi,Orianthi,rock,rock,20091219,67,17,21,20091226
56,51,Try Sleeping With A Broken Heart,Alicia Keys,Alicia Keys,rnb / soul,soul,20091205,58,27,20,20091226
57,36,Papers,Usher,Usher,rnb / soul,rnb,20091031,92,31,16,20091226
58,53,Smile,Uncle Kracker,Uncle Kracker,rock,rock,20090829,93,43,23,20091226
59,54,Red Light,David Nail,David Nail,country / folk,country,20091010,95,54,16,20091226
60,65,Crawl,Chris Brown,Chris Brown,rnb / soul,rnb,20091212,68,53,9,20091226
61,62,Never Gonna Be Alone,Nickelback,Nickelback,rock,rock,20091121,96,58,16,20091226
62,NEW,On Fire,Lil Wayne,Lil Wayne,hip-hop,rap,20091226,62,62,2,20091226
63,NEW,In My Head,Jason Derulo,Jason Derulo,rnb / soul,rnb,20091226,63,5,34,20091226
64,66,Life After You,Daughtry,Daughtry,rock,rock,20091219,66,36,20,20091226
65,57,Bonfire,Craig Morgan,Craig Morgan,country / folk,country,20091010,98,57,14,20091226
66,59,Uprising,Muse,Muse,rock,alternative rock,20091003,37,37,19,20091226
67,NEW,I Am,Mary J. Blige,Mary J. Blige,rnb / soul,rnb,20091226,67,55,20,20091226
68,58,Wasted,Gucci Mane Featuring Plies,Gucci Mane,hip-hop,hip-hop,20090919,95,36,19,20091226
69,50,Body Language,Jesse Mccartney Featuring T-Pain,Jesse Mccartney,pop,pop,20091024,71,35,14,20091226
70,64,History In The Making,Darius Rucker,Darius Rucker,country / folk,country,20091121,90,61,19,20091226
71,NEW,You Can't Always Get What You Want,"Glee Cast Featuring Lea Michele, Cory Monteith, Kevin Mchale",Glee Cast,pop,musical,20091226,71,71,1,20091226
72,NEW,This Is War,Thirty Seconds To Mars,Thirty Seconds To Mars,rock,alternative rock,20091226,72,72,1,20091226
73,74,One Less Lonely Girl,Justin Bieber,Justin Bieber,pop,pop,20091212,69,30,10,20091226
74,68,Haven't Met You Yet,Michael Buble,Michael Buble,jazz,jazz,20091024,90,24,43,20091226
75,76,Why Don't We Just Dance,Josh Turner,Josh Turner,country / folk,country,20091128,99,35,20,20091226
76,72,Someday,Rob Thomas,Rob Thomas,pop,pop,20091121,93,59,22,20091226
77,70,Eight Second Ride,Jake Owen,Jake Owen,country / folk,country,20091121,95,70,13,20091226
78,71,Bad Habits,Maxwell,Maxwell,rnb / soul,soul,20091010,96,71,13,20091226
79,77,All The Right Moves,Onerepublic,Onerepublic,rock,rock,20091024,58,18,34,20091226
