this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,Oh Mein Papa,Eddie Fisher,Eddie Fisher,jazz,jazz,19531204,19,1,19,19531225
2,1,Rags To Riches,Tony Bennett,Tony Bennett,jazz,jazz,19530911,20,1,24,19531225
3,3,That's Amore,Dean Martin,Dean Martin,jazz,jazz,19531106,14,2,22,19531225
4,8,Santa Baby,Eartha Kitt,Eartha Kitt,jazz,jazz,19531127,16,4,5,19531225
5,4,Ricochet,Teresa Brewer,Teresa Brewer,pop,50s,19531016,13,4,18,19531225
6,5,Changing Partners,Patti Page,Patti Page,jazz,jazz,19531120,13,4,19,19531225
7,6,Stranger In Paradise,Tony Bennett,Tony Bennett,jazz,jazz,19531204,14,3,19,19531225
8,7,Ebb Tide,Frank Chacksfield,Frank Chacksfield,pop,easy listening,19530828,19,2,23,19531225
9,9,Oh Mein Papa,Eddie Calvert,Eddie Calvert,jazz,jazz,19531204,9,9,8,19531225
10,11,Stranger In Paradise,Four Aces,Four Aces,pop,american,19531127,19,5,16,19531225
11,10,Eh Cumpari,Julius Larosa,Julius Larosa,pop,italian,19530911,8,2,19,19531225
12,14,Vaya Con Dios,Les Paul & Mary Ford,Les Paul & Mary Ford,jazz,jazz,19530619,14,1,30,19531225
13,12,You You You,Ames Brothers,Ames Brothers,pop,50s,19530626,18,2,30,19531225
14,15,Changing Partners,Kay Starr,Kay Starr,jazz,jazz,19531204,17,13,8,19531225
15,13,Christmas Dragnet,Stan Freberg,Stan Freberg,pop,comedy,19531211,18,13,3,19531225
16,16,Heart Of My Heart,Four Aces,Four Aces,pop,american,19531127,20,8,16,19531225
17,NEW,Stranger In Paradise,Tony Martin,Tony Martin,rock,heavy metal,19531225,17,10,9,19531225
18,18,You Alone,Perry Como,Perry Como,jazz,jazz,19531030,13,10,12,19531225
19,NEW,Heart Of My Heart,Don Cornell / Johnny Desmond / Alan Dale,Don Cornell / Johnny Desmond / Alan Dale,pop,unknown,19531225,19,19,1,19531225
20,19,Istanbul (Not Constantinople),Four Lads,Four Lads,pop,50s,19531016,19,10,13,19531225
1,1,Rags To Riches,Tony Bennett,Tony Bennett,jazz,jazz,19530911,20,1,24,19531218
2,3,Oh Mein Papa,Eddie Fisher,Eddie Fisher,jazz,jazz,19531204,19,1,19,19531218
3,2,That's Amore,Dean Martin,Dean Martin,jazz,jazz,19531106,14,2,22,19531218
4,5,Ricochet,Teresa Brewer,Teresa Brewer,pop,50s,19531016,13,4,18,19531218
5,6,Changing Partners,Patti Page,Patti Page,jazz,jazz,19531120,13,4,19,19531218
6,8,Stranger In Paradise,Tony Bennett,Tony Bennett,jazz,jazz,19531204,14,3,19,19531218
7,4,Ebb Tide,Frank Chacksfield,Frank Chacksfield,pop,easy listening,19530828,19,2,23,19531218
8,7,Santa Baby,Eartha Kitt,Eartha Kitt,jazz,jazz,19531127,16,4,5,19531218
9,10,Oh Mein Papa,Eddie Calvert,Eddie Calvert,jazz,jazz,19531204,9,9,8,19531218
10,12,Eh Cumpari,Julius Larosa,Julius Larosa,pop,italian,19530911,8,2,19,19531218
