this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,My Sweet Lord / Isn't It A Pity,George Harrison,George Harrison,rock,classic rock,19701127,72,1,14,19701225
2,3,One Less Bell To Answer,5Th Dimension,5Th Dimension,pop,60s,19701016,111,2,20,19701225
3,1,Tears Of A Clown,Smokey Robinson & The Miracles,Smokey Robinson & The Miracles,rnb / soul,soul,19701016,68,1,16,19701225
4,6,Knock Three Times,Dawn,Dawn,rock,black metal,19701120,90,1,18,19701225
5,5,Black Magic Woman,Santana,Santana,rock,rock,19701113,55,4,13,19701225
6,4,I Think I Love You,Partridge Family,Partridge Family,pop,pop,19700925,114,1,21,19701225
7,7,Stoned Love,Supremes,Supremes,rnb / soul,soul,19701106,61,7,14,19701225
8,8,Does Anybody Really Know What Time It Is,Chicago,Chicago,rock,classic rock,19701106,72,7,13,19701225
9,9,Gypsy Woman,Brian Hyland,Brian Hyland,pop,oldies,19700828,119,3,21,19701225
10,10,No Matter What,Badfinger,Badfinger,rock,classic rock,19701023,101,8,13,19701225
11,13,5-10-15-20 (25-30 Years Of Love),Presidents,Presidents,rock,rock,19700925,112,11,16,19701225
12,15,Domino,Van Morrison,Van Morrison,rock,classic rock,19701106,126,9,13,19701225
13,27,Stoney End,Barbra Streisand,Barbra Streisand,pop,female vocalists,19701016,123,6,20,19701225
14,19,For The Good Times,Ray Price,Ray Price,country / folk,country,19700814,120,11,26,19701225
15,12,We've Only Just Begun,Carpenters,Carpenters,pop,pop,19700911,84,2,17,19701225
16,14,I'll Be There,Jackson Five,Jackson Five,rnb / soul,soul,19700918,40,1,16,19701225
17,30,River Deep - Mountain High,Supremes & The Four Tops,Supremes & The Four Tops,rnb / soul,soul,19701127,51,14,10,19701225
18,28,Groove Me,King Floyd,King Floyd,rnb / soul,soul,19701016,120,6,21,19701225
19,29,It's Impossible,Perry Como,Perry Como,jazz,jazz,19701106,102,10,18,19701225
20,20,He Ain't Heavy ... He's My Brother,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19701106,68,20,11,19701225
21,17,Be My Baby,Andy Kim,Andy Kim,pop,pop,19701030,115,17,12,19701225
22,23,One Man Band,Three Dog Night,Three Dog Night,rock,classic rock,19701113,101,19,12,19701225
23,25,Pay To The Piper,Chairmen Of The Board,Chairmen Of The Board,rnb / soul,soul,19701113,78,13,13,19701225
24,32,If I Were Your Woman,Gladys Knight And The Pips,Gladys Knight And The Pips,rnb / soul,soul,19701120,126,9,16,19701225
25,26,Can't Stop Loving You,Tom Jones,Tom Jones,pop,pop,19701120,62,25,8,19701225
26,41,Lonely Days,Bee Gees,Bee Gees,disco,disco,19701204,81,3,14,19701225
27,22,Montego Bay,Bobby Bloom,Bobby Bloom,pop,70s,19700821,108,8,19,19701225
28,31,Immigrant Song,Led Zeppelin,Led Zeppelin,rock,classic rock,19701120,83,16,13,19701225
29,38,Your Song,Elton John,Elton John,pop,pop,19701120,108,8,15,19701225
30,11,Share The Land,Guess Who,Guess Who,hip-hop,hip-hop,19701016,101,10,11,19701225
31,39,Love The One You're With,Stephen Stills,Stephen Stills,country / folk,singer-songwriter,19701211,67,14,11,19701225
32,24,You Don't Have To Say You Love Me,Elvis Presley,Elvis Presley,rock,rock n roll,19701023,74,11,10,19701225
33,40,Rose Garden,Lynn Anderson,Lynn Anderson,country / folk,country,19701113,126,3,19,19701225
34,35,I'm Nor Mr Brother's Keeper,Flaming Ember,Flaming Ember,rnb / soul,funk,19701016,84,34,13,19701225
35,21,Fire And Rain,James Taylor,James Taylor,country / folk,folk,19700911,83,3,16,19701225
36,36,Do It,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19701106,78,36,10,19701225
37,37,Border Song,Aretha Franklin,Aretha Franklin,rnb / soul,soul,19701113,104,37,8,19701225
38,18,After Midnight,Eric Clapton,Eric Clapton,rock,classic rock,19701016,75,18,12,19701225
39,45,Games,Redeye,Redeye,electronic,trance,19701023,116,27,16,19701225
40,44,We Gotta Get You A Woman,Runt,Runt,pop,skate punk,19701030,106,20,19,19701225
41,16,Heaven Help Us All,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19701016,78,9,11,19701225
