this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,3,Hero,Mariah Carey,Mariah Carey,pop,pop,19931023,71,1,30,19931225
2,1,Again,Janet Jackson,Janet Jackson,pop,pop,19931023,15,1,23,19931225
3,2,All That She Wants,Ace Of Base,Ace Of Base,pop,pop,19930918,92,2,36,19931225
4,4,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,Meat Loaf,rock,rock,19930918,68,1,22,19931225
5,7,All For Love,Bryan Adams / Rod Stewart / Sting,Bryan Adams / Rod Stewart / Sting,pop,unknown,19931127,51,1,22,19931225
6,6,Gangsta Lean,Drs,Drs,hip-hop,hip-hop,19931016,76,4,20,19931225
7,5,Shoop,Salt-N-Pepa,Salt-N-Pepa,hip-hop,hip-hop,19931009,68,4,25,19931225
8,8,Breathe Again,Toni Braxton,Toni Braxton,rnb / soul,rnb,19931016,53,3,35,19931225
9,15,What's My Name?,Snoop Dogg,Snoop Dogg,hip-hop,hip-hop,19931204,40,8,17,19931225
10,10,Said I Loved You ... But I Lied,Michael Bolton,Michael Bolton,pop,pop,19931106,55,6,24,19931225
11,9,Please Forgive Me,Bryan Adams,Bryan Adams,rock,rock,19931023,65,7,28,19931225
12,12,Can We Talk,Tevin Campbell,Tevin Campbell,rnb / soul,rnb,19931016,59,9,26,19931225
13,14,Whoomp! (There It Is),Tag Team,Tag Team,hip-hop,hip-hop,19930529,65,2,45,19931225
14,11,Just Kickin' It,Xscape,Xscape,rnb / soul,rnb,19930918,90,2,21,19931225
15,13,Keep Ya Head Up,2Pac,2Pac,hip-hop,rap,19931030,83,12,20,19931225
16,18,Linger,The Cranberries,The Cranberries,rock,rock,19931023,91,8,24,19931225
17,16,Hey Mr. D.J.,Zhane,Zhane,rnb / soul,rnb,19930828,79,6,24,19931225
18,23,Because The Night,"10,000 Maniacs","10,000 Maniacs",pop,female vocalists,19931106,92,11,29,19931225
19,36,Getto Jam,Domino,Domino,pop,eurobeat,19931127,68,7,20,19931225
20,20,Mr. Vain,Culture Beat,Culture Beat,electronic,eurodance,19931106,81,17,20,19931225
21,21,Never Keeping Secrets,Babyface,Babyface,rnb / soul,rnb,19931023,89,15,23,19931225
22,17,What Is Love,Haddaway,Haddaway,electronic,dance,19930828,87,11,26,19931225
23,25,Cry For You,Jodeci,Jodeci,rnb / soul,rnb,19931127,86,15,20,19931225
24,26,I Can See Clearly Now,Jimmy Cliff,Jimmy Cliff,reggae,reggae,19931106,95,18,25,19931225
25,22,Come Baby Come,K7,K7,hip-hop,hip-hop,19930904,96,18,21,19931225
26,19,Dreamlover,Mariah Carey,Mariah Carey,pop,pop,19930807,40,1,29,19931225
27,24,Sex Me (Parts I),R. Kelly,R. Kelly,rnb / soul,rnb,19931030,66,20,19,19931225
28,47,The Power Of Love,Celine Dion,Celine Dion,pop,pop,19931127,90,1,33,19931225
29,29,All About Soul,Billy Joel,Billy Joel,rock,classic rock,19931106,67,29,20,19931225
