this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,3,Angie Baby,Helen Reddy,Helen Reddy,pop,female vocalists,19741019,60,1,17,19741228
2,6,Lucy In The Sky With Diamonds,Elton John,Elton John,pop,pop,19741130,48,1,14,19741228
3,5,You're The First The Last My Everything,Barry White,Barry White,rnb / soul,soul,19741102,60,2,15,19741228
4,2,Kung Fu Fighting,Carl Douglas,Carl Douglas,disco,disco,19741005,108,1,19,19741228
5,1,Cat's In The Cradle,Harry Chapin,Harry Chapin,country / folk,folk,19740928,110,1,20,19741228
6,8,Junior's Farm,Paul Mccartney & Wings,Paul Mccartney & Wings,rock,classic rock,19741109,59,3,17,19741228
7,4,When Will I See You Again,Three Degrees,Three Degrees,rnb / soul,soul,19740921,106,2,19,19741228
8,12,Laughter In The Rain,Neil Sedaka,Neil Sedaka,pop,oldies,19741019,95,1,20,19741228
9,14,Only You,Ringo Starr,Ringo Starr,rock,classic rock,19741116,63,6,13,19741228
10,13,Boogie On Reggae Woman,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19741116,62,3,17,19741228
11,15,Please Mr. Postman,Carpenters,Carpenters,pop,pop,19741123,77,1,17,19741228
12,19,Mandy,Barry Manilow,Barry Manilow,pop,pop,19741109,110,1,17,19741228
13,16,Must Have Got Lost,J.Geils Band,J.Geils Band,rock,classic rock,19741109,61,12,11,19741228
14,18,One Man Woman - One Woman Man,Paul Anka & Odia Coates,Paul Anka & Odia Coates,jazz,swing,19741109,79,7,16,19741228
15,7,Sha-La-La (Make Me Happy),Al Green,Al Green,rnb / soul,soul,19740928,87,7,19,19741228
16,20,Bungle In The Jungle,Jethro Tull,Jethro Tull,rock,progressive rock,19741102,82,12,16,19741228
17,11,You Got The Love,Rufus & Chaka Khan,Rufus & Chaka Khan,rnb / soul,funk,19741012,90,11,16,19741228
18,22,Never Can Say Goodbye,Gloria Gaynor,Gloria Gaynor,disco,disco,19741012,110,9,20,19741228
19,25,Morning Side Of The Mountain,Donny & Marie Osmond,Donny & Marie Osmond,pop,seventies pop,19741116,74,8,16,19741228
20,24,Dark Horse,George Harrison,George Harrison,rock,classic rock,19741123,69,15,10,19741228
