this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Faith,George Michael,George Michael,pop,pop,19871024,54,1,20,19871226
2,3,So Emotional,Whitney Houston,Whitney Houston,pop,pop,19871031,47,1,19,19871226
3,2,Is This Love,Whitesnake,Whitesnake,rock,hard rock,19871024,53,2,19,19871226
4,5,Got My Mind Set On You,George Harrison,George Harrison,rock,classic rock,19871024,66,1,22,19871226
5,4,Shake Your Love,Debbie Gibson,Debbie Gibson,pop,pop,19871003,77,4,22,19871226
6,6,Don't You Want Me,Jody Watley,Jody Watley,rnb / soul,soul,19871003,80,6,23,19871226
7,11,The Way You Make Me Feel,Michael Jackson,Michael Jackson,pop,pop,19871121,44,1,18,19871226
8,8,Catch Me (I'm Falling),Pretty Poison,Pretty Poison,pop,80s,19870926,84,8,23,19871226
9,13,Cherry Bomb,John Mellencamp,John Mellencamp,rock,rock,19871024,78,8,21,19871226
10,16,Need You Tonight,Inxs,Inxs,rock,rock,19871024,93,1,25,19871226
11,9,Valerie,Steve Winwood,Steve Winwood,rock,classic rock,19871010,77,9,20,19871226
12,15,Tell It To My Heart,Taylor Dayne,Taylor Dayne,pop,80s,19871010,92,7,25,19871226
13,18,Candle In The Wind,Elton John,Elton John,pop,pop,19871107,68,6,21,19871226
14,14,Dude (Looks Like A Lady),Aerosmith,Aerosmith,rock,rock,19871003,84,14,20,19871226
15,20,Hazy Shade Of Winter,Bangles,Bangles,pop,80s,19871114,73,2,21,19871226
16,24,Could've Been,Tiffany,Tiffany,pop,80s,19871128,86,1,20,19871226
17,7,Heaven Is A Place On Earth,Belinda Carlisle,Belinda Carlisle,pop,pop,19870926,72,1,21,19871226
18,22,There's The Girl,Heart,Heart,rock,classic rock,19871107,70,12,19,19871226
19,21,Animal,Def Leppard,Def Leppard,rock,hard rock,19871010,84,19,19,19871226
20,23,Seasons Change,Expose,Expose,pop,80s,19871128,57,1,20,19871226
21,17,(I've Had) The Time Of My Life,Bill Medley & Jennifer Warnes,Bill Medley & Jennifer Warnes,pop,pop,19870926,73,1,21,19871226
22,27,Crazy,Icehouse,Icehouse,rock,new wave,19871017,95,14,21,19871226
23,26,I Could Never Take The Place Of Your Man,The Artist,The Artist,pop,prince,19871114,81,10,17,19871226
24,19,That's What Love Is All About,Michael Bolton,Michael Bolton,pop,pop,19870905,91,19,25,19871226
25,32,Hungry Eyes,Eric Carmen,Eric Carmen,pop,pop,19871107,88,4,25,19871226
26,31,I Want To Be Your Man,Roger,Roger,rnb / soul,funk,19871114,88,3,21,19871226
27,28,Power Of Love,Laura Branigan,Laura Branigan,pop,80s,19871024,97,26,18,19871226
28,10,We'll Be Together,Sting,Sting,rock,rock,19871010,59,7,18,19871226
29,12,Should've Known Better,Richard Marx,Richard Marx,pop,80s,19870926,64,3,21,19871226
30,35,Tunnel Of Love,Bruce Springsteen,Bruce Springsteen,rock,rock,19871205,57,9,16,19871226
31,37,I Live For Your Love,Natalie Cole,Natalie Cole,jazz,jazz,19871107,90,13,22,19871226
32,34,True Faith,New Order,New Order,rock,new wave,19871024,95,32,18,19871226
33,43,Say You Will,Foreigner,Foreigner,rock,classic rock,19871205,59,6,19,19871226
34,39,Don't Shed A Tear,Paul Carrack,Paul Carrack,rock,soft rock,19871114,72,9,24,19871226
35,40,Pop Goes The World,Men Without Hats,Men Without Hats,rock,new wave,19871031,91,20,21,19871226
36,44,Honestly,Stryper,Stryper,rock,hard rock,19871107,93,23,19,19871226
37,36,Motortown,The Kane Gang,The Kane Gang,pop,pop,19871017,93,36,16,19871226
38,45,Everywhere,Fleetwood Mac,Fleetwood Mac,rock,classic rock,19871128,65,14,18,19871226
39,48,What Have I Done To Deserve This?,Pet Shop Boys & Dusty Springfield,Pet Shop Boys & Dusty Springfield,pop,synthpop,19871212,60,2,18,19871226
40,49,Push It,Salt-N-Pepa,Salt-N-Pepa,hip-hop,hip-hop,19871121,76,19,25,19871226
41,46,Just Like Heaven,The Cure,The Cure,pop,post-punk,19871010,94,40,19,19871226
42,25,The One I Love,R.E.M.,R.E.M.,rock,rock,19870919,84,9,20,19871226
43,33,I Think We're Alone Now,Tiffany,Tiffany,pop,80s,19870829,84,1,24,19871226
44,51,I Found Someone,Cher,Cher,pop,pop,19871121,79,10,26,19871226
45,52,Can'r Stay Away From You,Gloria Estefan & Miami Sound Machine,Gloria Estefan & Miami Sound Machine,pop,pop,19871121,89,6,23,19871226
46,59,Pump Up The Volume,M/A/R/R/S,M/A/R/R/S,electronic,house,19871128,96,13,23,19871226
47,42,I Don't Mind At All,Bourgeois Tagg,Bourgeois Tagg,pop,american,19871010,89,38,17,19871226
48,53,I Can't Help It,Bananarama,Bananarama,pop,80s,19871121,78,47,13,19871226
49,30,Skeletons,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19871017,66,19,16,19871226
50,29,I Do,The Jets,The Jets,pop,80s,19871017,74,20,15,19871226
51,58,Because Of You,Cover Girls,Cover Girls,pop,freestyle,19871128,94,27,20,19871226
52,41,Mony Mony,Billy Idol,Billy Idol,rock,rock,19870905,72,1,22,19871226
53,61,In God's Country,U2,U2,rock,rock,19871205,84,44,12,19871226
54,57,You And Me Tonight,Deja,Deja,rnb / soul,soul,19871121,94,54,12,19871226
55,84,She's Like The Wind,Patrick Swayze Featuring Wendy Fraser,Patrick Swayze,pop,80s,19871219,84,3,21,19871226
56,79,853-5937,Squeeze,Squeeze,rock,new wave,19871219,79,32,12,19871226
57,47,I've Been In Love Before,Cutting Crew,Cutting Crew,pop,80s,19870905,75,9,21,19871226
58,50,(Baby Tell Me) Can You Dance,Shanice Wilson,Shanice Wilson,rnb / soul,rnb,19871107,81,50,13,19871226
59,63,Lover's Lane,Georgio,Georgio,hip-hop,hip-hop,19871205,86,59,12,19871226
60,65,Hot In The City,Billy Idol,Billy Idol,rock,rock,19871212,81,48,10,19871226
61,71,Never Gonna Give You Up,Rick Astley,Rick Astley,pop,pop,19871219,71,1,24,19871226
62,38,Hourglass,Squeeze,Squeeze,rock,new wave,19870919,81,15,19,19871226
63,82,Dear Mr. Jesus,Powersource,Powersource,pop,goa,19871219,82,61,7,19871226
64,86,Rhythm Of Love,Yes,Yes,rock,progressive rock,19871219,86,40,12,19871226
65,76,Never Thought (That I Could Love),Dan Hill,Dan Hill,pop,80s,19871212,88,43,20,19871226
66,60,System Of Survival,"Earth, Wind & Fire","Earth, Wind & Fire",rnb / soul,funk,19871031,93,60,13,19871226
67,85,Hot Hot Hot,Buster Poindexter & His Banshees Of Blue,Buster Poindexter & His Banshees Of Blue,jazz,swing,19871212,95,45,13,19871226
68,80,Reason To Live,Kiss,Kiss,rock,hard rock,19871205,98,64,12,19871226
69,54,I Won't Forget You,Poison,Poison,rock,hard rock,19870905,87,13,21,19871226
70,87,I Need A Love,Eurythmics,Eurythmics,pop,80s,19871219,87,46,10,19871226
71,55,Little Lies,Fleetwood Mac,Fleetwood Mac,rock,classic rock,19870829,66,4,21,19871226
72,56,Breakout,Swing Out Sister,Swing Out Sister,pop,pop,19870815,92,6,23,19871226
73,64,Love Will Find A Way,Yes,Yes,rock,progressive rock,19871003,76,30,19,19871226
74,70,Criticize,Alexander O'Neal,Alexander O'Neal,rnb / soul,soul,19871114,97,70,11,19871226
75,75,U Got The Look,The Artist,The Artist,pop,prince,19870801,67,2,25,19871226
76,97,Twilight World,Swing Out Sister,Swing Out Sister,pop,pop,19871219,97,31,15,19871226
77,67,Throwaway,Mick Jagger,Mick Jagger,rock,rock,19871128,85,67,9,19871226
78,62,Brilliant Disguise,Bruce Springsteen,Bruce Springsteen,rock,rock,19871003,40,5,16,19871226
79,68,In My Dreams,Reo Speedwagon,Reo Speedwagon,rock,classic rock,19870718,82,19,30,19871226
80,NEW,Live My Life,Boy George,Boy George,pop,80s,19871226,80,40,12,19871226
81,96,Rain In The Summertime,The Alarm,The Alarm,pop,80s,19871219,96,71,8,19871226
82,98,Burning Like A Flame,Dokken,Dokken,rock,hard rock,19871219,98,72,8,19871226
83,83,She's Fly,Tony Terry,Tony Terry,rnb / soul,soul,19871128,92,80,9,19871226
84,74,Silent Morning,Noel,Noel,pop,freestyle,19870822,82,47,22,19871226
85,72,Cherokee,Europe,Europe,rock,hard rock,19871128,91,72,10,19871226
86,78,Someone To Love Me For Me,Lisa Lisa And Cult Jam Featuring Full Force,Lisa Lisa And Cult Jam,pop,80s,19871114,92,78,10,19871226
87,66,We've Only Just Begun (The Romance Is Not Over),Glenn Jones,Glenn Jones,country / folk,folk,19871031,89,66,14,19871226
88,94,Lonely Won't Leave Me Alone,Glenn Medeiros,Glenn Medeiros,pop,pop,19871219,94,67,11,19871226
89,69,Let Me Be The One,Expose,Expose,pop,80s,19870815,77,7,22,19871226
90,90,What's Too Much,Smokey Robinson,Smokey Robinson,rnb / soul,soul,19871114,90,79,10,19871226
91,89,All I Need,Motley Crue,Motley Crue,rock,hard rock,19871128,93,83,8,19871226
92,91,Special Way,Kool And The Gang,Kool And The Gang,rnb / soul,funk,19871017,88,72,14,19871226
93,92,Eagles Fly,Sammy Hagar,Sammy Hagar,rock,hard rock,19871024,90,82,13,19871226
94,93,It's A Sin,Pet Shop Boys,Pet Shop Boys,pop,synthpop,19870905,70,9,19,19871226
95,95,Who Will You Run To,Heart,Heart,rock,classic rock,19870815,64,7,22,19871226
96,NEW,Never Let Me Down Again,Depeche Mode,Depeche Mode,pop,electronic,19871226,96,63,10,19871226
97,73,Causing A Commotion,Madonna,Madonna,pop,pop,19870912,41,2,18,19871226
