this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Un-Break My Heart,Toni Braxton,Toni Braxton,rnb / soul,19961026,22,1,42,19961228
2,2,I Believe I Can Fly,R. Kelly,R. Kelly,rnb / soul,19961214,26,2,34,19961228
3,4,Don't let Go (Love),En Vogue,En Vogue,rnb / soul,19961109,25,2,35,19961228
4,3,No Diggity,Blackstreet,Blackstreet,rnb / soul,19961012,48,1,31,19961228
5,5,Nobody,Keith Sweat Featuring Athena Cage,Keith Sweat,rnb / soul,19961005,37,3,35,19961228
6,6,Mouth,Merril Bainbridge,Merril Bainbridge,pop,19960907,67,4,30,19961228
7,NEW,I Believe In You And Me,Whitney Houston,Whitney Houston,pop,19961228,7,4,20,19961228
8,7,It's All Coming Back To Me Now,Celine Dion,Celine Dion,pop,19960817,27,2,30,19961228
9,10,I'm Still In Love With You,New Edition,New Edition,rnb / soul,19961109,16,7,20,19961228
10,8,I Finally Found Someone,Barbra Streisand & Bryan Adams,Barbra Streisand & Bryan Adams,pop,19961123,28,8,20,19961228
11,9,Pony,Ginuwine,Ginuwine,rnb / soul,19960907,73,6,27,19961228
12,11,Macarena (Bayside Boys Mix),Los Del Rio,Los Del Rio,electronic,19960511,47,1,40,19961228
13,12,Where Do You Go,No Mercy,No Mercy,electronic,19960706,68,5,39,19961228
14,13,If It Makes You Happy,Sheryl Crow,Sheryl Crow,pop,19960921,44,10,27,19961228
15,14,When You Love A Woman,Journey,Journey,rock,19961026,17,12,22,19961228
16,16,Last Night,Az Yet,Az Yet,rnb / soul,19960824,64,9,29,19961228
17,17,Fly Like An Eagle,Seal,Seal,rnb / soul,19961221,17,10,20,19961228
18,15,I Love You Always Forever,Donna Lewis,Donna Lewis,pop,19960622,95,2,41,19961228
19,19,What Kind Of Man Would I Be,Mint Condition,Mint Condition,rnb / soul,19960907,89,17,24,19961228
20,22,No Time,Lil' Kim Featuring Puff Daddy,Lil' Kim,hip-hop,19961109,59,18,20,19961228
21,18,This Is For The Lover In You,"Babyface Feat Ll Cool J, Howard Hewett, Jody Watley & Jef",Babyface Feat Ll Cool J,rnb / soul,19961026,8,6,20,19961228
