this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,Brand New Key,Melanie,Melanie,country / folk,folk,19711030,87,1,18,19711225
2,1,Family Affair,Sly And The Family Stone,Sly And The Family Stone,rnb / soul,funk,19711106,50,1,14,19711225
3,9,American Pie (Parts 1 And 2),Don Mclean,Don Mclean,rock,classic rock,19711127,69,1,19,19711225
4,4,An Old Fashioned Love Song,Three Dog Night,Three Dog Night,rock,classic rock,19711113,77,4,11,19711225
5,5,Got To Be There,Michael Jackson,Michael Jackson,pop,pop,19711030,89,4,14,19711225
6,3,Have You Seen Her,The Chi-Lites,The Chi-Lites,rnb / soul,soul,19711023,60,3,14,19711225
7,8,All I Ever Need Is You,Sonny And Cher,Sonny And Cher,pop,60s,19711016,89,7,15,19711225
8,11,Scorpio,Dennis Coffey And The Detroit Guitar Band,Dennis Coffey And The Detroit Guitar Band,pop,60s,19711030,77,6,17,19711225
9,10,Cherish,David Cassidy,David Cassidy,pop,pop,19711106,87,9,12,19711225
10,12,Hey Girl / I Knew You When,Donny Osmond,Donny Osmond,pop,pop,19711127,70,9,10,19711225
11,7,Baby I'm-A Want You,Bread,Bread,rock,soft rock,19711023,77,3,12,19711225
12,13,Respect Yourself,The Staple Singers,The Staple Singers,rnb / soul,soul,19711016,82,12,14,19711225
13,20,Sunshine,Jonathan Edwards,Jonathan Edwards,country / folk,folk,19711113,90,4,16,19711225
14,15,You Are Everything,The Stylistics,The Stylistics,rnb / soul,soul,19711106,76,9,16,19711225
15,16,Where Did Our Love Go,Donnie Elbert,Donnie Elbert,rnb / soul,soul,19711016,100,15,13,19711225
16,6,"Theme From ""Shaft""",Isaac Hayes,Isaac Hayes,rnb / soul,soul,19711016,50,1,13,19711225
17,28,I'd Like To Teach The World To Sing (In Perfect Harmony),The New Seekers,The New Seekers,pop,70s,19711204,61,7,11,19711225
18,18,Superstar (Remember How You Got Where You Are),The Temptations,The Temptations,rnb / soul,soul,19711106,85,18,10,19711225
19,17,"Gypsys, Tramps And Thieves",Cher,Cher,pop,pop,19710918,88,1,16,19711225
20,30,Let's Stay Together,Al Green,Al Green,rnb / soul,soul,19711204,68,1,16,19711225
21,26,I'd Like To Teach The World To Sing (In Perfect Harmony),The Hillside Singers,The Hillside Singers,pop,unknown,19711127,87,13,12,19711225
22,24,One Monkey Don't Stop No Show (Part 1),The Honey Cone,The Honey Cone,rnb / soul,soul,19711120,74,15,11,19711225
23,29,Clean Up Woman,Betty Wright,Betty Wright,rnb / soul,soul,19711127,76,6,14,19711225
24,25,(I Know) I'm Losing You,Rod Stewart With The Faces,Rod Stewart With The Faces,rock,classic rock,19711120,79,24,9,19711225
25,14,Stones / Crunchy Granola Suite,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19711113,76,14,9,19711225
26,39,Day After Day,Badfinger,Badfinger,rock,classic rock,19711204,74,4,14,19711225
27,19,Rock Steady / Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,Aretha Franklin,rnb / soul,soul,19711030,69,9,9,19711225
28,32,Drowning In The Sea Of Love,Joe Simon,Joe Simon,rnb / soul,soul,19711127,80,11,13,19711225
29,21,"Theme From ""Summer Of '42""",Peter Nero,Peter Nero,pop,instrumental,19711016,91,21,13,19711225
30,31,An American Trilogy (Dixie/Battle Hymn Of the Republic/All M,Mickey Newbury,Mickey Newbury,country / folk,country,19711106,84,26,11,19711225
31,45,Sugar Daddy,Jackson 5,Jackson 5,rnb / soul,soul,19711211,72,10,10,19711225
32,38,Hey Big Brother,Rare Earth,Rare Earth,rock,classic rock,19711127,77,19,10,19711225
33,33,Hallelujah,Sweathog,Sweathog,rock,classic rock,19711113,100,33,10,19711225
34,34,Behind Blue Eyes,The Who,The Who,rock,classic rock,19711106,93,34,11,19711225
35,22,Desiderata,Les Crane,Les Crane,pop,spoken word,19711009,87,8,12,19711225
36,27,A Natural Man,Lou Rawls,Lou Rawls,rnb / soul,soul,19710828,86,17,18,19711225
37,40,Kiss An Angel Good Mornin',Charley Pride,Charley Pride,country / folk,country,19711120,88,21,16,19711225
38,46,George Jackson,Bob Dylan,Bob Dylan,country / folk,folk,19711204,93,33,8,19711225
39,42,Can I Get A Witness,Lee Michaels,Lee Michaels,rock,classic rock,19711120,76,39,9,19711225
40,44,"White Lies, Blue Eyes",Bullet,Bullet,rock,heavy metal,19711106,98,28,13,19711225
41,43,Nothing To Hide,Tommy James,Tommy James,rock,classic rock,19711127,78,41,9,19711225
42,35,I'm A Greedy Man (Part 1),James Brown,James Brown,rnb / soul,funk,19711113,61,35,8,19711225
43,51,Anticipation,Carly Simon,Carly Simon,pop,female vocalists,19711211,61,13,13,19711225
44,57,It's One Of Those Nights (Yes Love),The Partridge Family,The Partridge Family,pop,pop,19711218,57,20,8,19711225
45,67,Once You Understand,Think Featuring Lou Stallman,Think,pop,psychedelic,19711204,86,23,10,19711225
46,56,Me And Bobby McGee / Would You Take Another Chance On Me,Jerry Lee Lewis,Jerry Lee Lewis,rock,rockabilly,19711127,81,40,10,19711225
47,47,Friends With You,John Denver,John Denver,country / folk,country,19711106,90,47,11,19711225
48,83,Make Me The Woman That You Go Home To,Gladys Knight And The Pips,Gladys Knight And The Pips,rnb / soul,soul,19711218,83,27,10,19711225
49,49,Let It Be,Joan Baez,Joan Baez,country / folk,folk,19711113,99,49,8,19711225
50,48,Your Move,Yes,Yes,rock,progressive rock,19710925,99,40,14,19711225
51,54,The Witch Queen Of New Orleans,Redbone,Redbone,rock,classic rock,19711120,99,21,17,19711225
52,52,Satisfaction,Smokey Robinson And The Miracles,Smokey Robinson And The Miracles,rnb / soul,soul,19711120,84,49,9,19711225
53,55,Sour Suite,The Guess Who,The Guess Who,rock,classic rock,19711127,94,50,9,19711225
54,59,My Boy,Richard Harris,Richard Harris,pop,pop,19711120,90,41,11,19711225
55,58,Ain't Nobody Home,B.B. King,B.B. King,rock,blues,19711113,87,46,12,19711225
56,60,Looking For A Love,The J. Geils Band,The J. Geils Band,rock,classic rock,19711204,87,39,10,19711225
57,80,Levon,Elton John,Elton John,pop,pop,19711218,80,24,10,19711225
58,64,Those Were The Days,Carroll O'Connor & Jean Stapleton,Carroll Oconnor,pop,unknown,19711211,73,43,9,19711225
59,62,Carolyn,Merle Haggard And The Strangers,Merle Haggard And The Strangers,country / folk,country,19711204,88,58,7,19711225
60,71,That's The Way I Feel About Cha,Bobby Womack And Peace,Bobby Womack And Peace,rnb / soul,soul,19711211,91,27,13,19711225
61,63,Pretty As You Feel,Jefferson Airplane,Jefferson Airplane,rock,psychedelic rock,19711120,100,60,10,19711225
62,68,Devil You,The Stampeders,The Stampeders,rock,classic rock,19711204,98,61,7,19711225
63,65,Turn Your Radio On,Ray Stevens,Ray Stevens,country / folk,country,19711120,91,63,7,19711225
64,70,Truckin',The Grateful Dead,The Grateful Dead,rock,classic rock,19711127,91,64,8,19711225
65,73,Everybody Knows About My Good Thing (Part 1),Little Johnny Taylor,Little Johnny Taylor,rock,blues,19711211,86,60,8,19711225
66,81,Daisy Mae,"Hamilton, Joe Frank And Reynolds","Hamilton, Joe Frank And Reynolds",pop,70s,19711204,100,41,11,19711225
67,NEW,Immigrant Song,Led Zeppelin,Led Zeppelin,rock,classic rock,19711225,67,15,12,19711225
68,75,No Sad Song,Helen Reddy,Helen Reddy,pop,female vocalists,19711204,90,62,8,19711225
69,72,Take It Slow (Out In The Country),Lighthouse,Lighthouse,pop,hardcore,19711211,89,64,7,19711225
70,69,Get Down,Curtis Mayfield,Curtis Mayfield,rnb / soul,soul,19711113,98,69,7,19711225
71,76,Tightrope Ride,The Doors,The Doors,rock,classic rock,19711127,100,71,7,19711225
72,82,After All This Time,Merry Clayton,Merry Clayton,rnb / soul,soul,19711211,84,71,7,19711225
73,77,Lay Lady Lay,The Isley Brothers,The Isley Brothers,rnb / soul,soul,19711204,82,71,5,19711225
74,74,Superstar / Bless The Beasts And Children,The Carpenters,The Carpenters,pop,pop,19710904,49,2,21,19711225
75,79,Way Back Home,Jr. Walker And The All Stars,Jr. Walker And The All Stars,rnb / soul,soul,19711211,85,52,9,19711225
76,99,Without You,Nilsson,Nilsson,country / folk,singer-songwriter,19711218,99,1,19,19711225
77,98,Don't Say You Don't Remember,Beverly Bremers,Beverly Bremers,pop,ballad,19711218,98,15,16,19711225
78,85,Love Potion Number Nine,The Coasters,The Coasters,pop,oldies,19711211,88,76,6,19711225
79,NEW,Fire And Water,Wilson Pickett,Wilson Pickett,rnb / soul,soul,19711225,79,24,11,19711225
80,89,The Harder I Try (The Bluer I Get),The Free Movement,The Free Movement,rnb / soul,soul,19711211,100,50,10,19711225
81,NEW,Never Been To Spain,Three Dog Night,Three Dog Night,rock,classic rock,19711225,81,5,12,19711225
82,93,Show Me How,The Emotions,The Emotions,rnb / soul,soul,19711218,93,52,11,19711225
83,88,So Many People,Chase,Chase,rock,rock,19711218,88,81,5,19711225
84,90,No Good To Cry,The Poppy Family Featuring Susan Jacks,The Poppy Family,pop,canadian,19711211,96,84,4,19711225
85,87,You Make Your Own Heaven And Hell Right Here On Earth,The Undisputed Truth,The Undisputed Truth,rnb / soul,soul,19711218,87,72,6,19711225
86,86,Get Up And Get Down,The Dramatics,The Dramatics,rnb / soul,soul,19711211,92,78,7,19711225
87,NEW,What Am I Living For,Ray Charles,Ray Charles,jazz,jazz,19711225,87,54,7,19711225
88,NEW,Under My Wheels,Alice Cooper,Alice Cooper,rock,hard rock,19711225,88,59,8,19711225
89,94,Keep On Keeping On,N.F. Porter,N.F. Porter,pop,northern soul,19711218,94,77,6,19711225
90,92,Five Hundred Miles,Heaven Bound With Tony Scotti,Heaven Bound With Tony Scotti,pop,sunshine pop,19711211,94,79,9,19711225
91,91,She's All I Got,Johnny Paycheck,Johnny Paycheck,country / folk,country,19711218,91,91,2,19711225
92,NEW,Son Of Shaft,The Bar-Kays,The Bar-Kays,rnb / soul,funk,19711225,92,53,10,19711225
93,95,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,Jerry Butler,rnb / soul,soul,19711211,97,21,18,19711225
94,97,Long Time To Be Alone,The New Colony Six,The New Colony Six,pop,60s,19711211,99,93,4,19711225
95,96,Open The Door (Song For Judith),Judy Collins,Judy Collins,country / folk,folk,19711218,96,90,7,19711225
96,NEW,Love Gonna Pack Up (And Walk Out),The Persuaders,The Persuaders,rnb / soul,soul,19711225,96,64,10,19711225
97,NEW,Do The Funky Penguin (Part 1),Rufus Thomas,Rufus Thomas,rnb / soul,soul,19711225,97,44,10,19711225
98,100,Keep Playin' That Rock'n'Roll,Edgar Winter'S White Trash,Edgar Winter'S White Trash,rock,blues,19711218,100,70,11,19711225
99,NEW,Pain (Part 1),The Ohio Players,The Ohio Players,rnb / soul,funk,19711225,99,64,8,19711225
100,NEW,"Medley From ""Superstar"" (A Rock Opera)",The Assembled Multitude,The Assembled Multitude,pop,soundtracks,19711225,100,100,1,19711225
1,1,Family Affair,Sly And The Family Stone,Sly And The Family Stone,rnb / soul,funk,19711106,50,1,14,19711218
2,9,Brand New Key,Melanie,Melanie,country / folk,folk,19711030,87,1,18,19711218
3,3,Have You Seen Her,The Chi-Lites,The Chi-Lites,rnb / soul,soul,19711023,60,3,14,19711218
4,5,An Old Fashioned Love Song,Three Dog Night,Three Dog Night,rock,classic rock,19711113,77,4,11,19711218
5,4,Got To Be There,Michael Jackson,Michael Jackson,pop,pop,19711030,89,4,14,19711218
6,2,"Theme From ""Shaft""",Isaac Hayes,Isaac Hayes,rnb / soul,soul,19711016,50,1,13,19711218
7,6,Baby I'm-A Want You,Bread,Bread,rock,soft rock,19711023,77,3,12,19711218
8,8,All I Ever Need Is You,Sonny And Cher,Sonny And Cher,pop,60s,19711016,89,7,15,19711218
9,25,American Pie (Parts 1 And 2),Don Mclean,Don Mclean,rock,classic rock,19711127,69,1,19,19711218
10,11,Cherish,David Cassidy,David Cassidy,pop,pop,19711106,87,9,12,19711218
11,14,Scorpio,Dennis Coffey And The Detroit Guitar Band,Dennis Coffey And The Detroit Guitar Band,pop,60s,19711030,77,6,17,19711218
12,19,Hey Girl / I Knew You When,Donny Osmond,Donny Osmond,pop,pop,19711127,70,9,10,19711218
