this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Escape,Rupert Holmes,Rupert Holmes,pop,19791020,85,1,21,19791229
2,2,Please Don't Go,K.C. & The Sunshine Band,K.C. & The Sunshine Band,disco,19790825,86,1,26,19791229
3,3,Babe,Styx,Styx,rock,19791006,72,1,19,19791229
4,4,Send One Your Love,Stevie Wonder,Stevie Wonder,rnb / soul,19791103,51,4,18,19791229
5,5,Still,Commodores,Commodores,rnb / soul,19790929,68,1,20,19791229
6,6,Do That To Me One More Time,Captain & Tennille,Captain & Tennille,pop,19791020,86,1,27,19791229
7,7,You're The Only Love,J.D. Souther,J.D. Souther,country / folk,19790908,86,7,21,19791229
8,8,No More Tears (Enough Is Enough),Donna Summer & Barbra Streisand,Donna Summer & Barbra Streisand,pop,19791020,59,1,15,19791229
9,9,Ladies Night,Kool And The Gang,Kool And The Gang,rnb / soul,19791006,93,8,24,19791229
10,10,Take The Long Way Home,Supertramp,Supertramp,rock,19791013,70,10,15,19791229
11,11,Rock With You,Michael Jackson,Michael Jackson,pop,19791103,76,1,24,19791229
12,12,Cool Change,Little River Band,Little River Band,rock,19791020,73,10,18,19791229
13,13,We Don't Talk Anymore,Cliff Richard,Cliff Richard,pop,19791020,79,7,20,19791229
14,14,Head Games,Foreigner,Foreigner,rock,19791110,63,14,14,19791229
15,15,Cruisin',Smokey Robinson,Smokey Robinson,rnb / soul,19791006,89,4,25,19791229
16,16,Better Love Next Time,Dr. Hook,Dr. Hook,rock,19791013,68,12,19,19791229
17,17,The Long Run,Eagles,Eagles,rock,19791208,33,8,15,19791229
18,18,Jane,Jefferson Starship,Jefferson Starship,rock,19791103,64,14,15,19791229
19,19,I Want You Tonight,Pablo Cruise,Pablo Cruise,rock,19791013,74,19,16,19791229
20,20,Heartache Tonight,Eagles,Eagles,rock,19791006,52,1,15,19791229
21,21,This Is It,Kenny Loggins,Kenny Loggins,pop,19791020,82,11,23,19791229
22,22,Coward Of The County,Kenny Rogers,Kenny Rogers,country / folk,19791117,63,3,19,19791229
23,23,I Wanna Be Your Lover,Prince,Prince,rnb / soul,19791124,85,11,16,19791229
24,24,Half The Way,Crystal Gayle,Crystal Gayle,country / folk,19790929,80,15,16,19791229
25,25,Don't Do Me Like That,Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers,rock,19791117,71,10,18,19791229
26,26,Wait For Me,Daryl Hall & John Oates,Daryl Hall & John Oates,pop,19791027,87,18,19,19791229
27,27,Damned If I Do,Alan Parsons Project,Alan Parsons Project,rock,19790929,87,27,17,19791229
28,28,Don't Let Go,Isaac Hayes,Isaac Hayes,rnb / soul,19791027,81,18,21,19791229
29,29,Ships,Barry Manilow,Barry Manilow,pop,19791013,57,9,14,19791229
30,30,Third Time Lucky,Foghat,Foghat,rock,19791117,73,23,15,19791229
31,31,Chiquitita,Abba,Abba,pop,19791110,70,29,12,19791229
32,32,Pop Muzik,M,M,pop,19790811,61,1,24,19791229
33,33,I Need A Lover,John Cougar,John Cougar,rock,19791013,73,28,14,19791229
34,34,Deja Vu,Dionne Warwick,Dionne Warwick,rnb / soul,19791110,83,15,19,19791229
35,35,Sara,Fleetwood Mac,Fleetwood Mac,rock,19791215,45,7,14,19791229
36,36,Yes I'm Ready,Teri De Sario & Kc,Teri De Sario,disco,19791117,90,2,23,19791229
37,37,Broken Hearted Me,Anne Murray,Anne Murray,country / folk,19790922,76,12,17,19791229
38,38,Train Train,Blackfoot,Blackfoot,rock,19791020,89,38,14,19791229
39,39,I Still Have Dreams,Richie Furay,Richie Furay,pop,19791027,85,39,11,19791229
40,40,Rotation,Herb Alpert,Herb Alpert,jazz,19791117,82,30,13,19791229
41,41,Love Pains,Yvonne Elliman,Yvonne Elliman,disco,19791013,87,34,13,19791229
42,42,Forever Mine,O'Jays,O'Jays,rnb / soul,19791124,82,28,13,19791229
43,43,Rapper's Delight,Sugarhill Gang,Sugarhill Gang,hip-hop,19791110,84,36,12,19791229
44,44,I'd Rather Leave While I'm Alone,Rita Coolidge,Rita Coolidge,pop,19791117,83,38,10,19791229
45,45,Savannah Nights,Tom Johnson,Tom Johnson,pop,19791117,86,34,12,19791229
46,46,Video Killed The Radio Star,Buggles,Buggles,rock,19791110,86,40,10,19791229
47,47,Rainbow Connection,Muppets,Muppets,pop,19790915,88,25,17,19791229
48,48,Romeo's Tune,Steve Forbert,Steve Forbert,country / folk,19791124,109,11,20,19791229
49,49,Mistrusted Love,Mistress,Mistress,pop,19791110,89,49,9,19791229
50,50,Dim All The Lights,Donna Summer,Donna Summer,disco,19790825,70,2,21,19791229
51,51,She's In Love With You,Suzi Quatro,Suzi Quatro,rock,19791124,83,41,11,19791229
52,52,Tusk,Fleetwood Mac,Fleetwood Mac,rock,19791006,64,8,15,19791229
53,53,You Know That I Love You,Santana,Santana,rock,19791124,90,35,13,19791229
54,54,Do You Love What You Feel,Rufus & Chaka Khan,Rufus & Chaka Khan,rnb / soul,19791110,102,30,17,19791229
55,55,Lonely Eyes,Robert John,Robert John,rock,19791201,105,41,12,19791229
56,56,Voices,Cheap Trick,Cheap Trick,rock,19791208,73,32,11,19791229
57,57,Since You've Been Gone,Rainbow,Rainbow,rock,19791117,87,57,8,19791229
58,58,Crazy Little Thing Called Love,Queen,Queen,rock,19791222,58,1,22,19791229
59,59,Lost Her In The Sun,John Stewart,John Stewart,country / folk,19791208,82,34,13,19791229
60,60,Money,Flying Lizards,Flying Lizards,rock,19791201,90,50,10,19791229
61,61,Move Your Boogie Body,Bar-Kays,Bar-Kays,rnb / soul,19791201,108,57,8,19791229
62,62,Dig The Gold,Joyce Cobb,Joyce Cobb,jazz,19791124,98,42,12,19791229
63,63,Last Train To London,Electric Light Orchestra,Electric Light Orchestra,rock,19791208,83,39,11,19791229
64,64,Fool In The Rain,Led Zeppelin,Led Zeppelin,rock,19791222,64,21,13,19791229
65,65,Why Me,Styx,Styx,rock,19791215,75,26,13,19791229
66,66,September Morn,Neil Diamond,Neil Diamond,country / folk,19791222,66,17,16,19791229
67,67,Daydream Believer,Anne Murray,Anne Murray,country / folk,19791222,67,12,17,19791229
68,68,Wonderland,Commodores,Commodores,rnb / soul,19791215,78,25,15,19791229
69,69,Dirty Water,Inmates,Inmates,pop,19791208,89,51,10,19791229
70,70,An American Dream,Dirt Band,Dirt Band,country / folk,19791208,90,13,19,19791229
71,71,Looks Like Love Again,Dann Rogers,Dann Rogers,pop,19791215,81,41,11,19791229
72,72,Working My Way Back To You,Spinners,Spinners,rnb / soul,19791215,82,2,25,19791229
73,73,Glide,Pleasure,Pleasure,rnb / soul,19791110,103,55,14,19791229
74,74,Message In A Bottle,Police,Police,rock,19791124,86,74,7,19791229
75,75,You're Gonna Get What's Coming,Bonnie Raitt,Bonnie Raitt,rock,19791208,94,73,6,19791229
76,76,Heartbreaker,Pat Benatar,Pat Benatar,pop,19791215,103,23,19,19791229
77,77,Longer,Dan Fogelberg,Dan Fogelberg,country / folk,19791215,87,2,22,19791229
78,78,When I Wanted You,Barry Manilow,Barry Manilow,pop,19791215,88,20,16,19791229
79,79,Stargazer,Peter Brown,Peter Brown,rnb / soul,19791215,89,59,8,19791229
80,80,Memorize Your Number,Leif Garrett,Leif Garrett,pop,19791215,90,60,9,19791229
81,81,Star,"Earth, Wind And Fire","Earth, Wind And Fire",rnb / soul,19791222,81,64,6,19791229
82,82,Can We Still Be Friends,Robert Palmer,Robert Palmer,pop,19791222,82,52,9,19791229
83,83,Second Time Around,Shalamar,Shalamar,disco,19791208,96,8,23,19791229
84,84,I Don't Want To Talk About It,Rod Stewart,Rod Stewart,rock,19791222,84,46,11,19791229
85,85,99,Toto,Toto,rock,19791222,85,26,17,19791229
86,86,I Can't Help Myself,Bonnie Pointer,Bonnie Pointer,disco,19791222,86,40,13,19791229
87,87,Don't Make Me Over,Jennifer Warnes,Jennifer Warnes,pop,19791222,87,67,7,19791229
88,88,Shooting Star,Dollar,Dollar,pop,19791222,88,74,6,19791229
