this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,I Heard It Through The Grapevine,Marvin Gaye,Marvin Gaye,rnb / soul,soul,19681116,108,1,16,19681228
2,3,For Once In My Life,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19681102,79,2,14,19681228
3,2,Love Child,Diana Ross And The Supremes,Diana Ross And The Supremes,rnb / soul,soul,19681019,43,1,16,19681228
4,5,Wichita Lineman,Glen Campbell,Glen Campbell,country / folk,country,19681102,75,3,15,19681228
5,6,Stormy,The Classics Iv Featuring Dennis Yost,The Classics Iv,rock,classic rock,19681012,127,5,17,19681228
6,4,"Abraham, Martin And John",Dion,Dion,pop,oldies,19681019,109,4,15,19681228
7,17,I'm Gonna Make You Love Me,Diana Ross And The Supremes & The Temptations,Diana Ross And The Supremes & The Temptations,rnb / soul,soul,19681207,57,2,13,19681228
8,7,Who's Making Love,Johnnie Taylor,Johnnie Taylor,rnb / soul,soul,19681026,45,5,14,19681228
9,9,I Love How You Love Me,Bobby Vinton,Bobby Vinton,pop,oldies,19681026,102,9,15,19681228
10,12,Cloud Nine,The Temptations,The Temptations,rnb / soul,soul,19681116,45,6,12,19681228
11,8,Both Sides Now,Judy Collins,Judy Collins,country / folk,folk,19681102,120,8,12,19681228
12,13,Cinnammon,Derek,Derek,rock,rock,19680921,135,11,20,19681228
13,22,Hooked On A Feeling,B.J. Thomas,B.J. Thomas,pop,pop,19681019,123,5,20,19681228
14,14,See Saw,Aretha Franklin,Aretha Franklin,rnb / soul,soul,19681116,107,14,9,19681228
15,11,Hey Jude,The Beatles,The Beatles,rock,classic rock,19680914,10,1,19,19681228
16,20,Soulful Strut,Young-Holt Unlimited,Young-Holt Unlimited,jazz,jazz,19681130,65,3,13,19681228
17,18,Bring It On Home To Me,Eddie Floyd,Eddie Floyd,rnb / soul,soul,19681019,79,17,13,19681228
18,10,Magic Carpet Ride,Steppenwolf,Steppenwolf,rock,classic rock,19681005,86,3,16,19681228
19,15,Chewy Chewy,The Ohio Express,The Ohio Express,pop,60s,19681012,101,15,14,19681228
20,26,Going Up The Country,Canned Heat,Canned Heat,rock,blues,19681130,109,11,12,19681228
21,24,Son-Of-A Preacher Man,Dusty Springfield,Dusty Springfield,rnb / soul,soul,19681123,118,10,13,19681228
22,21,Little Arrows,Leapy Lee,Leapy Lee,pop,60s,19681012,97,16,14,19681228
23,28,Too Weak To Fight,Clarence Carter,Clarence Carter,rnb / soul,soul,19681102,127,13,16,19681228
24,31,Papa's Got A Brand New Bag,Otis Redding,Otis Redding,rnb / soul,soul,19681130,57,21,9,19681228
25,19,Those Were The Days,Mary Hopkin,Mary Hopkin,country / folk,folk,19680921,132,2,15,19681228
26,30,Lo mucho que te quiero (The More I Love You),Rene And Rene,Rene And Rene,pop,unknown,19681116,114,14,13,19681228
27,16,Scarborough Fair,Sergio Mendes And Brasil '66,Sergio Mendes And Brasil '66,pop,bossa nova,19681109,119,16,10,19681228
28,39,Crimson And Clover,Tommy James And The Shondells,Tommy James And The Shondells,pop,60s,19681214,85,1,16,19681228
29,29,"Shame, Shame",The Magic Lanterns,The Magic Lanterns,rock,folk rock,19681019,124,29,13,19681228
30,36,If I Can Dream,Elvis Presley,Elvis Presley,rock,rock n roll,19681123,113,12,14,19681228
31,27,Till,The Vogues,The Vogues,pop,60s,19681123,53,27,6,19681228
32,35,A Ray Of Hope,The Rascals,The Rascals,rock,indie,19681130,106,24,9,19681228
33,34,Battle Hymn Of The Republic,Andy Williams With The St. Charles Borromeo Choir,Andy Williams With The St. Charles Borromeo Choir,pop,unknown,19681012,118,33,14,19681228
34,51,Stand By Your Man,Tammy Wynette,Tammy Wynette,country / folk,country,19681102,118,19,17,19681228
35,23,"Promises, Promises",Dionne Warwick,Dionne Warwick,rnb / soul,soul,19681026,106,19,10,19681228
36,54,My Song,Aretha Franklin,Aretha Franklin,rnb / soul,soul,19681130,77,31,7,19681228
37,37,I Can't Turn You Loose,The Chambers Brothers,The Chambers Brothers,rnb / soul,soul,19681123,61,37,8,19681228
38,43,This Is My Country,The Impressions,The Impressions,rnb / soul,soul,19681130,98,25,10,19681228
39,53,People,The Tymes,The Tymes,rnb / soul,soul,19681109,107,39,9,19681228
40,41,Hang 'Em High,Booker T. And The Mg'S,Booker T. And The Mg'S,rnb / soul,soul,19681109,94,9,18,19681228
41,61,I Started A Joke,The Bee Gees,The Bee Gees,disco,disco,19681214,103,6,12,19681228
42,55,Everyday People,Sly And The Family Stone,Sly And The Family Stone,rnb / soul,funk,19681123,105,1,20,19681228
43,90,Hey Jude,Wilson Pickett,Wilson Pickett,rnb / soul,soul,19681221,90,23,9,19681228
44,46,Put Your Head On My Shoulder,The Lettermen,The Lettermen,pop,oldies,19681102,129,44,10,19681228
45,38,Kentucky Woman,Deep Purple,Deep Purple,rock,hard rock,19681102,108,38,9,19681228
46,49,Bella Linda,The Grass Roots,The Grass Roots,rock,classic rock,19681130,99,28,9,19681228
47,47,My Favorite Things,Herb Alpert And The Tijuana Brass,Herb Alpert And The Tijuana Brass,jazz,jazz,19681207,120,45,7,19681228
48,50,Baby Let's Wait,The Royal Guardsmen,The Royal Guardsmen,rock,classic rock,19681109,111,35,14,19681228
49,75,There's Gonna Be A Showdown,Archie Bell And The Drells,Archie Bell And The Drells,rnb / soul,soul,19681214,87,21,11,19681228
50,60,Ready Or Not Here I Come (Can't Hide From Love),The Delfonics,The Delfonics,rnb / soul,soul,19681207,94,35,9,19681228
51,57,Malinda,Bobby Taylor And The Vancouvers,Bobby Taylor And The Vancouvers,rnb / soul,soul,19681109,105,48,11,19681228
52,44,Not Enough Indians,Dean Martin,Dean Martin,jazz,jazz,19681026,128,43,10,19681228
53,98,Worst That Could Happen,Brooklyn Bridge,Brooklyn Bridge,pop,oldies,19681214,102,3,13,19681228
54,48,Ballad Of Two Brothers,Autry Inman,Autry Inman,rock,rockabilly,19681116,93,48,7,19681228
55,56,The Girl Most Likely,Jeannie C. Riley,Jeannie C. Riley,country / folk,country,19681130,118,55,7,19681228
56,52,Crosstown Traffic,The Jimi Hendrix Experience,The Jimi Hendrix Experience,rock,classic rock,19681130,73,52,8,19681228
