this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,One Sweet Day,Mariah Carey & Boyz Ii Men,Mariah Carey & Boyz Ii Men,pop,pop,19951202,1,1,27,19951230
2,2,Exhale (Shoop Shoop),Whitney Houston,Whitney Houston,pop,pop,19951125,1,1,21,19951230
3,3,Hey Lover,Ll Cool J,Ll Cool J,hip-hop,hip-hop,19951118,30,3,21,19951230
4,4,Gangsta's Paradise,Coolio Featuring L.V.,Coolio,hip-hop,rap,19950819,28,1,38,19951230
5,6,Diggin' On You,Tlc,Tlc,rnb / soul,rnb,19951118,12,5,20,19951230
6,5,Fantasy,Mariah Carey,Mariah Carey,pop,pop,19950930,1,1,25,19951230
7,12,Before You Walk Out Of My Life / Like This And Like That,Monica,Monica,rnb / soul,rnb,19951021,51,7,28,19951230
8,10,Breakfast At Tiffany's,Deep Blue Something,Deep Blue Something,rock,rock,19950819,90,5,36,19951230
9,8,Name,Goo Goo Dolls,Goo Goo Dolls,rock,rock,19951014,22,5,36,19951230
10,NEW,Free As A Bird,The Beatles,The Beatles,rock,classic rock,19951230,10,6,11,19951230
11,9,You'll See,Madonna,Madonna,pop,pop,19951209,8,6,20,19951230
12,14,Missing,Everything But The Girl,Everything But The Girl,electronic,electronic,19950812,94,2,55,19951230
13,7,I Got Id / Long Road,Pearl Jam,Pearl Jam,rock,grunge,19951223,7,7,20,19951230
14,11,Runaway,Janet Jackson,Janet Jackson,pop,pop,19950916,6,3,24,19951230
15,16,One Of us,Joan Osborne,Joan Osborne,pop,female vocalists,19951209,26,4,22,19951230
16,13,You Remind Me Of Something,R. Kelly,R. Kelly,rnb / soul,rnb,19951118,4,4,20,19951230
17,17,Beautiful Life,Ace Of Base,Ace Of Base,pop,pop,19951111,30,15,20,19951230
18,15,Tell Me,Groove Theory,Groove Theory,rnb / soul,soul,19950826,63,5,33,19951230
19,18,Back For Good,Take That,Take That,pop,pop,19950812,63,7,30,19951230
20,19,As I Lay Me Down,Sophie B. Hawkins,Sophie B. Hawkins,pop,female vocalists,19950603,96,6,44,19951230
21,32,Tonite's Tha Night,Kris Kross,Kris Kross,hip-hop,hip-hop,19951209,44,12,20,19951230
22,29,Soon As I Get Home,Faith Evans,Faith Evans,rnb / soul,rnb,19951209,40,21,20,19951230
23,20,Only Wanna Be With You,Hootie And The Blowfish,Hootie And The Blowfish,rock,rock,19950805,30,6,32,19951230
24,26,Anything,3T,3T,pop,pop,19951007,73,15,33,19951230
25,22,Kiss From A Rose,Seal,Seal,rnb / soul,soul,19950624,87,1,36,19951230
26,28,Bullet With Butterfly Wings,The Smashing Pumpkins,The Smashing Pumpkins,rock,alternative rock,19951111,28,22,20,19951230
27,27,Time,Hootie And The Blowfish,Hootie And The Blowfish,rock,rock,19951111,62,14,26,19951230
28,23,Who Can I Run To,Xscape,Xscape,rnb / soul,rnb,19951014,27,8,20,19951230
29,21,Carnival,Natalie Merchant,Natalie Merchant,pop,female vocalists,19950805,51,10,31,19951230
30,31,Dreaming Of You,Selena,Selena,pop,latin,19951028,38,22,20,19951230
31,24,Roll To Me,Del Amitri,Del Amitri,rock,rock,19950708,90,10,36,19951230
32,33,Be My Lover,La Bouche,La Bouche,electronic,eurodance,19951111,85,6,38,19951230
