this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Physical,Olivia Newton-John,Olivia Newton-John,pop,pop,19811003,66,1,26,19811226
2,2,Waiting For A Girl Like You,Foreigner,Foreigner,rock,classic rock,19811010,42,2,23,19811226
3,3,Let's Groove,"Earth, Wind And Fire","Earth, Wind And Fire",rnb / soul,funk,19811003,83,3,24,19811226
4,6,I Can't Go For That (No Can Do),Daryl Hall & John Oates,Daryl Hall & John Oates,pop,80s,19811114,59,1,21,19811226
5,5,Young Turks,Rod Stewart,Rod Stewart,rock,classic rock,19811017,61,5,19,19811226
6,8,Harden My Heart,Quarterflash,Quarterflash,pop,80s,19811017,80,3,24,19811226
7,7,Why Do Fools Fall In Love,Diana Ross,Diana Ross,rnb / soul,soul,19811017,56,7,20,19811226
8,10,Leather And Lace,Stevie Nicks With Don Henley,Stevie Nicks With Don Henley,pop,female vocalists,19811024,73,6,19,19811226
9,9,Don't Stop Believin',Journey,Journey,rock,classic rock,19811031,56,9,16,19811226
10,11,Trouble,Lindsey Buckingham,Lindsey Buckingham,country / folk,singer-songwriter,19811024,74,9,19,19811226
11,23,Centerfold,The J. Geils Band,The J. Geils Band,rock,classic rock,19811107,70,1,25,19811226
12,13,Yesterday's Songs,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19811107,51,11,15,19811226
13,14,Comin' In And Out Of Your Life,Barbra Streisand,Barbra Streisand,pop,female vocalists,19811114,62,11,16,19811226
14,15,Turn Your Love Around,George Benson,George Benson,jazz,jazz,19811024,86,5,22,19811226
15,16,The Sweetest Thing (I've Ever Known),Juice Newton,Juice Newton,country / folk,country,19811017,79,7,24,19811226
16,21,Hooked On Classics (Medley),Louis Clark Conducting The Royal Philharmonic Orchestra,Louis Clark Conducting The Royal Philharmonic Orchestra,pop,classical,19811024,103,10,21,19811226
17,18,Take My Heart (You Can Have It If You Want It),Kool And The Gang,Kool And The Gang,rnb / soul,funk,19811017,67,17,17,19811226
18,19,Cool Night,Paul Davis,Paul Davis,rock,soft rock,19811107,83,11,19,19811226
19,4,Oh No,The Commodores,The Commodores,rnb / soul,soul,19810926,71,4,20,19811226
20,12,Every Little Thing She Does Is Magic,The Police,The Police,rock,rock,19810926,66,3,19,19811226
21,25,Someone Could Lose A Heart Tonight,Eddie Rabbitt,Eddie Rabbitt,country / folk,country,19811114,76,15,15,19811226
22,17,Here I Am (Just When I Thought I Was Over You),Air Supply,Air Supply,pop,80s,19810926,54,5,20,19811226
23,27,I Wouldn't Have Missed It For The World,Ronnie Milsap,Ronnie Milsap,country / folk,country,19811024,85,20,17,19811226
24,28,Shake It Up,The Cars,The Cars,rock,new wave,19811121,76,4,22,19811226
25,26,Steal The Night,Stevie Woods,Stevie Woods,rnb / soul,soul,19810912,82,25,21,19811226
26,30,Waiting On A Friend,The Rolling Stones,The Rolling Stones,rock,classic rock,19811205,70,13,15,19811226
27,20,Our Lips Are Sealed,The Go-Go'S,The Go-Go'S,rock,new wave,19810808,105,20,33,19811226
28,32,She's Got A Way,Billy Joel,Billy Joel,rock,classic rock,19811121,79,23,14,19811226
29,22,"My Girl (Gone, Gone, Gone)",Chilliwack,Chilliwack,pop,canadian,19810926,81,22,19,19811226
30,34,Come Go With Me,The Beach Boys,The Beach Boys,rock,classic rock,19811121,89,18,15,19811226
31,33,Under Pressure,Queen & David Bowie,Queen & David Bowie,rock,classic rock,19811107,80,29,15,19811226
32,40,You Could Have Been With Me,Sheena Easton,Sheena Easton,pop,pop,19811128,78,15,18,19811226
33,37,Leader Of The Band,Dan Fogelberg,Dan Fogelberg,country / folk,singer-songwriter,19811128,81,9,20,19811226
34,24,Heart Like A Wheel,The Steve Miller Band,The Steve Miller Band,rock,classic rock,19811031,74,24,14,19811226
35,41,Take It Easy On Me,The Little River Band,The Little River Band,rock,classic rock,19811205,82,10,19,19811226
36,38,Castles In The Air (1981 version),Don Mclean,Don Mclean,rock,classic rock,19811031,88,36,14,19811226
37,39,More Than Just The Two Of Us,Sneaker,Sneaker,rock,rock,19811031,89,34,15,19811226
38,29,Private Eyes,Daryl Hall & John Oates,Daryl Hall & John Oates,pop,80s,19810829,68,1,23,19811226
39,31,Start Me Up,The Rolling Stones,The Rolling Stones,rock,classic rock,19810822,61,2,24,19811226
40,49,Love Is Alright Tonite,Rick Springfield,Rick Springfield,pop,80s,19811205,84,20,16,19811226
41,44,Working For The Weekend,Loverboy,Loverboy,pop,80s,19811114,79,29,20,19811226
42,53,Sweet Dreams,Air Supply,Air Supply,pop,80s,19811212,74,5,20,19811226
43,35,The Old Songs,Barry Manilow,Barry Manilow,pop,pop,19811010,57,15,16,19811226
44,48,Love In The First Degree,Alabama,Alabama,country / folk,country,19811114,90,15,21,19811226
45,36,Arthur's Theme (Best That You Can Do),Christopher Cross,Christopher Cross,rock,soft rock,19810815,71,1,24,19811226
46,50,If I Were You,Lulu,Lulu,pop,pop,19811121,85,44,11,19811226
47,51,Key Largo,Bertie Higgins,Bertie Higgins,pop,80s,19811114,86,8,29,19811226
48,52,Let Me Love You Once,Greg Lake,Greg Lake,rock,progressive rock,19811121,83,48,10,19811226
49,42,No Reply At All,Genesis,Genesis,rock,progressive rock,19810926,85,29,18,19811226
50,47,Never Too Much,Luther Vandross,Luther Vandross,rnb / soul,soul,19810919,101,33,18,19811226
51,57,My Kinda Lover,Billy Squier,Billy Squier,rock,classic rock,19811128,82,45,10,19811226
52,43,Wrack My Brain,Ringo Starr,Ringo Starr,rock,classic rock,19811107,79,38,11,19811226
53,46,Tryin' To Life My Life Without You,Bob Seger,Bob Seger,rock,classic rock,19810912,61,5,19,19811226
54,67,All Our Tomorrows,Eddie Schwartz,Eddie Schwartz,pop,canadian,19811212,80,28,15,19811226
55,45,Poor Man's Son,Survivor,Survivor,rock,rock,19811017,78,33,14,19811226
56,63,Breakin' Away,Al Jarreau,Al Jarreau,jazz,jazz,19811205,81,43,10,19811226
57,54,"The Theme From ""Hill Street Blues""",Mike Post,Mike Post,pop,soundtrack,19810822,83,10,22,19811226
58,69,Little Darlin',Sheila,Sheila,pop,french,19811205,89,49,9,19811226
59,65,Falling In Love,Balance,Balance,pop,hardcore,19811121,90,58,11,19811226
60,70,Could It Be Love,Jennifer Warnes,Jennifer Warnes,pop,female vocalists,19811205,88,47,10,19811226
61,71,Sea Of Love,Del Shannon,Del Shannon,pop,60s,19811212,81,33,12,19811226
62,55,Living Eyes,The Bee Gees,The Bee Gees,disco,disco,19811107,84,45,10,19811226
63,76,Somewhere Down The Road,Barry Manilow,Barry Manilow,pop,pop,19811219,76,21,15,19811226
64,64,Anyone Can See,Irene Cara,Irene Cara,pop,80s,19811128,90,64,7,19811226
65,74,WKRP In Cincinnati,Steve Carlisle,Steve Carlisle,pop,unknown,19811121,87,65,10,19811226
66,56,Just Once,Quincy Jones Featuring James Ingram,Quincy Jones,jazz,jazz,19810815,84,17,23,19811226
67,79,Feel Like A Number,Bob Seger And The Silver Bullet Band,Bob Seger And The Silver Bullet Band,rock,classic rock,19811219,79,48,8,19811226
68,78,Keeping Our Love Alive,The Henry Paul Band,The Henry Paul Band,pop,unknown,19811212,88,50,10,19811226
69,58,I've Done Everything For You,Rick Springfield,Rick Springfield,pop,80s,19810822,79,8,22,19811226
70,80,Closer To The Heart (Live Version),Rush,Rush,rock,progressive rock,19811212,90,69,7,19811226
71,NEW,Abacab,Genesis,Genesis,rock,progressive rock,19811226,71,26,14,19811226
72,82,Those Good Old Dreams,The Carpenters,The Carpenters,pop,pop,19811219,82,63,6,19811226
73,83,One Hundred Ways,Quincy Jones Featuring James Ingram,Quincy Jones,jazz,jazz,19811219,83,14,21,19811226
74,59,The Night Owls,The Little River Band,The Little River Band,rock,classic rock,19810822,68,6,21,19811226
75,85,Every Home Should Have One,Patti Austin,Patti Austin,rnb / soul,soul,19811212,93,62,8,19811226
76,77,The Woman In Me,Crystal Gayle,Crystal Gayle,country / folk,country,19811017,108,76,13,19811226
77,87,Love Is Like A Rock,Donnie Iris,Donnie Iris,rock,rock,19811219,87,37,14,19811226
