this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Irreplaceable,Beyonce,Beyonce,rnb / soul,rnb,20061104,87,1,30,20061230
2,2,I Wanna Love You,Akon Featuring Snoop Dogg,Akon,hip-hop,hip-hop,20061014,95,1,29,20061230
3,4,Smack That,Akon Featuring Eminem,Akon,hip-hop,hip-hop,20061007,95,2,30,20061230
4,3,Fergalicious,Fergie Featuring Will.I.Am,Fergie,pop,pop,20061007,79,2,27,20061230
5,5,My Love,Justin Timberlake Featuring T.I.,Justin Timberlake,pop,pop,20060923,89,1,29,20061230
6,6,Say It Right,Nelly Furtado,Nelly Furtado,pop,pop,20061125,93,1,30,20061230
7,8,We Fly High,Jim Jones,Jim Jones,hip-hop,rap,20061021,87,5,27,20061230
8,9,How To Save A Life,The Fray,The Fray,rock,alternative,20060513,85,3,56,20061230
9,10,Shortie Like Mine,Bow Wow Featuring Chris Brown & Johnta Austin,Bow Wow,hip-hop,hip-hop,20061021,80,9,21,20061230
10,11,Lips Of An Angel,Hinder,Hinder,rock,rock,20060729,97,3,33,20061230
11,14,Promise,Ciara,Ciara,rnb / soul,rnb,20061125,45,11,20,20061230
12,7,Wind It Up,Gwen Stefani,Gwen Stefani,pop,pop,20061118,40,6,18,20061230
13,15,Walk It Out,Unk,Unk,hip-hop,hip-hop,20060923,95,10,36,20061230
14,22,I Luv It,Young Jeezy,Young Jeezy,hip-hop,rap,20061202,100,14,15,20061230
15,13,Money Maker,Ludacris Featuring Pharrell,Ludacris,hip-hop,rap,20060826,96,1,25,20061230
16,18,SexyBack,Justin Timberlake,Justin Timberlake,pop,pop,20060722,90,1,36,20061230
17,19,Chasing Cars,Snow Patrol,Snow Patrol,rock,indie,20060603,54,5,45,20061230
18,16,It Ends Tonight,The All-American Rejects,The All-American Rejects,rock,rock,20061014,97,8,23,20061230
19,17,Keep Holding On,Avril Lavigne,Avril Lavigne,pop,pop,20061216,22,17,21,20061230
20,20,Far Away,Nickelback,Nickelback,rock,rock,20060805,72,8,30,20061230
21,21,Hurt,Christina Aguilera,Christina Aguilera,pop,pop,20061014,100,19,20,20061230
22,26,Walk Away (Remember Me),Paula Deanda Featuring The Dey,Paula Deanda,pop,pop,20061021,95,18,22,20061230
23,24,Before He Cheats,Carrie Underwood,Carrie Underwood,country / folk,country,20060916,92,8,64,20061230
24,25,That's That Shit,Snoop Dogg Featuring R. Kelly,Snoop Dogg,hip-hop,hip-hop,20061202,85,20,16,20061230
25,12,You Don't Know,"Eminem, 50 Cent, Lloyd Banks & Cashis","Eminem, 50 Cent, Lloyd Banks & Cashis",hip-hop,rap,20061223,12,12,6,20061230
26,32,You,Lloyd Featuring Lil' Wayne,Lloyd,rnb / soul,rnb,20061125,94,9,24,20061230
27,27,Welcome To The Black Parade,My Chemical Romance,My Chemical Romance,rock,rock,20060930,71,9,26,20061230
28,23,Say Goodbye,Chris Brown,Chris Brown,rnb / soul,rnb,20060826,79,10,23,20061230
29,29,Waiting On The World To Change,John Mayer,John Mayer,country / folk,singer-songwriter,20060729,25,14,40,20061230
30,30,Make It Rain,Fat Joe Featuring Lil' Wayne,Fat Joe,hip-hop,rap,20061118,55,13,24,20061230
31,41,Runaway Love,Ludacris Featuring Mary J. Blige,Ludacris,hip-hop,rap,20061202,91,2,20,20061230
32,28,Money In The Bank,Lil Scrappy Featuring Young Buck,Lil Scrappy,hip-hop,rap,20060930,100,28,20,20061230
33,33,My Wish,Rascal Flatts,Rascal Flatts,country / folk,country,20060923,99,28,20,20061230
34,31,Call Me When You're A Sobber,Evanescence,Evanescence,rock,rock,20060902,25,10,22,20061230
35,34,Too Little Too Late,Jojo,Jojo,pop,pop,20060902,90,3,22,20061230
36,35,She's Everything,Brad Paisley,Brad Paisley,country / folk,country,20061021,96,35,20,20061230
37,39,Wait A Minute,The Pussycat Dolls Featuring Timbaland,The Pussycat Dolls,pop,pop,20061125,77,28,16,20061230
38,64,What Goes Around...,Justin Timberlake,Justin Timberlake,pop,pop,20061223,64,1,25,20061230
39,38,Want To,Sugarland,Sugarland,country / folk,country,20061007,41,32,20,20061230
40,45,Watching You,Rodney Atkins,Rodney Atkins,country / folk,country,20061118,90,36,20,20061230
41,44,Through Glass,Stone Sour,Stone Sour,rock,hard rock,20060819,87,39,26,20061230
42,36,Stuntin' Like My Daddy,Birdman & Lil Wayne,Birdman & Lil Wayne,hip-hop,hip-hop,20060916,95,21,20,20061230
43,40,My Little Girl,Tim Mcgraw,Tim Mcgraw,country / folk,country,20060930,99,35,20,20061230
44,51,It's Not Over,Daughtry,Daughtry,rock,rock,20061209,65,4,29,20061230
45,46,Tim McGraw,Taylor Swift,Taylor Swift,country / folk,country,20060923,86,40,20,20061230
46,50,What Hurts The Most,Rascal Flatts,Rascal Flatts,country / folk,country,20060218,97,6,51,20061230
47,49,Tell Me,Diddy Featuring Christina Aguilera,Diddy,hip-hop,hip-hop,20061104,62,47,20,20061230
48,43,Come To Me,Diddy Featuring Nicole Scherzinger,Diddy,hip-hop,hip-hop,20060916,93,9,20,20061230
49,56,Snow (Hey Oh),Red Hot Chili Peppers,Red Hot Chili Peppers,rock,rock,20061209,92,22,19,20061230
50,NEW,Happy Xmas (War Is Over),The Fray,The Fray,rock,alternative,20061230,50,50,2,20061230
51,48,Unappreciated,Cherish,Cherish,rnb / soul,rnb,20061014,98,41,17,20061230
52,37,Show Me What You Got,Jay-Z,Jay-Z,hip-hop,hip-hop,20061021,90,8,15,20061230
53,53,Show Stopper,Danity Kane,Danity Kane,pop,pop,20060902,17,8,20,20061230
54,63,Break It Off,Rihanna & Sean Paul,Rihanna & Sean Paul,pop,pop,20061209,95,54,5,20061230
55,57,White & Nerdy,Weird Al Yankovic,Weird Al Yankovic,pop,comedy,20061014,28,9,20,20061230
56,76,Hip Hop Is Dead,Nas Featuring Will.I.Am,Nas,hip-hop,hip-hop,20061223,76,41,5,20061230
57,69,Ice Box,Omarion,Omarion,rnb / soul,rnb,20061216,81,12,21,20061230
58,58,It Just Comes Natural,George Strait,George Strait,country / folk,country,20061118,86,58,19,20061230
59,52,When You Were Young,The Killers,The Killers,rock,indie,20060826,29,14,20,20061230
60,66,Lost One,Jay-Z Featuring Chrisette Michele,Jay-Z,hip-hop,hip-hop,20061223,66,58,8,20061230
61,61,Maneater,Nelly Furtado,Nelly Furtado,pop,pop,20060930,62,16,20,20061230
62,87,Here It Goes Again,Ok Go,Ok Go,rock,indie,20060916,87,38,20,20061230
63,75,Here (In Your Arms),Hellogoodbye,Hellogoodbye,rock,indie,20061118,97,14,21,20061230
64,73,Poppin',Chris Brown Featuring Jay Biz,Chris Brown,rnb / soul,rnb,20061216,82,42,20,20061230
65,68,Amarillo Sky,Jason Aldean,Jason Aldean,country / folk,country,20061028,100,59,20,20061230
66,85,Into The Ocean,Blue October,Blue October,rock,alternative rock,20061223,85,53,20,20061230
67,60,Some People Change,Montgomery Gentry,Montgomery Gentry,country / folk,country,20061028,97,57,13,20061230
68,55,You Save Me,Kenny Chesney,Kenny Chesney,country / folk,country,20060916,81,41,20,20061230
69,74,Boston,Augustana,Augustana,rock,alternative,20061021,88,34,24,20061230
70,81,Zoom,Lil' Boosie Featuring Yung Joc,Lil' Boosie,hip-hop,rap,20061216,78,61,12,20061230
71,78,River,Sarah Mclachlan,Sarah Mclachlan,pop,female vocalists,20061223,78,71,3,20061230
72,77,Rockstar,Nickelback,Nickelback,rock,rock,20061014,94,54,19,20061230
73,72,Streetcorner Symphony,Rob Thomas,Rob Thomas,pop,pop,20061028,93,64,18,20061230
74,59,Upgrade U,Beyonce Featuring Jay-Z,Beyonce,rnb / soul,rnb,20061118,92,59,8,20061230
75,71,The Saints Are Coming,U2 & Green Day,U2 & Green Day,rock,rock,20061202,65,51,8,20061230
