this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,3,Time In A Bottle,Jim Croce,Jim Croce,country / folk,19731117,79,1,15,19731229
2,1,The Most Beautiful Girl,Charlie Rich,Charlie Rich,country / folk,19730929,83,1,22,19731229
3,4,Leave Me Alone (Ruby Red Dress),Helen Reddy,Helen Reddy,pop,19731103,90,3,16,19731229
4,6,The Joker,The Steve Miller Band,The Steve Miller Band,rock,19731020,86,1,20,19731229
5,2,Goodbye Yellow Brick Road,Elton John,Elton John,pop,19731027,62,2,17,19731229
6,5,Hello It's Me,Todd Rundgren,Todd Rundgren,rock,19731006,97,5,20,19731229
7,7,Top Of The World,The Carpenters,The Carpenters,pop,19731006,80,1,20,19731229
8,11,Show And Tell,Al Wilson,Al Wilson,rnb / soul,19731020,96,1,22,19731229
9,12,Smokin' In The Boy's Room,Brownsville Station,Brownsville Station,rock,19731027,100,3,19,19731229
10,10,"Never, Never Gonna Give Ya Up",Barry White,Barry White,rnb / soul,19731027,99,7,18,19731229
11,15,Living For The City,Stevie Wonder,Stevie Wonder,rnb / soul,19731110,77,8,17,19731229
12,9,If You're Ready (Come Go With Me),The Staple Singers,The Staple Singers,rnb / soul,19731027,76,9,16,19731229
13,8,Just You'n'Me,Chicago,Chicago,rock,19730929,71,4,19,19731229
14,18,I've Got To Use My Imagination,Gladys Knight And The Pips,Gladys Knight And The Pips,rnb / soul,19731124,74,4,16,19731229
15,14,Rockin' Roll Baby,The Stylistics,The Stylistics,rnb / soul,19731020,80,14,18,19731229
16,20,Helen Wheels,Paul Mccartney And Wings,Paul Mccartney And Wings,rock,19731124,66,10,13,19731229
17,24,Let Me Be There,Olivia Newton-John,Olivia Newton-John,pop,19731117,87,6,19,19731229
18,19,Mind Games,John Lennon,John Lennon,rock,19731110,76,18,13,19731229
19,26,Until You Come Back To Me (That's What I'm Gonna Do),Aretha Franklin,Aretha Franklin,rnb / soul,19731124,98,3,21,19731229
20,22,D'yer Mak'er,Led Zeppelin,Led Zeppelin,rock,19731020,83,20,16,19731229
21,33,Love's Theme,The Love Unlimited Orchestra,The Love Unlimited Orchestra,disco,19731201,89,1,22,19731229
22,17,The Love I Lost (Part 1),Harold Melvin And The Blue Notes,Harold Melvin And The Blue Notes,rnb / soul,19730929,94,7,18,19731229
23,35,The Way We Were,Barbra Streisand,Barbra Streisand,pop,19731124,92,1,23,19731229
24,27,Me And My Baby Brother,War,War,rnb / soul,19731110,86,15,15,19731229
25,31,When I Fall In Love / Are You Lonesome Tonight,Donny Osmond,Donny Osmond,pop,19731124,87,14,13,19731229
26,16,My Music,Loggins And Messina,Loggins And Messina,rock,19731103,85,16,13,19731229
