this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Dominique,The Singing Nun,The Singing Nun,pop,19631102,110,1,14,19631228
2,4,There I've Said It Again,Bobby Vinton,Bobby Vinton,pop,19631130,50,1,13,19631228
3,2,Louie Louie,The Kingsmen,The Kingsmen,rock,19631102,132,2,17,19631228
4,5,Since I Fell For You,Lenny Welch,Lenny Welch,pop,19631026,99,4,16,19631228
5,3,You Don't Have To Be A Baby To Cry,The Caravelles,The Caravelles,pop,19631102,84,3,13,19631228
6,7,Drip Drop,Dion Di Muci,Dion Di Muci,pop,19631116,73,6,11,19631228
7,13,Forget Him,Bobby Rydell,Bobby Rydell,pop,19631102,131,4,17,19631228
8,10,Popsicles And Icicles,The Murmaids,The Murmaids,pop,19631109,117,3,16,19631228
9,11,Talk Back Trembling Lips,Johnny Tillotson,Johnny Tillotson,pop,19631109,91,7,13,19631228
10,6,Be True To Your School,The Beach Boys,The Beach Boys,rock,19631102,83,6,12,19631228
11,24,Midnight Mary,Joey Powers,Joey Powers,pop,19631102,102,10,14,19631228
12,17,Quicksand,Martha And The Vandellas,Martha And The Vandellas,rnb / soul,19631123,75,8,12,19631228
13,22,The Nitty Gritty,Shirley Ellis,Shirley Ellis,rnb / soul,19631109,114,8,15,19631228
14,12,Loddy Lo,Chubby Checker,Chubby Checker,rock,19631102,71,12,13,19631228
15,20,Wives And Lovers,Jack Jones,Jack Jones,jazz,19631026,105,14,15,19631228
16,8,I'm Leaving It Up To You,Dale And Grace,Dale And Grace,pop,19630928,117,1,16,19631228
17,9,Everybody,Tommy Roe,Tommy Roe,pop,19630928,128,3,16,19631228
18,21,The Boy Next Door,The Secrets,The Secrets,pop,19631102,123,18,11,19631228
19,33,Pretty Paper,Roy Orbison,Roy Orbison,rock,19631130,111,15,9,19631228
20,48,As Usual,Brenda Lee,Brenda Lee,pop,19631214,75,12,11,19631228
21,53,Surfin' Bird,The Trashmen,The Trashmen,rock,19631207,97,4,13,19631228
22,26,Can I Get A Witness,Marvin Gaye,Marvin Gaye,rnb / soul,19631012,117,22,17,19631228
23,18,Have You Heard,The Duprees,The Duprees,pop,19631102,112,18,11,19631228
24,31,Drag City,Jan And Dean,Jan And Dean,pop,19631130,107,10,12,19631228
25,25,Kansas City,Trini Lopez,Trini Lopez,pop,19631116,91,23,10,19631228
26,14,Wonderful Summer,Robin Ward,Robin Ward,pop,19631019,102,14,12,19631228
27,23,In My Room,The Beach Boys,The Beach Boys,rock,19631102,86,23,11,19631228
28,15,She's A Fool,Lesley Gore,Lesley Gore,pop,19630928,81,5,15,19631228
29,16,Walking The Dog,Rufus Thomas,Rufus Thomas,rnb / soul,19631005,80,10,14,19631228
30,38,Turn Around,Dick And Deedee,Dick And Deedee,pop,19631116,120,27,10,19631228
