this_week_position,last_week_position,track,artist,clean_artist,clean_genre,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,3,I'm A Believer,The Monkees,The Monkees,pop,60s,19661210,44,1,15,19661231
2,7,Snoopy Vs. The Red Baron,The Royal Guardsmen,The Royal Guardsmen,rock,classic rock,19661210,122,2,13,19661231
3,1,Winchester Cathedral,The New Vaudeville Band,The New Vaudeville Band,pop,60s,19661029,66,1,15,19661231
4,4,That's Life,Frank Sinatra,Frank Sinatra,jazz,jazz,19661119,75,4,11,19661231
5,6,Sugar Town,Nancy Sinatra,Nancy Sinatra,pop,female vocalists,19661112,128,5,14,19661231
6,2,Mellow Yellow,Donovan,Donovan,country / folk,folk,19661112,65,2,12,19661231
7,14,Tell It Like It Is,Aaron Neville,Aaron Neville,rnb / soul,soul,19661119,132,2,16,19661231
8,10,(I Know) I'm Losing You,The Temptations,The Temptations,rnb / soul,soul,19661119,79,8,10,19661231
9,9,A Place In The Sun,Stevie Wonder,Stevie Wonder,rnb / soul,soul,19661112,83,9,11,19661231
10,27,Good Thing,Paul Revere And The Raiders Featuring Mark Lindsey,Paul Revere And The Raiders,pop,60s,19661203,88,4,12,19661231
11,5,Devil With A Blue Dress On & Good Golly Miss Molly (Medley),Mitch Ryder And The Detroit Wheels,Mitch Ryder And The Detroit Wheels,rock,rock,19661008,79,4,16,19661231
12,17,Single Girl,Sandy Posey,Sandy Posey,pop,60s,19661119,96,12,12,19661231
13,8,Good Vibrations,The Beach Boys,The Beach Boys,rock,classic rock,19661022,81,1,14,19661231
14,11,You Keep Me Hangin' On,The Supremes,The Supremes,rnb / soul,soul,19661029,68,1,12,19661231
15,38,Standing In The Shadows Of Love,The Four Tops,The Four Tops,rnb / soul,soul,19661217,62,6,10,19661231
16,21,Talk Talk,The Music Machine,The Music Machine,rock,garage rock,19661029,121,15,14,19661231
17,20,Coming Home Soldier,Bobby Vinton,Bobby Vinton,pop,oldies,19661105,125,11,14,19661231
18,18,Cry,Ronnie Dove,Ronnie Dove,pop,oldies,19661126,100,18,9,19661231
19,24,Words Of Love,The Mamas And The Papas,The Mamas And The Papas,rock,classic rock,19661203,81,5,12,19661231
20,12,Born Free,Roger Williams,Roger Williams,pop,instrumental,19660820,128,7,22,19661231
21,13,Whispers (Gettin' Louder),Jackie Wilson,Jackie Wilson,rnb / soul,soul,19661001,127,11,15,19661231
22,22,I Need Somebody,? And The Mysterians,? And The Mysterians,rock,garage rock,19661112,101,22,11,19661231
23,31,Tell It To The Rain,The Four Seasons,The Four Seasons,pop,oldies,19661210,92,10,10,19661231
24,19,Mame,Herb Alpert And The Tijuana Brass,Herb Alpert And The Tijuana Brass,jazz,jazz,19661119,82,19,8,19661231
25,15,Lady Godiva,Peter And Gordon,Peter And Gordon,pop,60s,19661008,90,6,14,19661231
26,23,Mustang Sally,Wilson Pickett,Wilson Pickett,rnb / soul,soul,19661119,101,23,10,19661231
27,29,East West,Herman'S Hermits,Herman'S Hermits,pop,60s,19661203,83,27,8,19661231
28,33,I've Passed This Way Before,Jimmy Ruffin,Jimmy Ruffin,rnb / soul,soul,19661203,84,17,11,19661231
29,41,Help Me Girl,Eric Burdon And The Animals,Eric Burdon And The Animals,rock,classic rock,19661126,91,29,9,19661231
30,40,Happenings Ten Years Times Ago,The Yardbirds,The Yardbirds,rock,classic rock,19661126,99,30,9,19661231
31,16,I Got The Feeling,Neil Diamond,Neil Diamond,country / folk,singer-songwriter,19661105,107,16,9,19661231
32,48,(I'm Not Your) Steppin' Stone,The Monkees,The Monkees,pop,60s,19661210,120,20,9,19661231
33,45,Nashville Cats,The Lovin' Spoonful,The Lovin' Spoonful,pop,60s,19661210,110,8,11,19661231
34,30,(Come 'Round Here) I'm The One You Need,The Miracles,The Miracles,rnb / soul,soul,19661105,90,17,9,19661231
35,35,Pandora's Golden Heebie Jeebies,The Association,The Association,pop,60s,19661126,77,35,7,19661231
36,46,Try A Little Tenderness,Otis Redding,Otis Redding,rnb / soul,soul,19661203,85,25,10,19661231
37,50,Georgy Girl,The Seekers,The Seekers,country / folk,folk,19661126,131,2,17,19661231
38,69,Color My World,Petula Clark,Petula Clark,pop,60s,19661224,69,16,9,19661231
39,32,It's Only Love,Tommy James And The Shondells,Tommy James And The Shondells,pop,60s,19661105,96,31,9,19661231
40,37,It Tears Me Up,Percy Sledge,Percy Sledge,rnb / soul,soul,19661022,92,20,11,19661231
41,60,(We Ain't Got) Nothin' Yet,The Blues Magoos,The Blues Magoos,rock,garage rock,19661126,120,5,16,19661231
42,55,There's Got To Be A Word,The Innocence,The Innocence,pop,unknown,19661119,131,34,10,19661231
43,65,Gallant Men,Senator Everett Mckinley Dirksen,Senator Everett Mckinley Dirksen,pop,spotify,19661217,101,29,7,19661231
44,54,Blue Autumn,Bobby Goldsboro,Bobby Goldsboro,pop,oldies,19661126,121,35,11,19661231
45,25,I'm Ready For Love,Martha And The Vandellas,Martha And The Vandellas,rnb / soul,soul,19661029,70,9,10,19661231
46,28,A Hazy Shade Of Winter,Simon And Garfunkel,Simon And Garfunkel,country / folk,folk,19661105,81,13,9,19661231
47,57,98.6,Keith,Keith,rock,indie,19661203,125,7,15,19661231
48,51,I (Who Have Nothing),Terry Knight And The Pack,Terry Knight And The Pack,pop,60s,19661022,128,46,13,19661231
49,49,I Fooled You This Time,Gene Chandler,Gene Chandler,rnb / soul,soul,19661119,127,45,9,19661231
50,26,Stop Stop Stop,The Hollies,The Hollies,pop,60s,19661022,115,7,11,19661231
51,61,Where Will The Words Come From,Gary Lewis And The Playboys,Gary Lewis And The Playboys,pop,oldies,19661217,87,21,9,19661231
52,53,The Egg Plant That Ate Chicago,Dr. West'S Medicine Show And Junk Band,Dr. West'S Medicine Show And Junk Band,country / folk,folk,19661105,111,52,10,19661231
53,34,Knock On Wood,Eddie Floyd,Eddie Floyd,rnb / soul,soul,19660910,97,28,17,19661231
54,68,I Had Too Much To Dream (Last Night),The Electric Prunes,The Electric Prunes,rock,psychedelic rock,19661203,124,11,15,19661231
55,58,Bad Misunderstanding,The Critters,The Critters,pop,sunshine pop,19661126,122,55,7,19661231
56,56,Goodnight My Love,The Happenings,The Happenings,pop,oldies,19661203,123,51,7,19661231
57,52,Ghost Riders In The Sky,The Baja Marimba Band,The Baja Marimba Band,pop,downtempo,19661126,82,52,6,19661231
58,82,Stand By Me,Spyder Turner,Spyder Turner,rnb / soul,soul,19661217,99,12,12,19661231
59,70,Papa Was Too,Joe Tex,Joe Tex,rnb / soul,soul,19661210,119,44,8,19661231
60,62,You Can Bring Me All Your Heartaches,Lou Rawls,Lou Rawls,rnb / soul,soul,19661126,88,55,8,19661231
61,78,How Do You Catch A Girl,Sam The Sham And The Pharaohs,Sam The Sham And The Pharaohs,pop,60s,19661224,78,27,8,19661231
62,64,Baby What I Mean,The Drifters,The Drifters,rnb / soul,soul,19661203,98,62,7,19661231
63,63,Karate,The Emperor'S,The Emperor'S,rock,garage rock,19661126,128,55,10,19661231
64,79,Look What You've Done,The Pozo-Seco Singers,The Pozo-Seco Singers,pop,vocal,19661203,132,32,11,19661231
65,43,Help Me Girl,The Outsiders,The Outsiders,rock,garage rock,19661029,90,37,10,19661231
66,66,The Girl That Stood Beside Me,Bobby Darin,Bobby Darin,jazz,jazz,19661203,110,66,6,19661231
67,71,(Open Up The Door) Let The Good Times In,Dean Martin,Dean Martin,jazz,jazz,19661210,116,55,7,19661231
68,81,Wack Wack,The Young Holt Trio,The Young Holt Trio,jazz,jazz,19661210,115,40,9,19661231
69,73,There's Something On Your Mind,Baby Ray,Baby Ray,pop,oakland,19661126,132,69,7,19661231
70,85,Grizzly Bear,The Youngbloods,The Youngbloods,rock,classic rock,19661210,134,52,11,19661231
71,86,Knight In Rusty Armor,Peter And Gordon,Peter And Gordon,pop,60s,19661224,86,15,9,19661231
72,72,Communication Breakdown,Roy Orbison,Roy Orbison,rock,classic rock,19661203,105,60,8,19661231
73,75,Another Night,Dionne Warwick,Dionne Warwick,rnb / soul,soul,19661217,121,49,7,19661231
74,76,"Green, Green Grass Of Home",Tom Jones,Tom Jones,pop,pop,19661217,106,11,13,19661231
75,88,Just One Smile,Gene Pitney,Gene Pitney,pop,60s,19661224,88,64,6,19661231
76,74,Alvin's Boo-Ga-Loo,Alvin Cash And The Registers,Alvin Cash And The Registers,rnb / soul,soul,19661126,81,74,6,19661231
77,77,Dancing In The Street,The Mamas And The Papas,The Mamas And The Papas,rock,classic rock,19661203,134,73,8,19661231
78,80,Day Tripper,Ramsey Lewis,Ramsey Lewis,jazz,jazz,19661224,80,74,5,19661231
79,84,If You Go Away,Damita Jo,Damita Jo,pop,60s,19661119,111,68,13,19661231
80,83,I'm Gonna Miss You,The Artistics,The Artistics,rnb / soul,soul,19661112,127,55,15,19661231
81,96,Wish Me A Rainbow,The Gunter Kallmann Chorus,The Gunter Kallmann Chorus,pop,unknown,19661203,129,63,11,19661231
82,59,Please Don't Ever Leave Me,The Cyrkle,The Cyrkle,pop,60s,19661119,113,59,7,19661231
83,89,Constant Rain (Chove Chuva),Sergio Mendes And Brasil '66,Sergio Mendes And Brasil '66,pop,bossa nova,19661217,129,71,7,19661231
84,87,It's Now Winter's Day,Tommy Roe,Tommy Roe,pop,60s,19661224,87,23,11,19661231
85,95,Pushin' Too Hard,The Seeds,The Seeds,rock,garage rock,19661126,124,36,15,19661231
86,NEW,Music To Watch Girls By,The Bob Crewe Generation,The Bob Crewe Generation,pop,easy listening,19661231,86,15,10,19661231
87,92,"Look At Granny Run, Run",Howard Tate,Howard Tate,rnb / soul,soul,19661224,92,67,8,19661231
88,93,Are You Lonely For Me,Freddie Scott,Freddie Scott,rnb / soul,soul,19661217,119,39,13,19661231
89,NEW,I Dig Girls,J.J. Jackson,J.J. Jackson,rnb / soul,soul,19661231,89,83,6,19661231
90,120,Kind Of A Drag,The Buckinghams,The Buckinghams,pop,60s,19661217,123,1,15,19661231
91,100,Hello Hello,The Sopwith Camel,The Sopwith Camel,rock,psychedelic rock,19661210,135,26,12,19661231
92,126,Let's Fall In Love,Peaches And Herb,Peaches And Herb,disco,disco,19661217,127,21,16,19661231
93,128,Take Me For A Little While,Patti Labelle And The Blue Belles,Patti Labelle And The Blue Belles,rnb / soul,soul,19661224,128,89,4,19661231
94,94,The Shadow Of Your Smile,Boots Randolph,Boots Randolph,jazz,jazz,19661217,125,93,5,19661231
95,127,"Hey, Leroy, Your Mama's Calling You",Jimmy Castor,Jimmy Castor,rnb / soul,funk,19661224,127,31,10,19661231
96,114,Love Me,Bobby Hebb,Bobby Hebb,rnb / soul,soul,19661224,114,84,6,19661231
97,103,You Got Me Hummin',Sam And Dave,Sam And Dave,rnb / soul,soul,19661203,96,77,9,19661231
98,109,Tiny Bubbles,Don Ho And The Aliis,Don Ho And The Aliis,pop,unknown,19661119,126,57,20,19661231
99,122,Fortune Teller,The Hardtimers,The Hardtimers,pop,unknown,19661217,135,97,4,19661231
100,NEW,Gimme Some Lovin',The Spencer Davis Group,The Spencer Davis Group,pop,60s,19661231,100,7,13,19661231
101,130,Full Measure,The Lovin' Spoonful,The Lovin' Spoonful,pop,60s,19661224,130,87,5,19661231
102,NEW,Smashed Blocked,John'S Children,John'S Children,pop,60s,19661231,102,102,4,19661231
103,105,I Wanna Meet You,The Cryan' Shames,The Cryan' Shames,pop,60s,19661119,104,85,8,19661231
104,104,Wedding Bell Blues,Laura Nyro,Laura Nyro,country / folk,singer-songwriter,19661210,128,103,6,19661231
105,99,That's The Tune,The Vogues,The Vogues,pop,60s,19661224,99,99,8,19661231
106,NEW,I've Got To Have A Reason,The Dave Clark Five,The Dave Clark Five,pop,60s,19661231,106,44,8,19661231
107,113,Deadend Street,The Kinks,The Kinks,rock,classic rock,19661224,113,73,6,19661231
108,102,Back In The Same Old Bag Again,Bobby Bland,Bobby Bland,rock,blues,19661203,128,102,5,19661231
109,97,Try Me Love Again,Bobby Moore'S Rhythm Aces Featuring Chico,Bobby Moores Rhythm Aces,pop,unknown,19661217,100,97,3,19661231
110,111,I Got To Go Back (And Watch That Little Girl Dance),The Mccoys,The Mccoys,pop,60s,19661224,111,69,7,19661231
111,115,Peak Of Love,Bobby Mcclure,Bobby Mcclure,rnb / soul,soul,19661119,114,97,8,19661231
112,116,Questions And Answers,The In Crowd,The In Crowd,reggae,reggae,19661112,107,92,8,19661231
113,117,Pretty Ballerina,The Left Banke,The Left Banke,pop,baroque pop,19661224,117,15,12,19661231
114,110,Spanish Nights And You,Connie Francis,Connie Francis,pop,oldies,19661105,99,99,9,19661231
115,98,Any Way That You Want Me,The Liverpool Five,The Liverpool Five,pop,60s,19661217,124,98,3,19661231
116,NEW,Little Black Egg,The Nightcrawlers,The Nightcrawlers,electronic,house,19661231,116,85,7,19661231
