this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,2,Let's Do It Again,Staple Singers,Staple Singers,rnb / soul,19751025,68,1,15,19751227
2,4,Saturday Night,Bay City Rollers,Bay City Rollers,pop,19751011,85,1,17,19751227
3,1,That's The Way (I Like It),K.C. And The Sunshine Band,K.C. And The Sunshine Band,disco,19751025,50,1,16,19751227
4,5,Love Rollercoaster,Ohio Players,Ohio Players,rnb / soul,19751115,51,1,16,19751227
5,6,Do You Know Where You're Going To,Diana Ross,Diana Ross,rnb / soul,19751101,89,1,17,19751227
6,8,I Write The Songs,Barry Manilow,Barry Manilow,pop,19751115,48,1,20,19751227
7,14,Convoy,C.W. Mccall,C.W. Mccall,country / folk,19751206,82,1,16,19751227
8,9,Fox On The Run,Sweet,Sweet,rock,19751115,47,5,16,19751227
9,3,Fly Robin Fly,Silver Convention,Silver Convention,disco,19751011,87,1,17,19751227
10,12,I Love Music,O'Jays,O'Jays,rnb / soul,19751101,70,5,17,19751227
11,11,Our Day Will Come,Frankie Valli,Frankie Valli,pop,19751018,85,11,12,19751227
12,7,Sky High,Jigsaw,Jigsaw,pop,19750830,88,3,21,19751227
13,10,Nights On Broadway,Bee Gees,Bee Gees,disco,19751004,82,7,16,19751227
14,17,Time Of Your Life,Paul Anka,Paul Anka,jazz,19751115,57,7,20,19751227
15,27,Love To Love You Baby,Donna Summer,Donna Summer,disco,19751206,55,2,18,19751227
16,20,Country Boy,Glen Campbell,Glen Campbell,country / folk,19751108,86,11,14,19751227
17,21,Walk Away From Love,David Ruffin,David Ruffin,rnb / soul,19751108,90,9,15,19751227
18,18,The Last Game Of The Season,David Geddes,David Geddes,pop,19751115,44,18,8,19751227
19,26,Sing A Song,"Earth, Wind And Fire","Earth, Wind And Fire",rnb / soul,19751122,73,5,17,19751227
20,24,You Sexy Thing,Hot Chocolate,Hot Chocolate,disco,19751101,86,3,21,19751227
21,25,Rock & Roll All Night,Kiss,Kiss,rock,19751115,56,12,14,19751227
22,23,Part Time Love,Gladys Knight And The Pips,Gladys Knight And The Pips,rnb / soul,19751108,74,22,11,19751227
23,29,Fly Away,John Denver,John Denver,country / folk,19751206,58,13,12,19751227
24,28,Evil Woman,Electric Light Orchestra,Electric Light Orchestra,rock,19751115,87,10,17,19751227
25,22,For The Love Of You,Isley Brothers,Isley Brothers,rnb / soul,19751115,58,22,12,19751227
26,34,Love Machine,Miracles,Miracles,rnb / soul,19751025,90,1,28,19751227
27,32,Over My Head,Fleetwood Mac,Fleetwood Mac,rock,19751108,91,20,14,19751227
28,30,Full Of Fire,Al Green,Al Green,rnb / soul,19751108,89,28,11,19751227
29,13,My Little Town,Simon & Garfunkel,Simon & Garfunkel,country / folk,19751018,81,9,14,19751227
30,35,Winners And Losers,"Hamilton, Joe Frank & Reynolds","Hamilton, Joe Frank & Reynolds",pop,19751108,87,21,15,19751227
31,19,The Way I Want To Touch You,Captain & Tennille,Captain & Tennille,pop,19750927,80,4,17,19751227
32,16,Island Girl,Elton John,Elton John,pop,19751011,49,1,15,19751227
33,37,School Boy Crush,Average White Band,Average White Band,rnb / soul,19751129,81,33,7,19751227
34,59,Breaking Up Is Hard To Do,Neil Sedaka,Neil Sedaka,pop,19751213,79,8,14,19751227
35,38,Baby Face,A Wing And A Prayer Fife And Drum Corps,A Wing And A Prayer Fife And Drum Corps,pop,19751115,86,14,20,19751227
36,40,Wake Up Everybody,Harold Melvin And The Blue Notes,Harold Melvin And The Blue Notes,rnb / soul,19751122,82,12,17,19751227
37,45,Somewhere In The Night,Helen Reddy,Helen Reddy,pop,19751206,85,19,14,19751227
38,39,Fire On The Mountain,Marshall Tucker Band,Marshall Tucker Band,rock,19751018,95,38,13,19751227
39,33,Volare,Al Martino,Al Martino,jazz,19751025,102,33,11,19751227
40,44,Let's Live Together,Road Apples,Road Apples,pop,19751108,107,35,12,19751227
41,46,Love Hurts,Nazareth,Nazareth,rock,19751122,95,8,23,19751227
42,47,Hurricane,Bob Dylan,Bob Dylan,country / folk,19751129,86,33,11,19751227
43,53,Let It Shine,Olivia Newton-John,Olivia Newton-John,pop,19751206,75,30,9,19751227
44,15,I Want A Do Something Freaky To You,Leon Haywood,Leon Haywood,rnb / soul,19750906,90,15,17,19751227
45,50,Squeeze Box,The Who,The Who,rock,19751129,89,16,16,19751227
