this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,Firework,Katy Perry,Katy Perry,pop,20101106,57,1,39,20101225
2,3,What's My Name?,Rihanna Featuring Drake,Rihanna,pop,20101106,83,1,22,20101225
3,5,Grenade,Bruno Mars,Bruno Mars,pop,20101016,81,1,36,20101225
4,2,Raise Your Glass,P!Nk,P!Nk,pop,20101023,51,1,30,20101225
5,8,We R Who We R,Ke$Ha,Ke$Ha,pop,20101113,1,1,20,20101225
6,6,Only Girl (In The World),Rihanna,Rihanna,pop,20100925,75,1,27,20101225
7,7,Just The Way You Are,Bruno Mars,Bruno Mars,pop,20100807,43,1,48,20101225
8,4,The Time (Dirty Bit),The Black Eyed Peas,The Black Eyed Peas,hip-hop,20101127,12,4,20,20101225
9,9,Just A Dream,Nelly,Nelly,hip-hop,20100904,12,3,28,20101225
10,10,Bottoms Up,Trey Songz Featuring Nicki Minaj,Trey Songz,rnb / soul,20100828,22,6,26,20101225
11,14,Black And Yellow,Wiz Khalifa,Wiz Khalifa,hip-hop,20101030,64,1,24,20101225
12,11,Like A G6,Far*East Movement Featuring Cataracs & Dev,Far*East Movement,hip-hop,20100828,92,1,26,20101225
13,12,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,Usher,rnb / soul,20100731,19,4,34,20101225
14,13,Dynamite,Taio Cruz,Taio Cruz,rnb / soul,20100619,26,2,47,20101225
15,20,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & Dj Frank E,Enrique Iglesias,pop,20101211,18,4,25,20101225
16,18,No Hands,Waka Flocka Flame Feauring Roscoe Dash & Wal,Waka Flocka Flame Feauring Roscoe Dash,pop,20100925,45,13,32,20101225
17,19,Please Don't Go,Mike Posner,Mike Posner,rnb / soul,20101009,94,16,20,20101225
18,NEW,That's All She Wrote,T.I. Featuring Eminem,T.I.,hip-hop,20101225,18,18,5,20101225
19,24,Stereo Love,Edward Maya & Vika Jigulina,Edward Maya & Vika Jigulina,electronic,20101023,93,16,28,20101225
20,15,Teenage Dream,Katy Perry,Katy Perry,pop,20100807,20,1,33,20101225
21,16,Animal,Neon Trees,Neon Trees,rock,20100619,100,13,36,20101225
22,33,Yeah 3X,Chris Brown,Chris Brown,rnb / soul,20101113,33,15,24,20101225
23,17,Fuck You!,Cee Lo Green,Cee Lo Green,rnb / soul,20100911,96,2,48,20101225
24,51,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,Diddy - Dirty Money,hip-hop,20101211,61,11,24,20101225
25,28,Secrets,Onerepublic,Onerepublic,rock,20100717,83,21,32,20101225
26,31,Right Thru Me,Nicki Minaj,Nicki Minaj,hip-hop,20101016,74,26,19,20101225
27,27,Whip My Hair,Willow,Willow,rock,20101106,78,11,16,20101225
28,30,If I Die Young,The Band Perry,The Band Perry,country / folk,20100724,92,19,28,20101225
29,32,Right Above It,Lil Wayne Featuring Drake,Lil Wayne,hip-hop,20100904,6,6,24,20101225
30,23,Club Can't Handle Me,Flo Rida Featuring David Guetta,Flo Rida,hip-hop,20100717,65,9,29,20101225
31,26,I Like It,Enrique Iglesias Featuring Pitbull,Enrique Iglesias,pop,20100529,89,4,38,20101225
32,41,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,Pitbull,hip-hop,20101016,51,7,31,20101225
