this_week_position,last_week_position,track,artist,clean_artist,genre,entry_date,entry_position,peak_position,total_weeks,chart_date
1,1,We Found Love,Rihanna Featuring Calvin Harris,Rihanna,pop,20111008,16,1,41,20111231
2,2,Sexy And I Know It,Lmfao,Lmfao,pop,20110917,76,1,42,20111231
3,3,It Will Rain,Bruno Mars,Bruno Mars,pop,20111015,28,3,29,20111231
4,5,Good Feeling,Flo Rida,Flo Rida,hip-hop,20111022,77,3,36,20111231
5,4,The One That Got Away,Katy Perry,Katy Perry,pop,20111029,94,3,24,20111231
6,6,Ni**as In Paris,Jay-Z & Kanye West,Jay-Z & Kanye West,hip-hop,20110827,75,5,36,20111231
7,7,Someone Like You,Adele,Adele,rnb / soul,20110730,97,1,38,20111231
8,9,Without You,David Guetta Featuring Usher,David Guetta,electronic,20110917,39,4,30,20111231
9,8,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,Maroon 5,rock,20110709,8,1,49,20111231
10,10,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,T-Pain,rnb / soul,20111015,62,10,20,20111231
11,11,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,Gym Class Heroes,hip-hop,20110702,85,4,37,20111231
12,14,Dance (A$$),Big Sean,Big Sean,hip-hop,20111022,93,10,24,20111231
13,21,Set Fire To The Rain,Adele,Adele,rnb / soul,20111126,89,1,33,20111231
14,15,Work Out,J. Cole,J. Cole,hip-hop,20110924,98,13,27,20111231
15,13,Party Rock Anthem,Lmfao Featuring Lauren Bennett & Goonrock,Lmfao,pop,20110416,88,1,67,20111231
16,16,Headlines,Drake,Drake,hip-hop,20110827,13,13,25,20111231
17,17,Red Solo Cup,Toby Keith,Toby Keith,country / folk,20111112,37,15,20,20111231
18,22,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,Snoop Dogg & Wiz Khalifa,hip-hop,20111029,10,7,32,20111231
19,18,Pumped Up Kicks,Foster The People,Foster The People,rock,20110514,96,3,40,20111231
20,19,You Make Me Feel...,Cobra Starship Featuring Sabi,Cobra Starship,pop,20110730,76,7,29,20111231
21,20,Mr. Know It All,Kelly Clarkson,Kelly Clarkson,pop,20110924,18,10,23,20111231
22,24,Not Over You,Gavin Degraw,Gavin Degraw,country / folk,20110903,99,18,34,20111231
23,25,I Don't Want To This Night To End,Luke Bryan,Luke Bryan,country / folk,20111015,90,22,23,20111231
24,27,Make Me Proud,Drake Featuring Nicki Minaj,Drake,hip-hop,20111029,97,9,20,20111231
25,23,You Da One,Rihanna,Rihanna,pop,20111126,73,14,20,20111231
26,31,Love You Like A Love Song,Selena Gomez & The Scene,Selena Gomez & The Scene,pop,20110709,72,22,38,20111231
27,26,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",Pitbull,hip-hop,20110416,60,1,45,20111231
28,38,Domino,Jessie J,Jessie J,pop,20111029,96,6,29,20111231
29,30,The Motto,Drake Featuring Lil Wayne,Drake,hip-hop,20111203,18,14,35,20111231
30,46,International Love,Pitbull Featuring Chris Brown,Pitbull,hip-hop,20111126,92,13,25,20111231
31,28,Just A Kiss,Lady Antebellum,Lady Antebellum,country / folk,20110521,7,7,42,20111231
32,34,Mistletoe,Justin Bieber,Justin Bieber,pop,20111126,85,19,8,20111231
33,29,Marry The Night,Lady Gaga,Lady Gaga,pop,20111203,97,29,11,20111231
34,33,Super Bass,Nicki Minaj,Nicki Minaj,hip-hop,20110514,98,3,39,20111231
35,36,She Will,Lil Wayne Featuring Drake,Lil Wayne,hip-hop,20110903,3,3,21,20111231
36,35,Keep Me In Mind,Zac Brown Band,Zac Brown Band,country / folk,20111015,99,35,20,20111231
37,NEW,Sleazy Remix 2.0 Get Sleazie,"Ke$Ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",Ke$Ha,pop,20111231,37,37,1,20111231
38,44,Lotus Flower Bomb,Wale Featuring Miguel,Wale,hip-hop,20111112,87,38,20,20111231
39,42,Paradise,Coldplay,Coldplay,rock,20111001,16,15,29,20111231
40,32,In The Dark,Dev,Dev,pop,20110820,92,11,20,20111231
41,40,Rolling In The Deep,Adele,Adele,rnb / soul,20110129,97,1,64,20111231
42,39,Tattoos On This Town,Jason Aldean,Jason Aldean,country / folk,20111008,81,38,20,20111231
43,43,Easy,Rascal Flatts Featuring Natasha Bedingfield,Rascal Flatts,country / folk,20110813,87,43,23,20111231
44,49,I Like It Like That,Hot Chelle Rae Featuring New Boyz,Hot Chelle Rae,rock,20111022,51,28,20,20111231
45,50,Drink In My Hand,Eric Church,Eric Church,country / folk,20111008,96,40,20,20111231
46,37,Fly,Nicki Minaj Featuring Rihanna,Nicki Minaj,hip-hop,20110917,64,19,19,20111231
47,65,Ours,Taylor Swift,Taylor Swift,country / folk,20111126,13,13,20,20111231
48,41,God Gave Me You,Blake Shelton,Blake Shelton,country / folk,20110730,65,22,25,20111231
49,58,Blackout,Breathe Carolina,Breathe Carolina,pop,20111119,92,32,20,20111231
50,45,We Owned The Night,Lady Antebellum,Lady Antebellum,country / folk,20110903,47,31,20,20111231
51,54,Let It Rain,David Nail,David Nail,country / folk,20111001,95,51,20,20111231
52,56,You,Chris Young,Chris Young,country / folk,20111105,85,34,20,20111231
53,47,All Your Life,The Band Perry,The Band Perry,country / folk,20110924,95,37,23,20111231
54,52,It Girl,Jason Derulo,Jason Derulo,rnb / soul,20110827,39,17,22,20111231
55,60,Strange Clouds,B.O.B Featuring Lil Wayne,B.O.B,hip-hop,20111015,7,7,20,20111231
56,57,Rack City,Tyga,Tyga,hip-hop,20111210,94,7,25,20111231
57,55,Party,Beyonce Featuring Andre 3000,Beyonce,rnb / soul,20111022,95,50,18,20111231
58,61,Take Care,Drake Featuring Rihanna,Drake,hip-hop,20111203,9,7,34,20111231
59,12,We Are Young,Glee Cast,Glee Cast,pop,20111224,12,12,3,20111231
60,62,A Thousand Years,Christina Perri,Christina Perri,pop,20111105,74,31,26,20111231
61,68,Tonight Is The Night,Outasight,Outasight,hip-hop,20111210,96,38,20,20111231
62,59,You And I,Lady Gaga,Lady Gaga,pop,20110827,96,6,19,20111231
63,67,Heartbeat,The Fray,The Fray,rock,20111119,95,42,16,20111231
64,63,Brighter Than The Sun,Colbie Caillat,Colbie Caillat,pop,20110903,90,47,25,20111231
65,71,Can't Get Enough,J. Cole Featuring Trey Songz,J. Cole,hip-hop,20111217,82,52,20,20111231
66,70,When We Stand Together,Nickelback,Nickelback,rock,20111015,48,44,16,20111231
67,72,You The Boss,Rick Ross Featuring Nicki Minaj,Rick Ross,hip-hop,20111105,84,62,17,20111231
68,NEW,Turn Me On,David Guetta Featuring Nicki Minaj,David Guetta,electronic,20111231,68,4,25,20111231
69,64,Lonely Boy,The Black Keys,The Black Keys,rock,20111203,94,64,19,20111231
70,66,Baggage Claim,Miranda Lambert,Miranda Lambert,country / folk,20110827,67,44,20,20111231
